cluster_id,cluster_label,n_tables_in_cluster,table
0,option | id | product,12,magento2.catalog_product_bundle_option
0,option | id | product,12,magento2.catalog_product_bundle_option_value
0,option | id | product,12,magento2.catalog_product_bundle_selection
0,option | id | product,12,magento2.catalog_product_option
0,option | id | product,12,magento2.catalog_product_option_price
0,option | id | product,12,magento2.catalog_product_option_title
0,option | id | product,12,magento2.catalog_product_option_type_price
0,option | id | product,12,magento2.catalog_product_option_type_title
0,option | id | product,12,magento2.catalog_product_option_type_value
0,option | id | product,12,magento2.eav_attribute_option
0,option | id | product,12,magento2.eav_attribute_option_value
0,option | id | product,12,magento2.sales_quote_item_option
1,category | position | product,9,magento2.catalog_category_entity
1,category | position | product,9,magento2.catalog_category_product
1,category | position | product,9,magento2.catalog_category_product_index
1,category | position | product,9,magento2.catalog_category_product_index_tmp
1,category | position | product,9,magento2.catalog_product_entity
1,category | position | product,9,magento2.catalog_product_entity_media_gallery_value
1,category | position | product,9,magento2.catalog_url_rewrite_product_category
1,category | position | product,9,magento2.googleshopping_types
1,category | position | product,9,magento2.url_rewrite
2,price | group | tier,27,magento2.catalog_product_bundle_price_index
2,price | group | tier,27,magento2.catalog_product_bundle_selection_price
2,price | group | tier,27,magento2.catalog_product_entity_group_price
2,price | group | tier,27,magento2.catalog_product_entity_tier_price
2,price | group | tier,27,magento2.catalog_product_index_group_price
2,price | group | tier,27,magento2.catalog_product_index_price
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_idx
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_opt_idx
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_opt_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_sel_idx
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_sel_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_bundle_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_cfg_opt_agr_idx
2,price | group | tier,27,magento2.catalog_product_index_price_cfg_opt_agr_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_cfg_opt_idx
2,price | group | tier,27,magento2.catalog_product_index_price_cfg_opt_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_downlod_idx
2,price | group | tier,27,magento2.catalog_product_index_price_downlod_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_final_idx
2,price | group | tier,27,magento2.catalog_product_index_price_final_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_idx
2,price | group | tier,27,magento2.catalog_product_index_price_opt_agr_idx
2,price | group | tier,27,magento2.catalog_product_index_price_opt_agr_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_opt_idx
2,price | group | tier,27,magento2.catalog_product_index_price_opt_tmp
2,price | group | tier,27,magento2.catalog_product_index_price_tmp
2,price | group | tier,27,magento2.catalog_product_index_tier_price
3,link | product | id,12,magento2.catalog_product_link
3,link | product | id,12,magento2.catalog_product_link_attribute
3,link | product | id,12,magento2.catalog_product_link_attribute_decimal
3,link | product | id,12,magento2.catalog_product_link_attribute_int
3,link | product | id,12,magento2.catalog_product_link_attribute_varchar
3,link | product | id,12,magento2.catalog_product_link_type
3,link | product | id,12,magento2.catalog_product_super_link
3,link | product | id,12,magento2.core_layout_link
3,link | product | id,12,magento2.downloadable_link
3,link | product | id,12,magento2.downloadable_link_price
3,link | product | id,12,magento2.downloadable_link_purchased_item
3,link | product | id,12,magento2.downloadable_link_title
4,label | status | state,7,magento2.eav_attribute_label
4,label | status | state,7,magento2.indexer_state
4,label | status | state,7,magento2.mview_state
4,label | status | state,7,magento2.newsletter_subscriber
4,label | status | state,7,magento2.sales_order_status
4,label | status | state,7,magento2.sales_order_status_label
4,label | status | state,7,magento2.salesrule_label
5,at | created | increment,18,magento2.admin_system_messages
5,at | created | increment,18,magento2.admin_user
5,at | created | increment,18,magento2.cron_schedule
5,at | created | increment,18,magento2.customer_address_entity
5,at | created | increment,18,magento2.customer_entity
5,at | created | increment,18,magento2.downloadable_link_purchased
5,at | created | increment,18,magento2.eav_entity
5,at | created | increment,18,magento2.eav_entity_store
5,at | created | increment,18,magento2.integration
5,at | created | increment,18,magento2.oauth_consumer
5,at | created | increment,18,magento2.oauth_token
5,at | created | increment,18,magento2.sales_creditmemo_grid
5,at | created | increment,18,magento2.sales_invoice_grid
5,at | created | increment,18,magento2.sales_order_grid
5,at | created | increment,18,magento2.sales_quote_shipping_rate
5,at | created | increment,18,magento2.sales_shipment
5,at | created | increment,18,magento2.sales_shipment_grid
5,at | created | increment,18,magento2.sales_shipment_track
6,stock | cataloginventory | status,7,magento2.catalog_product_bundle_stock_index
6,stock | cataloginventory | status,7,magento2.cataloginventory_stock
6,stock | cataloginventory | status,7,magento2.cataloginventory_stock_item
6,stock | cataloginventory | status,7,magento2.cataloginventory_stock_status
6,stock | cataloginventory | status,7,magento2.cataloginventory_stock_status_idx
6,stock | cataloginventory | status,7,magento2.cataloginventory_stock_status_tmp
6,stock | cataloginventory | status,7,magento2.product_alert_stock
7,pos | product | rating,6,magento2.report_viewed_product_aggregated_daily
7,pos | product | rating,6,magento2.report_viewed_product_aggregated_monthly
7,pos | product | rating,6,magento2.report_viewed_product_aggregated_yearly
7,pos | product | rating,6,magento2.sales_bestsellers_aggregated_daily
7,pos | product | rating,6,magento2.sales_bestsellers_aggregated_monthly
7,pos | product | rating,6,magento2.sales_bestsellers_aggregated_yearly
8,country | region | directory,7,magento2.directory_country
8,country | region | directory,7,magento2.directory_country_format
8,country | region | directory,7,magento2.directory_country_region
8,country | region | directory,7,magento2.directory_country_region_name
8,country | region | directory,7,magento2.sales_order_address
8,country | region | directory,7,magento2.shipping_tablerate
8,country | region | directory,7,magento2.translation
9,group | rule | customer,16,magento2.authorization_rule
9,group | rule | customer,16,magento2.catalogrule_customer_group
9,group | rule | customer,16,magento2.catalogrule_group_website
9,group | rule | customer,16,magento2.catalogrule_product
9,group | rule | customer,16,magento2.customer_group
9,group | rule | customer,16,magento2.eav_attribute_group
9,group | rule | customer,16,magento2.gift_message
9,group | rule | customer,16,magento2.report_event
9,group | rule | customer,16,magento2.report_event_types
9,group | rule | customer,16,magento2.salesrule_coupon
9,group | rule | customer,16,magento2.salesrule_customer
9,group | rule | customer,16,magento2.salesrule_customer_group
9,group | rule | customer,16,magento2.salesrule_product_attribute
9,group | rule | customer,16,magento2.salesrule_website
9,group | rule | customer,16,magento2.store
9,group | rule | customer,16,magento2.store_group
10,visitor | log | visit,10,magento2.captcha_log
10,visitor | log | visit,10,magento2.customer_visitor
10,visitor | log | visit,10,magento2.log_customer
10,visitor | log | visit,10,magento2.log_quote
10,visitor | log | visit,10,magento2.log_summary
10,visitor | log | visit,10,magento2.log_url
10,visitor | log | visit,10,magento2.log_url_info
10,visitor | log | visit,10,magento2.log_visitor
10,visitor | log | visit,10,magento2.log_visitor_info
10,visitor | log | visit,10,magento2.log_visitor_online
11,base | tax | amount,10,magento2.sales_creditmemo
11,base | tax | amount,10,magento2.sales_creditmemo_item
11,base | tax | amount,10,magento2.sales_invoice
11,base | tax | amount,10,magento2.sales_invoice_item
11,base | tax | amount,10,magento2.sales_order
11,base | tax | amount,10,magento2.sales_order_item
11,base | tax | amount,10,magento2.sales_quote_address
11,base | tax | amount,10,magento2.sales_quote_address_item
11,base | tax | amount,10,magento2.sales_quote_item
11,base | tax | amount,10,magento2.sales_shipment_item
12,rating | entity | id,8,magento2.googleoptimizer_code
12,rating | entity | id,8,magento2.rating
12,rating | entity | id,8,magento2.rating_entity
12,rating | entity | id,8,magento2.rating_option
12,rating | entity | id,8,magento2.rating_option_vote
12,rating | entity | id,8,magento2.rating_option_vote_aggregated
12,rating | entity | id,8,magento2.rating_store
12,rating | entity | id,8,magento2.rating_title
13,attribute | product | id,19,magento2.catalog_product_index_eav
13,attribute | product | id,19,magento2.catalog_product_index_eav_decimal
13,attribute | product | id,19,magento2.catalog_product_index_eav_decimal_idx
13,attribute | product | id,19,magento2.catalog_product_index_eav_decimal_tmp
13,attribute | product | id,19,magento2.catalog_product_index_eav_idx
13,attribute | product | id,19,magento2.catalog_product_index_eav_tmp
13,attribute | product | id,19,magento2.catalog_product_relation
13,attribute | product | id,19,magento2.catalog_product_super_attribute
13,attribute | product | id,19,magento2.catalog_product_super_attribute_label
13,attribute | product | id,19,magento2.catalog_product_super_attribute_pricing
13,attribute | product | id,19,magento2.catalogrule_affected_product
13,attribute | product | id,19,magento2.catalogsearch_fulltext
13,attribute | product | id,19,magento2.customer_eav_attribute
13,attribute | product | id,19,magento2.customer_eav_attribute_website
13,attribute | product | id,19,magento2.eav_attribute
13,attribute | product | id,19,magento2.eav_attribute_set
13,attribute | product | id,19,magento2.eav_entity_attribute
13,attribute | product | id,19,magento2.report_compared_product_index
13,attribute | product | id,19,magento2.report_viewed_product_index
14,review | entity | status,6,magento2.review
14,review | entity | status,6,magento2.review_detail
14,review | entity | status,6,magento2.review_entity
14,review | entity | status,6,magento2.review_entity_summary
14,review | entity | status,6,magento2.review_status
14,review | entity | status,6,magento2.review_store
15,comment | is | front,7,magento2.catalog_eav_attribute
15,comment | is | front,7,magento2.sales_creditmemo_comment
15,comment | is | front,7,magento2.sales_invoice_comment
15,comment | is | front,7,magento2.sales_order_status_history
15,comment | is | front,7,magento2.sales_order_status_state
15,comment | is | front,7,magento2.sales_payment_transaction
15,comment | is | front,7,magento2.sales_shipment_comment
16,amount | coupon | discount,9,magento2.catalogrule
16,amount | coupon | discount,9,magento2.sales_order_aggregated_created
16,amount | coupon | discount,9,magento2.sales_order_aggregated_updated
16,amount | coupon | discount,9,magento2.sales_quote
16,amount | coupon | discount,9,magento2.salesrule
16,amount | coupon | discount,9,magento2.salesrule_coupon_aggregated
16,amount | coupon | discount,9,magento2.salesrule_coupon_aggregated_order
16,amount | coupon | discount,9,magento2.salesrule_coupon_aggregated_updated
16,amount | coupon | discount,9,magento2.salesrule_coupon_usage
17,sample | theme | widget,7,magento2.authorization_role
17,sample | theme | widget,7,magento2.core_theme
17,sample | theme | widget,7,magento2.core_theme_file
17,sample | theme | widget,7,magento2.downloadable_sample
17,sample | theme | widget,7,magento2.downloadable_sample_title
17,sample | theme | widget,7,magento2.widget
17,sample | theme | widget,7,magento2.widget_instance
18,entity | value | id,28,magento2.catalog_category_entity_datetime
18,entity | value | id,28,magento2.catalog_category_entity_decimal
18,entity | value | id,28,magento2.catalog_category_entity_int
18,entity | value | id,28,magento2.catalog_category_entity_text
18,entity | value | id,28,magento2.catalog_category_entity_varchar
18,entity | value | id,28,magento2.catalog_product_entity_datetime
18,entity | value | id,28,magento2.catalog_product_entity_decimal
18,entity | value | id,28,magento2.catalog_product_entity_gallery
18,entity | value | id,28,magento2.catalog_product_entity_int
18,entity | value | id,28,magento2.catalog_product_entity_media_gallery
18,entity | value | id,28,magento2.catalog_product_entity_text
18,entity | value | id,28,magento2.catalog_product_entity_varchar
18,entity | value | id,28,magento2.customer_address_entity_datetime
18,entity | value | id,28,magento2.customer_address_entity_decimal
18,entity | value | id,28,magento2.customer_address_entity_int
18,entity | value | id,28,magento2.customer_address_entity_text
18,entity | value | id,28,magento2.customer_address_entity_varchar
18,entity | value | id,28,magento2.customer_entity_datetime
18,entity | value | id,28,magento2.customer_entity_decimal
18,entity | value | id,28,magento2.customer_entity_int
18,entity | value | id,28,magento2.customer_entity_text
18,entity | value | id,28,magento2.customer_entity_varchar
18,entity | value | id,28,magento2.eav_entity_datetime
18,entity | value | id,28,magento2.eav_entity_decimal
18,entity | value | id,28,magento2.eav_entity_int
18,entity | value | id,28,magento2.eav_entity_text
18,entity | value | id,28,magento2.eav_entity_varchar
18,entity | value | id,28,magento2.weee_tax
19,page | cms | layout,5,magento2.cms_block_store
19,page | cms | layout,5,magento2.cms_page
19,page | cms | layout,5,magento2.cms_page_store
19,page | cms | layout,5,magento2.widget_instance_page
19,page | cms | layout,5,magento2.widget_instance_page_layout
20,period | orders | order,9,magento2.log_summary_type
20,period | orders | order,9,magento2.sales_invoiced_aggregated
20,period | orders | order,9,magento2.sales_invoiced_aggregated_order
20,period | orders | order,9,magento2.sales_order_tax
20,period | orders | order,9,magento2.sales_order_tax_item
20,period | orders | order,9,magento2.sales_shipping_aggregated
20,period | orders | order,9,magento2.sales_shipping_aggregated_order
20,period | orders | order,9,magento2.tax_order_aggregated_created
20,period | orders | order,9,magento2.tax_order_aggregated_updated
21,calculation | tax | class,5,magento2.tax_calculation
21,calculation | tax | class,5,magento2.tax_calculation_rate
21,calculation | tax | class,5,magento2.tax_calculation_rate_title
21,calculation | tax | class,5,magento2.tax_calculation_rule
21,calculation | tax | class,5,magento2.tax_class
22,core | time | id,23,magento2.adminnotification_inbox
22,core | time | id,23,magento2.checkout_agreement
22,core | time | id,23,magento2.checkout_agreement_store
22,core | time | id,23,magento2.cms_block
22,core | time | id,23,magento2.core_cache
22,core | time | id,23,magento2.core_cache_tag
22,core | time | id,23,magento2.core_config_data
22,core | time | id,23,magento2.core_flag
22,core | time | id,23,magento2.core_layout_update
22,core | time | id,23,magento2.core_resource
22,core | time | id,23,magento2.core_session
22,core | time | id,23,magento2.core_variable
22,core | time | id,23,magento2.core_variable_value
22,core | time | id,23,magento2.eav_entity_type
22,core | time | id,23,magento2.email_template
22,core | time | id,23,magento2.googleshopping_attributes
22,core | time | id,23,magento2.importexport_importdata
22,core | time | id,23,magento2.newsletter_template
22,core | time | id,23,magento2.oauth_nonce
22,core | time | id,23,magento2.search_query
22,core | time | id,23,magento2.sendfriend_log
22,core | time | id,23,magento2.sitemap
22,core | time | id,23,magento2.vde_theme_change
23,website | date | id,9,magento2.catalog_product_index_website
23,website | date | id,9,magento2.catalog_product_website
23,website | date | id,9,magento2.catalogrule_product_price
23,website | date | id,9,magento2.catalogrule_website
23,website | date | id,9,magento2.design_change
23,website | date | id,9,magento2.directory_currency_rate
23,website | date | id,9,magento2.persistent_session
23,website | date | id,9,magento2.product_alert_price
23,website | date | id,9,magento2.store_website
24,wishlist | item | id,5,magento2.catalog_compare_item
24,wishlist | item | id,5,magento2.googleshopping_items
24,wishlist | item | id,5,magento2.wishlist
24,wishlist | item | id,5,magento2.wishlist_item
24,wishlist | item | id,5,magento2.wishlist_item_option
25,form | fieldset | eav,6,magento2.customer_form_attribute
25,form | fieldset | eav,6,magento2.eav_form_element
25,form | fieldset | eav,6,magento2.eav_form_fieldset
25,form | fieldset | eav,6,magento2.eav_form_fieldset_label
25,form | fieldset | eav,6,magento2.eav_form_type
25,form | fieldset | eav,6,magento2.eav_form_type_entity
26,cc | ss | month,2,magento2.sales_order_payment
