schema,table,row_count,column_count,pk,status,execution_seconds,attempts,processed_at,error
magento2,admin_system_messages,0,3,identity,success,0.05,1,2026-09-13T18:56:12.264202,
magento2,admin_user,0,16,user_id,success,0.01,1,2026-09-13T18:56:12.279367,
magento2,adminnotification_inbox,0,8,notification_id,success,0.0,1,2026-09-13T18:56:12.289286,
magento2,authorization_role,1,8,role_id,success,0.03,1,2026-09-13T18:56:12.326282,
magento2,authorization_rule,1,5,rule_id,success,0.02,1,2026-09-13T18:56:12.359079,
magento2,captcha_log,0,4,type|value,success,0.01,1,2026-09-13T18:56:12.373850,
magento2,catalog_category_entity,27,10,entity_id,success,0.04,1,2026-09-13T18:56:12.420386,
magento2,catalog_category_entity_datetime,6,6,value_id,success,0.02,1,2026-09-13T18:56:12.457882,
magento2,catalog_category_entity_decimal,4,6,value_id,success,0.04,1,2026-09-13T18:56:12.513789,
magento2,catalog_category_entity_int,130,6,value_id,success,0.05,1,2026-09-13T18:56:12.584308,
magento2,catalog_category_entity_text,154,6,value_id,success,0.08,1,2026-09-13T18:56:12.695018,
magento2,catalog_category_entity_varchar,210,6,value_id,success,0.06,1,2026-09-13T18:56:12.785874,
magento2,catalog_category_product,132,3,category_id|product_id,success,0.04,1,2026-09-13T18:56:12.860830,
magento2,catalog_category_product_index,1317,6,category_id|product_id|store_id,success,0.09,1,2026-09-13T18:56:12.986082,
magento2,catalog_category_product_index_tmp,0,6,,success,0.01,1,2026-09-13T18:56:13.017123,
magento2,catalog_compare_item,0,5,catalog_compare_item_id,success,0.02,1,2026-09-13T18:56:13.062222,
magento2,catalog_eav_attribute,118,20,attribute_id,success,0.18,1,2026-09-13T18:56:13.270546,
magento2,catalog_product_bundle_option,20,5,option_id,success,0.04,1,2026-09-13T18:56:13.350674,
magento2,catalog_product_bundle_option_value,20,4,value_id,success,0.04,1,2026-09-13T18:56:13.425659,
magento2,catalog_product_bundle_price_index,0,5,entity_id|website_id|customer_group_id,success,0.02,1,2026-09-13T18:56:13.505736,
magento2,catalog_product_bundle_selection,57,10,selection_id,success,0.03,1,2026-09-13T18:56:13.583051,
magento2,catalog_product_bundle_selection_price,0,4,selection_id|website_id,success,0.01,1,2026-09-13T18:56:13.611805,
magento2,catalog_product_bundle_stock_index,0,5,entity_id|website_id|stock_id|option_id,success,0.01,1,2026-09-13T18:56:13.644364,
magento2,catalog_product_entity,120,9,entity_id,success,0.08,1,2026-09-13T18:56:13.767871,
magento2,catalog_product_entity_datetime,7,6,value_id,success,0.07,1,2026-09-13T18:56:13.906869,
magento2,catalog_product_entity_decimal,412,6,value_id,success,0.04,1,2026-09-13T18:56:13.969476,
magento2,catalog_product_entity_gallery,0,7,value_id,success,0.01,1,2026-09-13T18:56:14.022170,
magento2,catalog_product_entity_group_price,0,6,value_id,success,0.01,1,2026-09-13T18:56:14.063387,
magento2,catalog_product_entity_int,689,6,value_id,success,0.08,1,2026-09-13T18:56:14.195098,
magento2,catalog_product_entity_media_gallery,244,4,value_id,success,0.06,1,2026-09-13T18:56:14.298166,
magento2,catalog_product_entity_media_gallery_value,244,6,value_id|store_id,success,0.07,1,2026-09-13T18:56:14.438393,
magento2,catalog_product_entity_text,693,6,value_id,success,0.05,1,2026-09-13T18:56:14.523718,
magento2,catalog_product_entity_tier_price,10,7,value_id,success,0.03,1,2026-09-13T18:56:14.597087,
magento2,catalog_product_entity_varchar,1508,6,value_id,success,0.07,1,2026-09-13T18:56:14.699504,
magento2,catalog_product_index_eav,411,4,entity_id|attribute_id|store_id|value,success,0.02,1,2026-09-13T18:56:14.749004,
magento2,catalog_product_index_eav_decimal,0,4,entity_id|attribute_id|store_id,success,0.01,1,2026-09-13T18:56:14.834750,
magento2,catalog_product_index_eav_decimal_idx,0,4,entity_id|attribute_id|store_id|value,success,0.0,1,2026-09-13T18:56:14.878362,
magento2,catalog_product_index_eav_decimal_tmp,0,4,entity_id|attribute_id|store_id,success,0.01,1,2026-09-13T18:56:14.917908,
magento2,catalog_product_index_eav_idx,408,4,entity_id|attribute_id|store_id|value,success,0.05,1,2026-09-13T18:56:15.045600,
magento2,catalog_product_index_eav_tmp,9,4,entity_id|attribute_id|store_id|value,success,0.02,1,2026-09-13T18:56:15.115734,
magento2,catalog_product_index_group_price,0,4,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:15.169407,
magento2,catalog_product_index_price,590,10,entity_id|customer_group_id|website_id,success,0.13,1,2026-09-13T18:56:15.355403,
magento2,catalog_product_index_price_bundle_idx,20,16,entity_id|customer_group_id|website_id,success,0.11,1,2026-09-13T18:56:15.520609,
magento2,catalog_product_index_price_bundle_opt_idx,100,11,entity_id|customer_group_id|website_id|option_id,success,0.04,1,2026-09-13T18:56:15.605588,
magento2,catalog_product_index_price_bundle_opt_tmp,0,11,entity_id|customer_group_id|website_id|option_id,success,0.01,1,2026-09-13T18:56:15.665762,
magento2,catalog_product_index_price_bundle_sel_idx,285,10,entity_id|customer_group_id|website_id|option_id|selection_id,success,0.09,1,2026-09-13T18:56:15.815393,
magento2,catalog_product_index_price_bundle_sel_tmp,0,10,entity_id|customer_group_id|website_id|option_id|selection_id,success,0.0,1,2026-09-13T18:56:15.918775,
magento2,catalog_product_index_price_bundle_tmp,0,16,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:15.977649,
magento2,catalog_product_index_price_cfg_opt_agr_idx,0,7,parent_id|child_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.031173,
magento2,catalog_product_index_price_cfg_opt_agr_tmp,0,7,parent_id|child_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.101320,
magento2,catalog_product_index_price_cfg_opt_idx,0,7,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.159259,
magento2,catalog_product_index_price_cfg_opt_tmp,0,7,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.219155,
magento2,catalog_product_index_price_downlod_idx,0,5,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.283399,
magento2,catalog_product_index_price_downlod_tmp,0,5,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.362301,
magento2,catalog_product_index_price_final_idx,0,12,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.444075,
magento2,catalog_product_index_price_final_tmp,0,12,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.502796,
magento2,catalog_product_index_price_idx,590,10,entity_id|customer_group_id|website_id,success,0.09,1,2026-09-13T18:56:16.667341,
magento2,catalog_product_index_price_opt_agr_idx,0,8,entity_id|customer_group_id|website_id|option_id,success,0.01,1,2026-09-13T18:56:16.762092,
magento2,catalog_product_index_price_opt_agr_tmp,0,8,entity_id|customer_group_id|website_id|option_id,success,0.01,1,2026-09-13T18:56:16.844406,
magento2,catalog_product_index_price_opt_idx,0,7,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:16.943045,
magento2,catalog_product_index_price_opt_tmp,0,7,entity_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:17.004840,
magento2,catalog_product_index_price_tmp,5,10,entity_id|customer_group_id|website_id,success,0.08,1,2026-09-13T18:56:17.144667,
magento2,catalog_product_index_tier_price,0,4,entity_id|customer_group_id|website_id,success,0.02,1,2026-09-13T18:56:17.267678,
magento2,catalog_product_index_website,1,3,website_id,success,0.02,1,2026-09-13T18:56:17.378252,
magento2,catalog_product_link,258,4,link_id,success,0.03,1,2026-09-13T18:56:17.453380,
magento2,catalog_product_link_attribute,7,4,product_link_attribute_id,success,0.03,1,2026-09-13T18:56:17.541639,
magento2,catalog_product_link_attribute_decimal,7,4,value_id,success,0.04,1,2026-09-13T18:56:17.708307,
magento2,catalog_product_link_attribute_int,52,4,value_id,success,0.03,1,2026-09-13T18:56:17.812873,
magento2,catalog_product_link_attribute_varchar,0,4,value_id,success,0.01,1,2026-09-13T18:56:17.901457,
magento2,catalog_product_link_type,5,2,link_type_id,success,0.01,1,2026-09-13T18:56:17.978559,
magento2,catalog_product_option,2,10,option_id,success,0.06,1,2026-09-13T18:56:18.096424,
magento2,catalog_product_option_price,0,5,option_price_id,success,0.01,1,2026-09-13T18:56:18.165220,
magento2,catalog_product_option_title,2,4,option_title_id,success,0.05,1,2026-09-13T18:56:18.322903,
magento2,catalog_product_option_type_price,6,5,option_type_price_id,success,0.08,1,2026-09-13T18:56:18.476875,
magento2,catalog_product_option_type_title,6,4,option_type_title_id,success,0.02,1,2026-09-13T18:56:18.605493,
magento2,catalog_product_option_type_value,6,4,option_type_id,success,0.02,1,2026-09-13T18:56:18.661765,
magento2,catalog_product_relation,115,2,parent_id|child_id,success,0.02,1,2026-09-13T18:56:18.738288,
magento2,catalog_product_super_attribute,13,4,product_super_attribute_id,success,0.04,1,2026-09-13T18:56:18.852322,
magento2,catalog_product_super_attribute_label,13,5,value_id,success,0.02,1,2026-09-13T18:56:18.950780,
magento2,catalog_product_super_attribute_pricing,7,6,value_id,success,0.05,1,2026-09-13T18:56:19.073271,
magento2,catalog_product_super_link,55,3,link_id,success,0.04,1,2026-09-13T18:56:19.221720,
magento2,catalog_product_website,120,2,product_id|website_id,success,0.01,1,2026-09-13T18:56:19.300630,
magento2,catalog_url_rewrite_product_category,0,3,,success,0.01,1,2026-09-13T18:56:19.366949,
magento2,cataloginventory_stock,1,3,stock_id,success,0.01,1,2026-09-13T18:56:19.451064,
magento2,cataloginventory_stock_item,120,26,item_id,success,0.26,1,2026-09-13T18:56:19.800066,
magento2,cataloginventory_stock_status,119,5,product_id|website_id|stock_id,success,0.02,1,2026-09-13T18:56:19.874041,
magento2,cataloginventory_stock_status_idx,119,5,product_id|website_id|stock_id,success,0.03,1,2026-09-13T18:56:19.968562,
magento2,cataloginventory_stock_status_tmp,0,5,product_id|website_id|stock_id,success,0.0,1,2026-09-13T18:56:20.033538,
magento2,catalogrule,5,15,rule_id,success,0.06,1,2026-09-13T18:56:20.186729,
magento2,catalogrule_affected_product,0,1,product_id,success,0.01,1,2026-09-13T18:56:20.263067,
magento2,catalogrule_customer_group,20,2,rule_id|customer_group_id,success,0.02,1,2026-09-13T18:56:20.353886,
magento2,catalogrule_group_website,0,3,rule_id|customer_group_id|website_id,success,0.01,1,2026-09-13T18:56:20.425704,
magento2,catalogrule_product,75,13,rule_product_id,success,0.05,1,2026-09-13T18:56:20.535459,
magento2,catalogrule_product_price,0,8,rule_product_price_id,success,0.01,1,2026-09-13T18:56:20.637619,
magento2,catalogrule_website,5,2,rule_id|website_id,success,0.02,1,2026-09-13T18:56:20.752046,
magento2,catalogsearch_fulltext,183,4,fulltext_id,success,0.06,1,2026-09-13T18:56:20.901083,
magento2,checkout_agreement,0,7,agreement_id,success,0.02,1,2026-09-13T18:56:21.023524,
magento2,checkout_agreement_store,0,2,agreement_id|store_id,success,0.01,1,2026-09-13T18:56:21.144892,
magento2,cms_block,3,7,block_id,success,0.06,1,2026-09-13T18:56:21.307519,
magento2,cms_block_store,3,2,block_id|store_id,success,0.03,1,2026-09-13T18:56:21.438385,
magento2,cms_page,4,18,page_id,success,0.04,1,2026-09-13T18:56:21.554734,
magento2,cms_page_store,6,2,page_id|store_id,success,0.02,1,2026-09-13T18:56:21.669114,
magento2,core_cache,0,5,id,success,0.01,1,2026-09-13T18:56:21.781600,
magento2,core_cache_tag,0,2,tag|cache_id,success,0.01,1,2026-09-13T18:56:21.912636,
magento2,core_config_data,0,5,config_id,success,0.01,1,2026-09-13T18:56:22.027382,
magento2,core_flag,2,5,flag_id,success,0.03,1,2026-09-13T18:56:22.138296,
magento2,core_layout_link,0,5,layout_link_id,success,0.01,1,2026-09-13T18:56:22.255526,
magento2,core_layout_update,0,5,layout_update_id,success,0.0,1,2026-09-13T18:56:22.402202,
magento2,core_resource,52,3,code,success,0.02,1,2026-09-13T18:56:22.482404,
magento2,core_session,0,3,session_id,success,0.0,1,2026-09-13T18:56:22.579733,
magento2,core_theme,4,10,theme_id,success,0.04,1,2026-09-13T18:56:22.733850,
magento2,core_theme_file,0,7,theme_files_id,success,0.01,1,2026-09-13T18:56:22.852362,
magento2,core_variable,0,3,variable_id,success,0.01,1,2026-09-13T18:56:23.014036,
magento2,core_variable_value,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.127211,
magento2,cron_schedule,0,8,schedule_id,success,0.01,1,2026-09-13T18:56:23.253224,
magento2,customer_address_entity,0,8,entity_id,success,0.01,1,2026-09-13T18:56:23.384653,
magento2,customer_address_entity_datetime,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.490629,
magento2,customer_address_entity_decimal,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.578424,
magento2,customer_address_entity_int,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.710903,
magento2,customer_address_entity_text,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.852090,
magento2,customer_address_entity_varchar,0,5,value_id,success,0.01,1,2026-09-13T18:56:23.944046,
magento2,customer_eav_attribute,40,8,attribute_id,success,0.05,1,2026-09-13T18:56:24.083374,
magento2,customer_eav_attribute_website,0,6,attribute_id|website_id,success,0.02,1,2026-09-13T18:56:24.255659,
magento2,customer_entity,1,12,entity_id,success,0.04,1,2026-09-13T18:56:24.397393,
magento2,customer_entity_datetime,0,5,value_id,success,0.01,1,2026-09-13T18:56:24.494287,
magento2,customer_entity_decimal,0,5,value_id,success,0.01,1,2026-09-13T18:56:24.640143,
magento2,customer_entity_int,3,5,value_id,success,0.02,1,2026-09-13T18:56:24.817023,
magento2,customer_entity_text,0,5,value_id,success,0.01,1,2026-09-13T18:56:24.930227,
magento2,customer_entity_varchar,7,5,value_id,success,0.06,1,2026-09-13T18:56:25.145676,
magento2,customer_form_attribute,90,2,form_code|attribute_id,success,0.04,1,2026-09-13T18:56:25.318735,
magento2,customer_group,5,3,customer_group_id,success,0.03,1,2026-09-13T18:56:25.512186,
magento2,customer_visitor,0,3,visitor_id,success,0.01,1,2026-09-13T18:56:25.652753,
magento2,design_change,0,5,design_change_id,success,0.01,1,2026-09-13T18:56:25.787735,
magento2,directory_country,246,3,country_id,success,0.02,1,2026-09-13T18:56:25.941640,
magento2,directory_country_format,0,4,country_format_id,success,0.01,1,2026-09-13T18:56:26.064071,
magento2,directory_country_region,511,4,region_id,success,0.02,1,2026-09-13T18:56:26.192972,
magento2,directory_country_region_name,346,3,locale|region_id,success,0.02,1,2026-09-13T18:56:26.375311,
magento2,directory_currency_rate,0,3,currency_from|currency_to,success,0.0,1,2026-09-13T18:56:26.526938,
magento2,downloadable_link,0,11,link_id,success,0.01,1,2026-09-13T18:56:26.666452,
magento2,downloadable_link_price,0,4,price_id,success,0.01,1,2026-09-13T18:56:26.809292,
magento2,downloadable_link_purchased,0,10,purchased_id,success,0.01,1,2026-09-13T18:56:26.945095,
magento2,downloadable_link_purchased_item,0,16,item_id,success,0.01,1,2026-09-13T18:56:27.078462,
magento2,downloadable_link_title,0,4,title_id,success,0.01,1,2026-09-13T18:56:27.209864,
magento2,downloadable_sample,0,6,sample_id,success,0.01,1,2026-09-13T18:56:27.347270,
magento2,downloadable_sample_title,0,4,title_id,success,0.01,1,2026-09-13T18:56:27.505284,
magento2,eav_attribute,382,17,attribute_id,success,0.07,1,2026-09-13T18:56:27.681705,
magento2,eav_attribute_group,170,7,attribute_group_id,success,0.03,1,2026-09-13T18:56:27.851305,
magento2,eav_attribute_label,0,4,attribute_label_id,success,0.01,1,2026-09-13T18:56:27.962092,
magento2,eav_attribute_option,110,3,option_id,success,0.02,1,2026-09-13T18:56:28.082281,
magento2,eav_attribute_option_value,130,4,value_id,success,0.02,1,2026-09-13T18:56:28.210774,
magento2,eav_attribute_set,23,4,attribute_set_id,success,0.03,1,2026-09-13T18:56:28.397391,
magento2,eav_entity,1,9,entity_id,success,0.03,1,2026-09-13T18:56:28.573763,
magento2,eav_entity_attribute,1247,6,entity_attribute_id,success,0.05,1,2026-09-13T18:56:28.779553,
magento2,eav_entity_datetime,0,6,value_id,success,0.01,1,2026-09-13T18:56:28.919556,
magento2,eav_entity_decimal,0,6,value_id,success,0.01,1,2026-09-13T18:56:29.040598,
magento2,eav_entity_int,0,6,value_id,success,0.01,1,2026-09-13T18:56:29.146917,
magento2,eav_entity_store,0,5,entity_store_id,success,0.01,1,2026-09-13T18:56:29.257973,
magento2,eav_entity_text,0,6,value_id,success,0.01,1,2026-09-13T18:56:29.390333,
magento2,eav_entity_type,8,16,entity_type_id,success,0.04,1,2026-09-13T18:56:29.523431,
magento2,eav_entity_varchar,0,6,value_id,success,0.01,1,2026-09-13T18:56:29.668107,
magento2,eav_form_element,68,5,element_id,success,0.03,1,2026-09-13T18:56:29.780229,
magento2,eav_form_fieldset,6,4,fieldset_id,success,0.02,1,2026-09-13T18:56:29.899829,
magento2,eav_form_fieldset_label,6,3,fieldset_id|store_id,success,0.02,1,2026-09-13T18:56:30.009221,
magento2,eav_form_type,8,6,type_id,success,0.03,1,2026-09-13T18:56:30.130835,
magento2,eav_form_type_entity,11,2,type_id|entity_type_id,success,0.01,1,2026-09-13T18:56:30.244654,
magento2,email_template,0,12,template_id,success,0.01,1,2026-09-13T18:56:30.359173,
magento2,gift_message,0,5,gift_message_id,success,0.01,1,2026-09-13T18:56:30.545127,
magento2,googleoptimizer_code,0,5,code_id,success,0.01,1,2026-09-13T18:56:30.690525,
magento2,googleshopping_attributes,0,4,id,success,0.01,1,2026-09-13T18:56:30.799520,
magento2,googleshopping_items,0,7,item_id,success,0.01,1,2026-09-13T18:56:30.948080,
magento2,googleshopping_types,0,4,type_id,success,0.01,1,2026-09-13T18:56:31.076965,
magento2,importexport_importdata,0,4,id,success,0.01,1,2026-09-13T18:56:31.237944,
magento2,indexer_state,7,4,state_id,success,0.02,1,2026-09-13T18:56:31.424028,
magento2,integration,0,10,integration_id,success,0.01,1,2026-09-13T18:56:31.579894,
magento2,log_customer,0,6,log_id,success,0.01,1,2026-09-13T18:56:31.687900,
magento2,log_quote,0,4,quote_id,success,0.01,1,2026-09-13T18:56:31.915984,
magento2,log_summary,0,6,summary_id,success,0.0,1,2026-09-13T18:56:32.044504,
magento2,log_summary_type,2,4,type_id,success,0.02,1,2026-09-13T18:56:32.179138,
magento2,log_url,0,3,url_id,success,0.0,1,2026-09-13T18:56:32.287994,
magento2,log_url_info,0,3,url_id,success,0.01,1,2026-09-13T18:56:32.401004,
magento2,log_visitor,0,5,visitor_id,success,0.0,1,2026-09-13T18:56:32.534996,
magento2,log_visitor_info,0,7,visitor_id,success,0.01,1,2026-09-13T18:56:32.657945,
magento2,log_visitor_online,0,7,visitor_id,success,0.01,1,2026-09-13T18:56:32.756438,
magento2,mview_state,0,6,state_id,success,0.0,1,2026-09-13T18:56:32.853021,
magento2,newsletter_problem,0,5,problem_id,success,0.01,1,2026-09-13T18:56:32.947004,
magento2,newsletter_queue,0,11,queue_id,success,0.01,1,2026-09-13T18:56:33.043835,
magento2,newsletter_queue_link,0,4,queue_link_id,success,0.01,1,2026-09-13T18:56:33.160489,
magento2,newsletter_queue_store_link,0,2,queue_id|store_id,success,0.01,1,2026-09-13T18:56:33.309235,
magento2,newsletter_subscriber,0,7,subscriber_id,success,0.01,1,2026-09-13T18:56:33.462392,
magento2,newsletter_template,0,12,template_id,success,0.01,1,2026-09-13T18:56:33.663933,
magento2,oauth_consumer,0,8,entity_id,success,0.01,1,2026-09-13T18:56:33.859774,
magento2,oauth_nonce,0,3,,success,0.0,1,2026-09-13T18:56:33.973390,
magento2,oauth_token,0,13,entity_id,success,0.01,1,2026-09-13T18:56:34.069724,
magento2,persistent_session,0,6,persistent_id,success,0.01,1,2026-09-13T18:56:34.219406,
magento2,product_alert_price,0,9,alert_price_id,success,0.01,1,2026-09-13T18:56:34.356876,
magento2,product_alert_stock,0,8,alert_stock_id,success,0.01,1,2026-09-13T18:56:34.517989,
magento2,rating,3,5,rating_id,success,0.02,1,2026-09-13T18:56:34.642110,
magento2,rating_entity,3,2,entity_id,success,0.01,1,2026-09-13T18:56:34.775607,
magento2,rating_option,15,5,option_id,success,0.02,1,2026-09-13T18:56:34.899033,
magento2,rating_option_vote,331,10,vote_id,success,0.05,1,2026-09-13T18:56:35.080540,
magento2,rating_option_vote_aggregated,198,8,primary_id,success,0.04,1,2026-09-13T18:56:35.249283,
magento2,rating_store,12,2,rating_id|store_id,success,0.02,1,2026-09-13T18:56:35.427241,
magento2,rating_title,0,3,rating_id|store_id,success,0.02,1,2026-09-13T18:56:35.550160,
magento2,report_compared_product_index,0,6,index_id,success,0.01,1,2026-09-13T18:56:35.690249,
magento2,report_event,2,7,event_id,success,0.04,1,2026-09-13T18:56:35.864070,
magento2,report_event_types,6,3,event_type_id,success,0.02,1,2026-09-13T18:56:36.069434,
magento2,report_viewed_product_aggregated_daily,0,8,id,success,0.02,1,2026-09-13T18:56:36.284264,
magento2,report_viewed_product_aggregated_monthly,0,8,id,success,0.01,1,2026-09-13T18:56:36.456947,
