Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
magento2.admin_system_messages,DEEPSEEK__VS__MISTRAL,0.0,0.5584619177712334
magento2.admin_system_messages,DEEPSEEK__VS__OPENAI,0.1111111111111111,0.6023485660552979
magento2.admin_system_messages,MISTRAL__VS__OPENAI,0.0,0.6185006433063083
magento2.admin_user,DEEPSEEK__VS__MISTRAL,0.037037037037037035,0.6868080342257464
magento2.admin_user,DEEPSEEK__VS__OPENAI,0.0,0.5764757019502145
magento2.admin_user,MISTRAL__VS__OPENAI,0.0,0.6446757404892532
magento2.adminnotification_inbox,DEEPSEEK__VS__MISTRAL,0.0,0.5261018695654692
magento2.adminnotification_inbox,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5429547627766927
magento2.adminnotification_inbox,MISTRAL__VS__OPENAI,0.0,0.5043754710091486
magento2.authorization_role,DEEPSEEK__VS__MISTRAL,0.0,0.5136113431718614
magento2.authorization_role,DEEPSEEK__VS__OPENAI,0.18518518518518517,0.6425135201878018
magento2.authorization_role,MISTRAL__VS__OPENAI,0.1111111111111111,0.5182802655078746
magento2.authorization_rule,DEEPSEEK__VS__MISTRAL,0.1111111111111111,0.7425775064362421
magento2.authorization_rule,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.824086798561944
magento2.authorization_rule,MISTRAL__VS__OPENAI,0.3333333333333333,0.8321012655893961
magento2.captcha_log,DEEPSEEK__VS__MISTRAL,0.1111111111111111,0.5905987245065195
magento2.captcha_log,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.7276326020558676
magento2.captcha_log,MISTRAL__VS__OPENAI,0.0,0.6905363665686713
magento2.catalog_category_entity,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8571081956227621
magento2.catalog_category_entity,DEEPSEEK__VS__OPENAI,0.0,0.7171590129534403
magento2.catalog_category_entity,MISTRAL__VS__OPENAI,0.0,0.6771485408147176
magento2.catalog_category_entity_datetime,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.6870058554190177
magento2.catalog_category_entity_datetime,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7719149457083808
magento2.catalog_category_entity_datetime,MISTRAL__VS__OPENAI,0.3333333333333333,0.7065121134122213
magento2.catalog_category_entity_decimal,DEEPSEEK__VS__MISTRAL,0.0,0.4950067930751377
magento2.catalog_category_entity_decimal,DEEPSEEK__VS__OPENAI,0.0,0.676355414920383
magento2.catalog_category_entity_decimal,MISTRAL__VS__OPENAI,0.3333333333333333,0.5360825657844543
magento2.catalog_category_entity_int,DEEPSEEK__VS__MISTRAL,0.2962962962962963,0.5610592718477602
magento2.catalog_category_entity_int,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5528333849377103
magento2.catalog_category_entity_int,MISTRAL__VS__OPENAI,0.3333333333333333,0.8113290998670791
magento2.catalog_category_entity_text,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.6956695715586344
magento2.catalog_category_entity_text,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5878125694062974
magento2.catalog_category_entity_text,MISTRAL__VS__OPENAI,0.3333333333333333,0.7033274703555636
magento2.catalog_category_entity_varchar,DEEPSEEK__VS__MISTRAL,0.0,0.7420739531517029
magento2.catalog_category_entity_varchar,DEEPSEEK__VS__OPENAI,0.2962962962962963,0.808973921669854
magento2.catalog_category_entity_varchar,MISTRAL__VS__OPENAI,0.1111111111111111,0.6542657679981656
magento2.catalog_category_product,DEEPSEEK__VS__MISTRAL,0.0,0.8205170234044393
magento2.catalog_category_product,DEEPSEEK__VS__OPENAI,0.0,0.7795875867207845
magento2.catalog_category_product,MISTRAL__VS__OPENAI,0.0,0.7129406332969666
magento2.catalog_category_product_index,DEEPSEEK__VS__MISTRAL,0.0,0.8213486737675137
magento2.catalog_category_product_index,DEEPSEEK__VS__OPENAI,0.0,0.8063221176465353
magento2.catalog_category_product_index,MISTRAL__VS__OPENAI,0.3333333333333333,0.8042547305425009
magento2.catalog_category_product_index_tmp,DEEPSEEK__VS__MISTRAL,0.0,0.8035148117277358
magento2.catalog_category_product_index_tmp,DEEPSEEK__VS__OPENAI,0.0,0.7387483716011047
magento2.catalog_category_product_index_tmp,MISTRAL__VS__OPENAI,0.1111111111111111,0.7858039140701295
magento2.catalog_compare_item,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7285206450356377
magento2.catalog_compare_item,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.555334594514635
magento2.catalog_compare_item,MISTRAL__VS__OPENAI,0.3333333333333333,0.7770745886696709
magento2.catalog_eav_attribute,DEEPSEEK__VS__MISTRAL,0.0,0.5428668856620789
magento2.catalog_eav_attribute,DEEPSEEK__VS__OPENAI,0.0,0.449133124616411
magento2.catalog_eav_attribute,MISTRAL__VS__OPENAI,0.0,0.542043129603068
magento2.catalog_product_bundle_option,DEEPSEEK__VS__MISTRAL,0.0,0.559454878171285
magento2.catalog_product_bundle_option,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.6028120915095011
magento2.catalog_product_bundle_option,MISTRAL__VS__OPENAI,0.0,0.7676973409122891
magento2.catalog_product_bundle_option_value,DEEPSEEK__VS__MISTRAL,0.0,0.6673798428641426
magento2.catalog_product_bundle_option_value,DEEPSEEK__VS__OPENAI,0.0,0.6269630193710327
magento2.catalog_product_bundle_option_value,MISTRAL__VS__OPENAI,0.0,0.6146352887153625
