Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
magento2.admin_system_messages,DEEPSEEK,0.5555555555555555,0.8917482031716241
magento2.admin_system_messages,MISTRAL,0.3333333333333333,0.6843832929929098
magento2.admin_system_messages,OPENAI,0.5555555555555555,0.8009103470378451
magento2.admin_user,DEEPSEEK,0.5555555555555555,0.9018982185257807
magento2.admin_user,MISTRAL,0.5555555555555555,0.868754439883762
magento2.admin_user,OPENAI,0.7777777777777777,0.9681484633021885
magento2.adminnotification_inbox,DEEPSEEK,0.5555555555555555,0.8614179624451531
magento2.adminnotification_inbox,MISTRAL,0.5555555555555555,0.9185119205050998
magento2.adminnotification_inbox,OPENAI,1.0,0.9999996026357015
magento2.authorization_role,DEEPSEEK,0.7777777777777777,0.9593185981114706
magento2.authorization_role,MISTRAL,0.6666666666666666,0.8182455367512173
magento2.authorization_role,OPENAI,0.1111111111111111,0.5346709556049771
magento2.authorization_rule,DEEPSEEK,0.7777777777777777,0.932004882229699
magento2.authorization_rule,MISTRAL,1.0,0.9999993046124777
magento2.authorization_rule,OPENAI,1.0,0.999999463558197
magento2.captcha_log,DEEPSEEK,1.0,0.9999993244806925
magento2.captcha_log,MISTRAL,0.7777777777777777,0.9889799157778422
magento2.captcha_log,OPENAI,1.0,0.9999993046124777
magento2.catalog_category_entity,DEEPSEEK,1.0,0.9999996821085612
magento2.catalog_category_entity,MISTRAL,1.0,0.999999463558197
magento2.catalog_category_entity,OPENAI,1.0,0.9999994436899821
magento2.catalog_category_entity_datetime,DEEPSEEK,0.5555555555555555,0.8373641570409139
magento2.catalog_category_entity_datetime,MISTRAL,0.7777777777777777,0.9368083013428582
magento2.catalog_category_entity_datetime,OPENAI,1.0,0.9999992251396179
magento2.catalog_category_entity_decimal,DEEPSEEK,1.0,0.9999992450078329
magento2.catalog_category_entity_decimal,MISTRAL,1.0,0.9999993642171224
magento2.catalog_category_entity_decimal,OPENAI,1.0,0.999999483426412
magento2.catalog_category_entity_int,DEEPSEEK,0.5555555555555555,0.6938688556353251
magento2.catalog_category_entity_int,MISTRAL,0.3333333333333333,0.8440435396300422
magento2.catalog_category_entity_int,OPENAI,1.0,0.999999483426412
magento2.catalog_category_entity_text,DEEPSEEK,0.5555555555555555,0.9298431674639384
magento2.catalog_category_entity_text,MISTRAL,1.0,0.9999993046124777
magento2.catalog_category_entity_text,OPENAI,0.7777777777777777,0.7777772214677597
magento2.catalog_category_entity_varchar,DEEPSEEK,0.7777777777777777,0.9413850704828898
magento2.catalog_category_entity_varchar,MISTRAL,0.5555555555555555,0.7043413122495016
magento2.catalog_category_entity_varchar,OPENAI,0.3333333333333333,0.6957124339209663
magento2.catalog_category_product,DEEPSEEK,0.7777777777777777,0.9883054759767319
magento2.catalog_category_product,MISTRAL,1.0,0.9999994238217672
magento2.catalog_category_product,OPENAI,1.0,0.9999993642171224
magento2.catalog_category_product_index,DEEPSEEK,0.3333333333333333,0.8940218554602729
magento2.catalog_category_product_index,MISTRAL,1.0,0.9999991257985433
magento2.catalog_category_product_index,OPENAI,1.0,0.9999991854031881
magento2.catalog_category_product_index_tmp,DEEPSEEK,0.5555555555555555,0.9535152316093445
magento2.catalog_category_product_index_tmp,MISTRAL,0.1111111111111111,0.8470784690645005
magento2.catalog_category_product_index_tmp,OPENAI,1.0,0.9999991854031881
magento2.catalog_compare_item,DEEPSEEK,0.5555555555555555,0.8608750436041092
