Tipo,Tabela,ModelA,RunA,ModelB,RunB,HardDice,SoftDice,TemaA,TemaB,Similarity
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999995032946268,mensagens administrativas,mensagens administrativas,0.9999995231628418
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999995032946268,registro temporal,registro temporal,0.999999463558197
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999995032946268,severidade de mensagens,severidade de mensagens,0.9999995231628418
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999995032946268,mensagens administrativas,mensagens administrativas,0.9999995231628418
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999995032946268,registro temporal,registro temporal,0.999999463558197
INTRA,magento2.admin_system_messages,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999995032946268,severidade de mensagens,severidade de mensagens,0.9999995231628418
INTRA,magento2.admin_system_messages,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999995032946268,mensagens administrativas,mensagens administrativas,0.9999995231628418
INTRA,magento2.admin_system_messages,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999995032946268,registro temporal,registro temporal,0.999999463558197
INTRA,magento2.admin_system_messages,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999995032946268,severidade de mensagens,severidade de mensagens,0.9999995231628418
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,2,1.0,0.999999205271403,logs de alerta,logs de alerta,0.9999992847442627
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,2,1.0,0.999999205271403,severidade de eventos,severidade de eventos,0.9999993443489075
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,2,1.0,0.999999205271403,sistema de mensagens,sistema de mensagens,0.9999989867210388
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,3,0.0,0.5265742937723795,logs de alerta,registros temporais,0.4537944793701172
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,3,0.0,0.5265742937723795,severidade de eventos,severidade de alertas,0.7640931010246277
INTRA,magento2.admin_system_messages,MISTRAL,1,MISTRAL,3,0.0,0.5265742937723795,sistema de mensagens,mensagens de sistema,0.815629780292511
INTRA,magento2.admin_system_messages,MISTRAL,2,MISTRAL,3,0.0,0.5265742937723795,logs de alerta,registros temporais,0.4537944793701172
INTRA,magento2.admin_system_messages,MISTRAL,2,MISTRAL,3,0.0,0.5265742937723795,severidade de eventos,severidade de alertas,0.7640931010246277
INTRA,magento2.admin_system_messages,MISTRAL,2,MISTRAL,3,0.0,0.5265742937723795,sistema de mensagens,mensagens de sistema,0.815629780292511
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,2,0.3333333333333333,0.7012234926223755,mensagens do sistema,mensagens do sistema,0.9999997019767761
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,2,0.3333333333333333,0.7012234926223755,registro de eventos,eventos de severidade,0.5914892554283142
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,2,0.3333333333333333,0.7012234926223755,severidade de mensagens,notificacoes administrativas,0.5121815204620361
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,3,0.3333333333333333,0.7012234926223755,mensagens do sistema,mensagens do sistema,0.9999997019767761
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,3,0.3333333333333333,0.7012234926223755,registro de eventos,eventos de severidade,0.5914892554283142
INTRA,magento2.admin_system_messages,OPENAI,1,OPENAI,3,0.3333333333333333,0.7012234926223755,severidade de mensagens,notificacoes administrativas,0.5121815204620361
INTRA,magento2.admin_system_messages,OPENAI,2,OPENAI,3,1.0,0.9999993046124777,eventos de severidade,eventos de severidade,0.999998927116394
INTRA,magento2.admin_system_messages,OPENAI,2,OPENAI,3,1.0,0.9999993046124777,mensagens do sistema,mensagens do sistema,0.9999997019767761
