Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
informacoes de clientes,acoes de clientes em produtos,1,magento2.report_event_types,1
informacoes de clientes,agrupamento de clientes,3,magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp,3
informacoes de clientes,alertas de clientes,1,magento2.product_alert_stock,1
informacoes de clientes,cadastro de cliente,1,magento2.customer_entity_varchar,1
informacoes de clientes,cadastro de clientes,4,magento2.customer_entity; magento2.customer_entity_decimal; magento2.wishlist,3
informacoes de clientes,cadastro de datas de clientes,1,magento2.customer_entity_datetime,1
informacoes de clientes,categorias de clientes,1,magento2.tax_class,1
informacoes de clientes,classificacao de clientes,3,magento2.customer_group; magento2.tax_calculation; magento2.tax_calculation_rule,3
informacoes de clientes,cliente e lista,1,magento2.wishlist,1
informacoes de clientes,codigo de grupo de clientes,1,magento2.customer_group,1
informacoes de clientes,comentarios de clientes,1,magento2.review_detail,1
informacoes de clientes,comportamento de clientes,1,magento2.report_viewed_product_index,1
informacoes de clientes,contagem de clientes,2,magento2.log_summary,1
informacoes de clientes,dados do cliente,1,magento2.sales_quote,1
informacoes de clientes,endereco de cliente,12,magento2.customer_address_entity; magento2.customer_address_entity_datetime; magento2.customer_address_entity_int; magento2.customer_address_entity_text; magento2.customer_address_entity_varchar; magento2.sales_order_address,6
informacoes de clientes,enderecos de clientes,4,magento2.customer_address_entity; magento2.customer_address_entity_decimal; magento2.customer_address_entity_int; magento2.customer_address_entity_text,4
informacoes de clientes,entidades de cliente,1,magento2.customer_address_entity_decimal,1
informacoes de clientes,entidades de clientes,1,magento2.customer_entity_int,1
informacoes de clientes,feedback de clientes,1,magento2.review_detail,1
informacoes de clientes,formularios de conta de cliente,1,magento2.eav_form_type,1
informacoes de clientes,frequencia de uso por cliente,1,magento2.salesrule_coupon_usage,1
informacoes de clientes,gestao de contas de cliente,1,magento2.eav_form_type,1
informacoes de clientes,grupo de clientes,16,magento2.catalog_product_bundle_price_index; magento2.catalog_product_entity_group_price; magento2.catalog_product_entity_tier_price; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_sel_idx; magento2.catalog_product_index_price_downlod_idx; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.customer_entity; magento2.customer_group,16
informacoes de clientes,grupos de clientes,5,magento2.catalogrule_customer_group; magento2.catalogrule_group_website; magento2.catalogrule_product_price; magento2.customer_group; magento2.salesrule_customer_group,5
informacoes de clientes,informacoes de cliente,2,magento2.eav_form_fieldset_label; magento2.sales_quote_address,2
informacoes de clientes,informacoes de clientes,3,magento2.sales_order; magento2.sales_order_grid; magento2.sales_quote,3
informacoes de clientes,interesse de clientes,1,magento2.report_compared_product_index,1
informacoes de clientes,interesse do cliente,1,magento2.report_compared_product_index,1
informacoes de clientes,login de clientes,1,magento2.log_customer,1
informacoes de clientes,promocoes de clientes,1,magento2.catalogrule_customer_group,1
informacoes de clientes,resumo de clientes,1,magento2.log_summary,1
informacoes de clientes,segmentacao de clientes,9,magento2.catalog_product_index_price_bundle_opt_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalogrule_customer_group; magento2.catalogrule_product; magento2.customer_group; magento2.salesrule_product_attribute,9
informacoes de clientes,sessoes de cliente,1,magento2.customer_visitor,1
informacoes de clientes,sessoes de clientes,1,magento2.customer_visitor,1
informacoes de clientes,sessoes persistentes de clientes,1,magento2.persistent_session,1
informacoes de clientes,status de cliente,1,magento2.customer_entity,1
informacoes de clientes,transacao de clientes,1,magento2.sales_quote,1
informacoes de clientes,valores de cliente,1,magento2.customer_entity_varchar,1
informacoes de clientes,vinculo admin-cliente,1,magento2.oauth_token,1
informacoes de clientes,visitas de clientes,1,magento2.customer_visitor,1
informacoes de clientes,votacao de clientes,1,magento2.rating_option_vote_aggregated,1
informacoes de clientes,wishlist de clientes,1,magento2.wishlist,1
relacionamento de produtos,arquivos de produto,1,magento2.downloadable_link,1
relacionamento de produtos,associacao de produtos,3,magento2.catalog_category_product; magento2.catalog_product_website; magento2.catalog_url_rewrite_product_category,3
relacionamento de produtos,associacao produto-imagem,1,magento2.catalog_product_entity_media_gallery,1
relacionamento de produtos,avaliacao de produto,2,magento2.rating; magento2.rating_entity,2
relacionamento de produtos,avaliacoes de produtos,5,magento2.report_viewed_product_aggregated_yearly; magento2.review; magento2.review_detail; magento2.review_store,4
relacionamento de produtos,catalogo de produtos,14,magento2.catalog_category_product; magento2.catalog_product_entity; magento2.catalog_product_entity_int; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_website; magento2.catalog_url_rewrite_product_category; magento2.catalogrule_affected_product; magento2.catalogsearch_fulltext; magento2.downloadable_sample; magento2.eav_attribute_set; magento2.googleshopping_items,12
