Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,informacoes de clientes,94,42,"acoes de clientes em produtos, agrupamento de clientes, alertas de clientes, cadastro de cliente, cadastro de clientes, cadastro de datas de clientes, categorias de clientes, classificacao de clientes, cliente e lista, codigo de grupo de clientes...",0_0
2,relacionamento de produtos,73,35,"arquivos de produto, associacao de produtos, associacao produto-imagem, avaliacao de produto, avaliacoes de produtos, catalogo de produtos, eventos de interacao com produto, galeria de imagens de produtos, galeria de midia de produto, galeria de produtos...",0_8
3,valores de atributo,73,27,"atributo de data, atributo de entidade, atributos de categoria, atributos de categorias, atributos de cliente, atributos de clientes, atributos de data, atributos de entidades de cliente, atributos de google shopping, atributos de grupo...",10_14
4,descricao de produtos,68,29,"cadastro de produtos, catalogacao de produtos, classificacao de produtos, datas de produto, descricao de produto, descricao de produtos, descricoes de produtos, detalhes de produto, detalhes de produtos, disponibilidade de produto...",0_10
5,taxas de imposto,64,34,"agregacao de impostos, aliquota fiscal, aliquota tributaria, analise de impostos, calculo de imposto, calculo de impostos, calculo de impostos de pedidos, calculo de impostos em pedidos, calculo de tributos, categorias de tributacao...",14_1
6,status de pedidos,62,28,"agregacao de pedidos, analise de pedidos, ciclo de vida de pedidos, comentarios de pedidos, detalhes de pedidos, estado de pedido, gestao de pedidos, historico de status de pedidos, impostos de pedidos, impostos por item de pedido...",4_10
7,precos de produtos,59,18,"cotacoes de produtos, preco de produto, preco de produtos, preco de selecao de produtos, preco e avaliacao de produtos, preco e quantidade de produtos, precos de produto, precos de produtos, precos de produtos em pacote, precos de produtos em pacotes...",1_10
8,quantidade de vendas,54,30,"agregacao anual de vendas, agregacao de vendas, agregacao diaria de vendas, agregacao mensal de vendas, analise de vendas, comentarios de vendas, conversao de vendas, cotacoes de vendas, desempenho de precos em vendas, estados de fluxo de vendas...",2_7
9,atributos de produto,54,17,"atributo de produto, atributos de endereco, atributos de endereco de cliente, atributos de imagem, atributos de item de cotacao, atributos de link de produto, atributos de links de produtos, atributos de midia de produto, atributos de produto, atributos de vinculo de produto...",8_14
10,vendas por loja,48,30,"alteracoes de design por loja, amostras por loja, analise por loja, catalogo por loja, comportamento de loja, descontos por loja, desempenho de loja, detalhes de loja, escopo de lojas, estrutura de loja...",0_4
