Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,oauth consumer credentials,0.9507,1,0_10
2,downloadable link purchased item,0.9491,1,2_8
3,cache invalidation tracking,0.9444,1,0_10
4,downloadable product downloads,0.9303,1,3_2
5,cache tag mapping,0.9279,1,0_10
6,oauth client registration,0.9249,1,0_11
7,api callback urls,0.9128,1,0_10
8,tokens oauth,0.9106,1,0_10
9,layout updates,0.8733,1,0_14
10,order item link purchase,0.8648,1,2_8
11,experimentos de marketing,0.8556,1,0_12
12,sinonimos de termos,0.8521,1,2_11
13,ultima visita,0.8507,1,0_10
14,codigos iso de paises,0.8380,1,3_10
15,idiomas de loja,0.8327,2,4_0
16,cronograma de jobs,0.8315,1,1_11
17,versao de software,0.8287,1,2_11
18,tamanhos de calcado,0.8268,1,8_6
19,termos de aceite,0.8264,1,2_11
20,nomes de regioes administrativas,0.8247,1,10_11
21,chaves de api,0.8184,1,2_10
22,campos de conjuntos,0.8163,1,2_14
23,estrutura de canais,0.8157,1,10_10
24,cache de tags,0.8156,1,0_9
25,media de rating por entidade,0.8115,1,4_11
26,fieldset de eav,0.8099,1,6_12
27,vinculo link-website,0.8089,1,12_10
28,indice de website,0.8073,1,0_9
29,codigos google optimizer,0.8064,1,2_10
30,criterios de rating,0.8063,1,3_11
31,comentarios de estorno,0.8052,1,3_10
32,notas de credito,0.8050,3,7_5
33,votos de rating,0.8044,1,3_11
34,versao de modulo,0.8030,1,11_13
35,comentarios de creditmemo,0.8017,1,4_10
36,indice eav decimal,0.7970,3,0_9
37,garantia estendida,0.7969,1,7_7
38,agregacao por dia,0.7955,1,10_9
39,controle de incrementos de ids,0.7954,1,2_10
40,prefixo e ultimo id,0.7950,1,14_6
