Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
informacoes de clientes,42,94,63,magento2.catalog_product_bundle_price_index; magento2.catalog_product_entity_group_price; magento2.catalog_product_entity_tier_price; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_opt_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_bundle_sel_idx; magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_downlod_idx; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.catalogrule_customer_group; magento2.catalogrule_group_website; magento2.catalogrule_product; magento2.catalogrule_product_price; magento2.customer_address_entity; magento2.customer_address_entity_datetime; magento2.customer_address_entity_decimal; magento2.customer_address_entity_int; magento2.customer_address_entity_text; magento2.customer_address_entity_varchar; magento2.customer_entity; magento2.customer_entity_datetime; magento2.customer_entity_decimal; magento2.customer_entity_int; magento2.customer_entity_varchar; magento2.customer_group; magento2.customer_visitor; magento2.eav_form_fieldset_label; magento2.eav_form_type; magento2.log_customer; magento2.log_summary; magento2.oauth_token; magento2.persistent_session; magento2.product_alert_stock; magento2.rating_option_vote_aggregated; magento2.report_compared_product_index; magento2.report_event_types; magento2.report_viewed_product_index; magento2.review_detail; magento2.sales_order; magento2.sales_order_address; magento2.sales_order_grid; magento2.sales_quote; magento2.sales_quote_address; magento2.salesrule_coupon_usage; magento2.salesrule_customer_group; magento2.salesrule_product_attribute; magento2.tax_calculation; magento2.tax_calculation_rule; magento2.tax_class; magento2.wishlist
relacionamento de produtos,35,73,36,magento2.catalog_category_product; magento2.catalog_category_product_index; magento2.catalog_category_product_index_tmp; magento2.catalog_product_entity; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_int; magento2.catalog_product_entity_media_gallery; magento2.catalog_product_entity_media_gallery_value; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_link; magento2.catalog_product_link_attribute; magento2.catalog_product_link_attribute_decimal; magento2.catalog_product_link_attribute_int; magento2.catalog_product_link_attribute_varchar; magento2.catalog_product_link_type; magento2.catalog_product_relation; magento2.catalog_product_super_link; magento2.catalog_product_website; magento2.catalog_url_rewrite_product_category; magento2.catalogrule_affected_product; magento2.catalogsearch_fulltext; magento2.downloadable_link; magento2.downloadable_sample; magento2.eav_attribute_set; magento2.googleshopping_items; magento2.product_alert_stock; magento2.rating; magento2.rating_entity; magento2.report_event_types; magento2.report_viewed_product_aggregated_daily; magento2.report_viewed_product_aggregated_yearly; magento2.report_viewed_product_index; magento2.review; magento2.review_detail; magento2.review_store
valores de atributo,27,73,41,magento2.authorization_role; magento2.catalog_category_entity; magento2.catalog_category_entity_datetime; magento2.catalog_category_entity_decimal; magento2.catalog_category_entity_int; magento2.catalog_category_entity_text; magento2.catalog_category_entity_varchar; magento2.catalog_product_entity_int; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav; magento2.catalog_product_index_eav_idx; magento2.catalog_product_link_attribute; magento2.catalog_product_link_attribute_int; magento2.catalog_product_link_attribute_varchar; magento2.catalog_product_option_type_value; magento2.catalog_product_super_attribute_label; magento2.core_variable; magento2.customer_address_entity_datetime; magento2.customer_address_entity_int; magento2.customer_address_entity_varchar; magento2.customer_eav_attribute; magento2.customer_eav_attribute_website; magento2.customer_entity; magento2.customer_entity_datetime; magento2.customer_entity_decimal; magento2.customer_entity_int; magento2.customer_entity_text; magento2.customer_entity_varchar; magento2.downloadable_link; magento2.eav_attribute; magento2.eav_attribute_group; magento2.eav_attribute_label; magento2.eav_entity; magento2.eav_entity_attribute; magento2.eav_entity_decimal; magento2.eav_entity_int; magento2.eav_entity_type; magento2.eav_entity_varchar; magento2.googleshopping_attributes; magento2.translation
descricao de produtos,29,68,51,magento2.catalog_category_entity; magento2.catalog_category_entity_varchar; magento2.catalog_category_product; magento2.catalog_category_product_index_tmp; magento2.catalog_product_bundle_selection; magento2.catalog_product_bundle_stock_index; magento2.catalog_product_entity; magento2.catalog_product_entity_datetime; magento2.catalog_product_entity_decimal; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_int; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav_decimal_idx; magento2.catalog_product_index_eav_tmp; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_bundle_tmp; magento2.catalog_product_index_price_cfg_opt_agr_idx; magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_tier_price; magento2.catalog_product_link; magento2.catalog_product_option_price; magento2.catalog_product_option_type_price; magento2.catalog_product_option_type_title; magento2.catalog_product_relation; magento2.catalog_product_super_attribute; magento2.catalog_product_super_link; magento2.cataloginventory_stock_item; magento2.cataloginventory_stock_status; magento2.cataloginventory_stock_status_idx; magento2.cataloginventory_stock_status_tmp; magento2.downloadable_sample; magento2.eav_attribute_group; magento2.googleshopping_attributes; magento2.googleshopping_items; magento2.googleshopping_types; magento2.rating_entity; magento2.rating_title; magento2.review_detail; magento2.sales_creditmemo_item; magento2.sales_invoice_item; magento2.sales_order_item; magento2.sales_shipment_item; magento2.tax_calculation; magento2.tax_class; magento2.translation; magento2.wishlist_item
taxas de imposto,34,64,23,magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_tmp; magento2.customer_group; magento2.sales_creditmemo_item; magento2.sales_invoice; magento2.sales_invoice_item; magento2.sales_order_item; magento2.sales_order_tax; magento2.sales_order_tax_item; magento2.sales_quote_address_item; magento2.sales_quote_item; magento2.tax_calculation; magento2.tax_calculation_rate; magento2.tax_calculation_rate_title; magento2.tax_calculation_rule; magento2.tax_class; magento2.tax_order_aggregated_created; magento2.tax_order_aggregated_updated; magento2.weee_tax
status de pedidos,28,62,30,magento2.downloadable_link_purchased; magento2.gift_message; magento2.sales_creditmemo; magento2.sales_creditmemo_grid; magento2.sales_invoice; magento2.sales_invoice_grid; magento2.sales_invoiced_aggregated; magento2.sales_invoiced_aggregated_order; magento2.sales_order; magento2.sales_order_address; magento2.sales_order_aggregated_created; magento2.sales_order_aggregated_updated; magento2.sales_order_grid; magento2.sales_order_item; magento2.sales_order_payment; magento2.sales_order_status; magento2.sales_order_status_history; magento2.sales_order_status_label; magento2.sales_order_status_state; magento2.sales_order_tax; magento2.sales_order_tax_item; magento2.sales_payment_transaction; magento2.sales_refunded_aggregated; magento2.sales_refunded_aggregated_order; magento2.sales_shipment_item; magento2.sales_shipment_track; magento2.sales_shipping_aggregated; magento2.sales_shipping_aggregated_order; magento2.tax_order_aggregated_created; magento2.tax_order_aggregated_updated
precos de produtos,18,59,41,magento2.catalog_category_entity_decimal; magento2.catalog_category_entity_varchar; magento2.catalog_product_bundle_price_index; magento2.catalog_product_bundle_selection_price; magento2.catalog_product_entity_decimal; magento2.catalog_product_entity_group_price; magento2.catalog_product_entity_int; magento2.catalog_product_entity_tier_price; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav_tmp; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_opt_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_bundle_sel_idx; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_bundle_tmp; magento2.catalog_product_index_price_cfg_opt_agr_idx; magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_downlod_idx; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.catalog_product_index_tier_price; magento2.catalogrule; magento2.catalogrule_product; magento2.catalogrule_product_price; magento2.report_viewed_product_aggregated_daily; magento2.sales_bestsellers_aggregated_daily; magento2.sales_bestsellers_aggregated_yearly; magento2.sales_quote_item; magento2.sales_shipment_item
quantidade de vendas,30,54,37,magento2.catalog_product_link_type; magento2.catalogrule_product_price; magento2.report_viewed_product_aggregated_daily; magento2.report_viewed_product_aggregated_monthly; magento2.sales_bestsellers_aggregated_daily; magento2.sales_bestsellers_aggregated_monthly; magento2.sales_bestsellers_aggregated_yearly; magento2.sales_creditmemo; magento2.sales_creditmemo_comment; magento2.sales_creditmemo_grid; magento2.sales_creditmemo_item; magento2.sales_invoice; magento2.sales_invoice_grid; magento2.sales_invoiced_aggregated; magento2.sales_invoiced_aggregated_order; magento2.sales_order_aggregated_created; magento2.sales_order_aggregated_updated; magento2.sales_order_item; magento2.sales_order_status_state; magento2.sales_order_tax_item; magento2.sales_quote; magento2.sales_quote_address; magento2.sales_quote_address_item; magento2.sales_quote_item; magento2.sales_quote_payment; magento2.sales_refunded_aggregated; magento2.sales_refunded_aggregated_order; magento2.sales_shipment_item; magento2.sales_shipping_aggregated; magento2.salesrule; magento2.salesrule_coupon; magento2.salesrule_coupon_aggregated; magento2.salesrule_coupon_aggregated_order; magento2.salesrule_customer_group; magento2.salesrule_label; magento2.tax_order_aggregated_created; magento2.tax_order_aggregated_updated
atributos de produto,17,54,40,magento2.catalog_category_entity_decimal; magento2.catalog_eav_attribute; magento2.catalog_product_bundle_option; magento2.catalog_product_bundle_option_value; magento2.catalog_product_entity_datetime; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_int; magento2.catalog_product_entity_media_gallery; magento2.catalog_product_entity_media_gallery_value; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav; magento2.catalog_product_index_eav_decimal; magento2.catalog_product_index_eav_decimal_idx; magento2.catalog_product_index_eav_decimal_tmp; magento2.catalog_product_index_eav_idx; magento2.catalog_product_index_eav_tmp; magento2.catalog_product_link_attribute; magento2.catalog_product_link_attribute_decimal; magento2.catalog_product_link_attribute_int; magento2.catalog_product_link_attribute_varchar; magento2.catalog_product_option; magento2.catalog_product_super_attribute; magento2.catalog_product_super_attribute_label; magento2.catalogsearch_fulltext; magento2.customer_address_entity; magento2.customer_address_entity_datetime; magento2.customer_address_entity_decimal; magento2.customer_address_entity_int; magento2.customer_address_entity_text; magento2.customer_address_entity_varchar; magento2.customer_entity_decimal; magento2.eav_attribute_label; magento2.eav_attribute_option; magento2.eav_attribute_option_value; magento2.eav_attribute_set; magento2.eav_entity_int; magento2.sales_quote_item_option; magento2.salesrule_product_attribute; magento2.translation
vendas por loja,30,48,39,magento2.catalog_category_entity_varchar; magento2.catalog_compare_item; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav; magento2.catalog_product_index_eav_decimal; magento2.catalog_product_option_type_price; magento2.catalog_product_option_type_title; magento2.cms_page_store; magento2.core_config_data; magento2.core_layout_link; magento2.design_change; magento2.downloadable_link_title; magento2.downloadable_sample_title; magento2.eav_entity_datetime; magento2.eav_entity_decimal; magento2.eav_entity_int; magento2.eav_entity_text; magento2.eav_entity_varchar; magento2.log_summary; magento2.log_visitor; magento2.rating_option_vote_aggregated; magento2.rating_title; magento2.report_viewed_product_index; magento2.review_detail; magento2.review_store; magento2.sales_invoice_grid; magento2.sales_order_aggregated_created; magento2.sales_order_aggregated_updated; magento2.sales_refunded_aggregated; magento2.sales_shipment_grid; magento2.sales_shipping_aggregated; magento2.sales_shipping_aggregated_order; magento2.salesrule_coupon_aggregated_order; magento2.salesrule_coupon_aggregated_updated; magento2.salesrule_label; magento2.sitemap; magento2.store_group; magento2.tax_calculation_rate_title
