schema,table,row_count,column_count,pk,status,execution_seconds,attempts,processed_at,error
nhanes_admin,load_catalog,127.0,11,id,success,0.31,1,2026-06-11T21:11:16.986202,
nhanes_demographics,demo_j,9254.0,46,,success,0.8,1,2026-06-11T21:11:17.803341,
nhanes_dietary,dr1iff_j,112683.0,84,,success,54.53,1,2026-06-11T21:12:12.367945,
nhanes_dietary,dr1tot_j,8704.0,168,,success,9.57,1,2026-06-11T21:12:21.990997,
nhanes_dietary,dr2iff_j,93500.0,84,,success,41.85,1,2026-06-11T21:13:03.912986,
nhanes_dietary,dr2tot_j,8704.0,85,,success,2.72,1,2026-06-11T21:13:06.712869,
nhanes_dietary,ds1ids_j,6068.0,49,,success,0.58,1,2026-06-11T21:13:07.382407,
nhanes_dietary,ds1tot_j,8704.0,49,,success,0.75,1,2026-06-11T21:13:08.241787,
nhanes_dietary,ds2ids_j,5776.0,49,,success,0.69,1,2026-06-11T21:13:09.099000,
nhanes_dietary,ds2tot_j,8704.0,49,,success,0.69,1,2026-06-11T21:13:09.919976,
nhanes_dietary,dsqids_j,9984.0,88,,success,2.96,1,2026-06-11T21:13:13.014954,
nhanes_dietary,dsqtot_j,9254.0,39,,success,0.69,1,2026-06-11T21:13:14.024824,
nhanes_examination,aux_j,3131.0,90,,success,1.75,1,2026-06-11T21:13:15.981973,
nhanes_examination,auxar_j,33721.0,344,,success,201.33,1,2026-06-11T21:16:37.758487,
nhanes_examination,auxtym_j,5585.0,514,,success,53.12,1,2026-06-11T21:17:31.157320,
nhanes_examination,auxwbr_j,5682.0,323,,success,24.1,1,2026-06-11T21:17:56.098018,
nhanes_examination,bmx_j,8704.0,21,,success,0.62,1,2026-06-11T21:17:57.376865,
nhanes_examination,bpx_j,8704.0,21,,success,0.57,1,2026-06-11T21:17:58.705325,
nhanes_examination,bpxo_j,7132.0,13,,success,0.31,1,2026-06-11T21:17:59.703433,
nhanes_examination,dxx_j,5114.0,93,,success,2.68,1,2026-06-11T21:18:03.067698,
nhanes_examination,dxxag_j,5114.0,23,,success,0.58,1,2026-06-11T21:18:04.754434,
nhanes_examination,dxxfem_j,2898.0,20,,success,0.39,1,2026-06-11T21:18:05.834181,
nhanes_examination,dxxspn_j,2898.0,24,,success,0.35,1,2026-06-11T21:18:06.732276,
nhanes_examination,lux_j,6401.0,14,,success,0.32,1,2026-06-11T21:18:07.970118,
nhanes_examination,ohxden_j,8366.0,170,,success,10.67,1,2026-06-11T21:18:19.527868,
nhanes_examination,ohxref_j,8366.0,12,,success,0.19,1,2026-06-11T21:18:20.446528,
nhanes_laboratory,alb_cr_j,7936.0,8,,success,0.19,1,2026-06-11T21:18:21.355227,
nhanes_laboratory,biopro_j,6401.0,41,,success,0.9,1,2026-06-11T21:18:23.083957,
nhanes_laboratory,cbc_j,8366.0,22,,success,0.42,1,2026-06-11T21:18:24.297382,
nhanes_laboratory,cmv_j,931.0,4,,success,0.02,1,2026-06-11T21:18:24.965605,
nhanes_laboratory,cot_j,7936.0,5,,success,0.06,1,2026-06-11T21:18:25.666697,
nhanes_laboratory,crco_j,3676.0,7,,success,0.06,1,2026-06-11T21:18:26.420169,
nhanes_laboratory,ephpp_j,2986.0,26,,success,0.42,1,2026-06-11T21:18:27.703112,
nhanes_laboratory,ethox_j,2478.0,4,,success,0.09,1,2026-06-11T21:18:28.599444,
nhanes_laboratory,fastqx_j,8366.0,19,,success,0.39,1,2026-06-11T21:18:29.591168,
nhanes_laboratory,fertin_j,7332.0,3,,success,0.05,1,2026-06-11T21:18:30.251226,
