LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
OPENAI,nhanes_demographics.demo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994436899821,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds1tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7258044083913168,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2ids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9353556632995605,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8801582058270773,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999463558197,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqtot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6526463429133097,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_examination.bmx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661699612936,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_examination.bpx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7380134264628092,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_examination.bpxo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999995628992716,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.cbc_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993244806925,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.fastqx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999991854031881,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ghb_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8968276381492615,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.hepa_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993244806925,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ins_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7727261980374655,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.phthte_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5936964352925619,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ssuvcm_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999205271403,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.uio_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666662494341532,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.vic_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6805051962534586,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_laboratory.vid_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.4949212869008382,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.alq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999988873799642,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.dpq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993443489075,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.hsq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999992251396179,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.puqmec_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666659514109293,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.smqshs_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999990860621134,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.whq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5303650697072347,26918.0,26668.0,250.0,P1_isolated_effects
OPENAI,nhanes_demographics.demo_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9118995070457458,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds1tot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7428880929946899,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2ids_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.6622572739919027,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2tot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7490787506103516,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqids_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7402000625928243,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqtot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.6926932136217753,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_examination.bmx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666661699612936,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_examination.bpx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999995628992716,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_examination.bpxo_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7695745229721069,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.cbc_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8702091574668884,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.fastqx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.563849667708079,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ghb_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992251396179,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.hepa_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993244806925,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ins_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999999205271403,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.phthte_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.5642253160476685,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.ssuvcm_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999999205271403,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.uio_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993642171224,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.vic_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7936205466588339,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_laboratory.vid_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.4424036145210266,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.alq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999988873799642,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.dpq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993443489075,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.hsq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992251396179,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.puqmec_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666659514109293,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.smqshs_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666659116744995,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_questionnaire.whq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9172196785608927,29533.0,26668.0,2865.0,P1_isolated_effects
OPENAI,nhanes_demographics.demo_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9118995070457458,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds1tot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7397283315658569,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2ids_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.6648789644241333,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_dietary.ds2tot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.8801582058270773,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqids_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.6307130058606466,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_dietary.dsqtot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.7306189934412638,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_examination.bmx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999991257985433,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_examination.bpx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7695745229721069,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_examination.bpxo_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999995628992716,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_laboratory.cbc_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993244806925,55275.0,26668.0,28607.0,P1_isolated_effects
OPENAI,nhanes_laboratory.fastqx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.6666661103566488,55275.0,26668.0,28607.0,P1_isolated_effects
