Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,160713.0,DEEPSEEK,160713.0
v15_sample_rows_vs_sample_values,0.8449599402745566,82376.0,DEEPSEEK,97491.01238247247
v17_sample_rows_plus_both_values,0.7895601360003154,116031.0,DEEPSEEK,146956.50743942024
v24_full_no_numeric_stats,0.785257507165273,133865.0,DEEPSEEK,170472.74146189788
v07_plus_sample_rows,0.7796166721979777,47022.0,DEEPSEEK,60314.25657872427
v23_fk_nullable_sample_rows_plus_sample_values,0.7795675600369772,85491.0,DEEPSEEK,109664.64535279649
v20_fk_nullable_both_values,0.7738786506652832,101532.0,DEEPSEEK,131198.86420528026
v22_fk_nullable_sample_rows_plus_frequent,0.7705024639765422,86120.0,DEEPSEEK,111771.21946571984
v13_nullable_plus_frequent_values,0.7694304378827412,68256.0,DEEPSEEK,88709.77367079673
v16_sample_rows_vs_frequent_values,0.7610417747497559,83005.0,DEEPSEEK,109067.60016858933
v18_fk_nullable_sample_values,0.7598589777946472,67877.0,DEEPSEEK,89328.41748741415
v25_full_no_sample_rows,0.7518719506263732,142563.0,DEEPSEEK,189610.74406517347
v14_nullable_plus_numeric_stats,0.7491005603472393,60880.0,DEEPSEEK,81270.79757059531
v11_fk_plus_sample_rows,0.7483660491307575,47272.0,DEEPSEEK,63166.94892146349
v00_baseline,0.7464496938387554,29433.0,DEEPSEEK,39430.654527615065
v21_fk_nullable_sample_rows,0.7456051484743754,50137.0,DEEPSEEK,67243.36614706609
v04_plus_numeric_stats,0.7415113949775696,58015.0,DEEPSEEK,78238.85161165315
v06_plus_frequent_values,0.7364848272005717,65391.0,DEEPSEEK,88787.97985364556
v10_fk_plus_sample_and_frequent,0.7321153227488201,98667.0,DEEPSEEK,134769.75134128076
v05_plus_sample_values,0.7270287283261616,64762.0,DEEPSEEK,89077.63541765614
v09_fk_plus_frequent_values,0.7106317273775737,65641.0,DEEPSEEK,92369.92589992192
v19_fk_nullable_frequent_values,0.6911122314135234,68506.0,DEEPSEEK,99124.27661696207
v12_nullable_plus_sample_values,0.6899110523859661,67627.0,DEEPSEEK,98022.7810036105
v08_fk_plus_sample_values,0.6803964511553446,65012.0,DEEPSEEK,95550.17503340387
v03_plus_nullable,0.6786748345692952,32273.0,DEEPSEEK,47552.964035393015
v02_plus_fk,0.6779399604797364,29683.0,DEEPSEEK,43784.11324064032
