Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,25,0.6426666666666666,0.8449599402745566,0.1787500416934754,82376.0,160713.0,-78337.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,25,0.64,0.7895601360003154,0.17619512107505356,116031.0,160713.0,-44682.0
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,25,0.6133333333333333,0.785257507165273,0.24293637698743692,133865.0,160713.0,-26848.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,25,0.5333333333333333,0.7796166721979777,0.16824967376123806,47022.0,160713.0,-113691.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,25,0.6293333333333333,0.7795675600369772,0.24052692282921947,85491.0,160713.0,-75222.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,25,0.56,0.7738786506652832,0.2384206860125911,101532.0,160713.0,-59181.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,25,0.5466666666666666,0.7705024639765422,0.20937256191471443,86120.0,160713.0,-74593.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,25,0.56,0.7694304378827412,0.2027368074698623,68256.0,160713.0,-92457.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,25,0.56,0.7610417747497559,0.2333976280923005,83005.0,160713.0,-77708.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,25,0.5466666666666666,0.7598589777946472,0.1904226799891417,67877.0,160713.0,-92836.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,25,0.5466666666666666,0.7518719506263732,0.22511331575912172,142563.0,160713.0,-18150.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,25,0.52,0.7491005603472393,0.1886935951251439,60880.0,160713.0,-99833.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,25,0.5466666666666666,0.7483660491307575,0.1998856522051592,47272.0,160713.0,-113441.0
v00_baseline vs v01_full,v00_baseline,v01_full,25,0.4666666666666666,0.7464496938387554,0.1987149346190125,29433.0,160713.0,-131280.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,25,0.52,0.7456051484743754,0.22463761611981287,50137.0,160713.0,-110576.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,25,0.5466666666666666,0.7415113949775696,0.20041408957637286,58015.0,160713.0,-102698.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,25,0.5733333333333333,0.7364848272005717,0.215597001843477,65391.0,160713.0,-95322.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,25,0.4933333333333333,0.7321153227488201,0.22296108210845458,98667.0,160713.0,-62046.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,25,0.5066666666666666,0.7270287283261616,0.19436783466198654,64762.0,160713.0,-95951.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,25,0.4533333333333333,0.7106317273775737,0.2281674061359346,65641.0,160713.0,-95072.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,25,0.42666666666666664,0.6911122314135234,0.20676581962317345,68506.0,160713.0,-92207.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,25,0.4933333333333333,0.6899110523859661,0.228875040935797,67627.0,160713.0,-93086.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,25,0.4,0.6803964511553446,0.18106918191367474,65012.0,160713.0,-95701.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,25,0.42666666666666664,0.6786748345692952,0.23488470069993247,32273.0,160713.0,-128440.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,25,0.44266666666666665,0.6779399604797364,0.22441793261138177,29683.0,160713.0,-131030.0
