LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
GEMINI,nhanes_demographics.demo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.43278225262959796,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_dietary.ds1tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6750552256902059,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_dietary.ds2ids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7411958773930868,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_dietary.ds2tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8470171491305033,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_dietary.dsqids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.736086110273997,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_dietary.dsqtot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5613440076510111,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_examination.bmx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8173084457715353,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_examination.bpx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7600569327672323,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_examination.bpxo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8464507460594177,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_laboratory.cbc_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8385867277781168,27869.0,27569.0,300.0,P1_isolated_effects
GEMINI,nhanes_laboratory.fastqx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8413823048273722,27869.0,27569.0,300.0,P1_isolated_effects
