Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,25,0.36,0.758939078648885,0.17319510430761656,110798.0,190878.0,-80080.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,25,0.36,0.7474545804659526,0.1771298096925782,113663.0,190878.0,-77215.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,25,0.336,0.7455822219848633,0.17533559616165437,130759.0,190878.0,-60119.0
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,25,0.36266666666666664,0.7438391243616741,0.19170062425538656,151501.0,190878.0,-39377.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,25,0.28,0.741920968691508,0.17935228466975991,91876.0,190878.0,-99002.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,25,0.36,0.7413462986946107,0.13722553360192047,71915.0,190878.0,-118963.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,25,0.296,0.7411861406962076,0.13554458982669446,95041.0,190878.0,-95837.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,25,0.4293333333333333,0.7406960938771566,0.13202652997166928,74780.0,190878.0,-116098.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,25,0.3493333333333333,0.7402827159563701,0.17912640015039155,71945.0,190878.0,-118933.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,25,0.29333333333333333,0.7371893696784972,0.18129697715969473,92206.0,190878.0,-98672.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,25,0.336,0.7322190095583597,0.13652137701341543,71615.0,190878.0,-119263.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,25,0.29333333333333333,0.730588714281718,0.19607988444487634,89041.0,190878.0,-101837.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,25,0.29333333333333333,0.7232543261845906,0.1350951406232232,48130.0,190878.0,-142748.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,25,0.336,0.7227262746493023,0.14126480025405327,50970.0,190878.0,-139908.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,25,0.32266666666666666,0.7217287408510845,0.1884499503798156,71645.0,190878.0,-119233.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,25,0.376,0.7175734974543253,0.1586353061378422,74480.0,190878.0,-116398.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,25,0.33333333333333326,0.7167005888621013,0.17553854961660667,71536.0,190878.0,-119342.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,25,0.3493333333333333,0.7124506985346476,0.16206350801677114,47830.0,190878.0,-143048.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,25,0.28,0.7069712003072103,0.17753633959035975,68671.0,190878.0,-122207.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,25,0.32266666666666666,0.6963928462664286,0.2077847416943418,170617.0,190878.0,-20261.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,25,0.25866666666666666,0.692247826576233,0.2121990267018891,27869.0,190878.0,-163009.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,25,0.30666666666666664,0.6600481192270915,0.23449467753227027,69080.0,190878.0,-121798.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,25,0.32,0.655632667541504,0.2596713151330271,68780.0,190878.0,-122098.0
v00_baseline vs v01_full,v00_baseline,v01_full,25,0.2533333333333333,0.653227473417918,0.129173401039251,27569.0,190878.0,-163309.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,25,0.22666666666666666,0.6404071516990661,0.18136158120170276,30409.0,190878.0,-160469.0
