LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
MISTRAL,nhanes_demographics.demo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993046124777,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_dietary.ds1tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999483426412,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_dietary.ds2ids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6734461585680643,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_dietary.ds2tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6402277151743571,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_dietary.dsqids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.42775873343149823,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_dietary.dsqtot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6206380526224772,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_examination.bmx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8472768465677897,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_examination.bpx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8108469049135844,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_examination.bpxo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8092798988024393,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.cbc_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994436899821,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.fastqx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.42082834243774414,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.ghb_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6564455429712931,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.hepa_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5491152207056681,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.ins_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.4829784830411275,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.phthte_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.5305016040802002,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.ssuvcm_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5995452205340067,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.uio_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.47441105047861737,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.vic_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994238217672,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_laboratory.vid_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6581915418306986,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_questionnaire.alq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661103566488,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_questionnaire.dpq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7266363302866617,29995.0,29745.0,250.0,P1_isolated_effects
MISTRAL,nhanes_questionnaire.hsq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.4808030327161153,29995.0,29745.0,250.0,P1_isolated_effects
