Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,176374.0,MISTRAL,176374.0
v12_nullable_plus_sample_values,0.7074626318613688,76209.0,MISTRAL,107721.59060824229
v25_full_no_sample_rows,0.6865772827466329,156373.0,MISTRAL,227757.31724538608
v23_fk_nullable_sample_rows_plus_sample_values,0.6756818683942158,97632.0,MISTRAL,144494.03567987733
v09_fk_plus_frequent_values,0.6731562892595927,71748.0,MISTRAL,106584.46061451185
v17_sample_rows_plus_both_values,0.6597989217440288,128046.0,MISTRAL,194068.2165129028
v19_fk_nullable_frequent_values,0.6478012045224507,74613.0,MISTRAL,115178.8534493442
v15_sample_rows_vs_sample_values,0.6475474079449971,91301.0,MISTRAL,140995.08218208348
v10_fk_plus_sample_and_frequent,0.6466628225644429,109764.0,MISTRAL,169739.15334225283
v05_plus_sample_values,0.6459613418579102,73344.0,MISTRAL,113542.39835629857
v04_plus_numeric_stats,0.6451173321406047,70822.0,MISTRAL,109781.5799879396
v07_plus_sample_rows,0.6447122168540954,50893.0,MISTRAL,78939.09665359664
v24_full_no_numeric_stats,0.6424708604812622,142574.0,MISTRAL,221915.12295701727
v13_nullable_plus_frequent_values,0.6398380819956462,74363.0,MISTRAL,116221.59120017181
v14_nullable_plus_numeric_stats,0.6367603715260823,73687.0,MISTRAL,115721.71148684887
v06_plus_frequent_values,0.6318034569422404,71498.0,MISTRAL,113164.93953045332
v18_fk_nullable_sample_values,0.6263004620869954,76459.0,MISTRAL,122080.3825454939
v20_fk_nullable_both_values,0.6216156570116679,115909.0,MISTRAL,186464.09351594624
v11_fk_plus_sample_rows,0.6075222206115722,51143.0,MISTRAL,84182.92905980634
v08_fk_plus_sample_values,0.6063162692387899,73594.0,MISTRAL,121378.89701095245
v00_baseline,0.6056203254063924,29745.0,MISTRAL,49114.93018342815
v16_sample_rows_vs_frequent_values,0.6045248421033224,91725.0,MISTRAL,151730.7372859341
v22_fk_nullable_sample_rows_plus_frequent,0.5763722960154215,93106.0,MISTRAL,161537.95150055035
v21_fk_nullable_sample_rows,0.5654471063613892,54008.0,MISTRAL,95513.79676790201
v03_plus_nullable,0.5641616463661194,32585.0,MISTRAL,57758.26876904279
v02_plus_fk,0.5511819195747375,29995.0,MISTRAL,54419.41931466573
