Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,25,0.3466666666666666,0.7074626318613688,0.21302367460702698,76209.0,176374.0,-100165.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,25,0.32,0.6865772827466329,0.20358591817619706,156373.0,176374.0,-20001.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,25,0.33333333333333326,0.6756818683942158,0.22324489803125697,97632.0,176374.0,-78742.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,25,0.33333333333333326,0.6731562892595927,0.22069986907973635,71748.0,176374.0,-104626.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,25,0.33333333333333326,0.6597989217440288,0.21611184960569546,128046.0,176374.0,-48328.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,25,0.30666666666666664,0.6478012045224507,0.21956155257634774,74613.0,176374.0,-101761.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,25,0.30666666666666664,0.6475474079449971,0.2625789945054052,91301.0,176374.0,-85073.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,25,0.28,0.6466628225644429,0.2650360804341075,109764.0,176374.0,-66610.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,25,0.28,0.6459613418579102,0.24583567523581404,73344.0,176374.0,-103030.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,25,0.24,0.6451173321406047,0.25057117107307775,70822.0,176374.0,-105552.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,25,0.22666666666666666,0.6447122168540954,0.21204299731083603,50893.0,176374.0,-125481.0
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,25,0.30666666666666664,0.6424708604812622,0.24527471363405554,142574.0,176374.0,-33800.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,25,0.30666666666666664,0.6398380819956462,0.23276224062520998,74363.0,176374.0,-102011.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,25,0.26666666666666666,0.6367603715260823,0.2557154692674867,73687.0,176374.0,-102687.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,25,0.28,0.6318034569422404,0.23263938568766135,71498.0,176374.0,-104876.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,25,0.26666666666666666,0.6263004620869954,0.22854629077173483,76459.0,176374.0,-99915.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,25,0.30666666666666664,0.6216156570116679,0.20912762648459185,115909.0,176374.0,-60465.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,25,0.2,0.6075222206115722,0.1946083535788167,51143.0,176374.0,-125231.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,25,0.3466666666666666,0.6063162692387899,0.24215901337325577,73594.0,176374.0,-102780.0
v00_baseline vs v01_full,v00_baseline,v01_full,25,0.2,0.6056203254063924,0.24429638927832667,29745.0,176374.0,-146629.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,25,0.24,0.6045248421033224,0.2622543627325035,91725.0,176374.0,-84649.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,25,0.26666666666666666,0.5763722960154215,0.2699003029524692,93106.0,176374.0,-83268.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,25,0.1733333333333333,0.5654471063613892,0.19615699095435693,54008.0,176374.0,-122366.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,25,0.14666666666666667,0.5641616463661194,0.2440150787495405,32585.0,176374.0,-143789.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,25,0.18666666666666665,0.5511819195747375,0.2100694016759422,29995.0,176374.0,-146379.0
