Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,25,0.76,0.9030721068382264,0.1317155558679863,113332.0,155821.0,-42489.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,25,0.7066666666666667,0.8914647062619526,0.13355050157207043,82820.0,155821.0,-73001.0
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,25,0.6933333333333332,0.8658782450358073,0.15110386278346605,130020.0,155821.0,-25801.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,25,0.7066666666666666,0.8553942489624023,0.1572022250122931,61986.0,155821.0,-93835.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,25,0.6666666666666667,0.8465718754132588,0.14997712815624484,62236.0,155821.0,-93585.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,25,0.7066666666666667,0.8396640507380169,0.16364934127069977,79705.0,155821.0,-76116.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,25,0.5866666666666667,0.8128798007965088,0.1734789201887298,58140.0,155821.0,-97681.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,25,0.6,0.8108026274045308,0.16101713231298398,95863.0,155821.0,-59958.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,25,0.6266666666666666,0.8044768142700195,0.1943685363771938,44387.0,155821.0,-111434.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,25,0.6266666666666666,0.8041641068458557,0.17454796985155263,138613.0,155821.0,-17208.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,25,0.6266666666666666,0.8017222444216411,0.18371453743670557,80342.0,155821.0,-75479.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,25,0.5866666666666667,0.7995907751719158,0.19298216142769198,62623.0,155821.0,-93198.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,25,0.5733333333333333,0.7989222598075867,0.1791981576447079,44637.0,155821.0,-111184.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,25,0.5866666666666667,0.7952726769447327,0.1682961589275397,65101.0,155821.0,-90720.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,25,0.56,0.7922780028978984,0.17546880650785074,98728.0,155821.0,-57093.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,25,0.6,0.7897448023160298,0.18448522834680584,64851.0,155821.0,-90970.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,25,0.5733333333333333,0.7747948543230693,0.19554722459986504,47477.0,155821.0,-108344.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,25,0.5466666666666666,0.7746509981155395,0.22707040480455148,62873.0,155821.0,-92948.0
v00_baseline vs v01_full,v00_baseline,v01_full,25,0.49333333333333335,0.7680466159184773,0.1842636768606988,26668.0,155821.0,-129153.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,25,0.52,0.7664357797304789,0.18426614012415116,55275.0,155821.0,-100546.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,25,0.48,0.7542265017827351,0.1858822639746776,29533.0,155821.0,-126288.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,25,0.48,0.7529517070452373,0.1607127588636798,83457.0,155821.0,-72364.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,25,0.4666666666666666,0.740351795355479,0.2068194362581996,65488.0,155821.0,-90333.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,25,0.42666666666666664,0.7342113049825032,0.18707004578369926,65738.0,155821.0,-90083.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,25,0.44,0.7339926091829936,0.18459747514619657,26918.0,155821.0,-128903.0
