Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
nhanes_admin.load_catalog,DEEPSEEK,0.2222222222222222,0.7030467722151014
nhanes_admin.load_catalog,GEMINI,0.3333333333333333,0.8012699882189432
nhanes_admin.load_catalog,MISTRAL,1.0,0.9999992648760477
nhanes_admin.load_catalog,OPENAI,1.0,0.9999993642171224
nhanes_demographics.demo_j,DEEPSEEK,1.0,0.9999993840853373
nhanes_demographics.demo_j,GEMINI,1.0,0.9999997218449911
nhanes_demographics.demo_j,MISTRAL,1.0,0.9999997019767761
nhanes_demographics.demo_j,OPENAI,1.0,0.9999993840853373
nhanes_dietary.dr1iff_j,DEEPSEEK,0.7777777777777777,0.910536507765452
nhanes_dietary.dr1iff_j,GEMINI,1.0,0.9999993840853373
nhanes_dietary.dr1iff_j,MISTRAL,1.0,0.9999995231628418
nhanes_dietary.dr1iff_j,OPENAI,1.0,0.9999993046124777
nhanes_dietary.dr1tot_j,DEEPSEEK,0.3333333333333333,0.7145232624477811
nhanes_dietary.dr1tot_j,GEMINI,0.5555555555555555,0.8675639629364014
nhanes_dietary.dr1tot_j,MISTRAL,0.2222222222222222,0.22222208976745605
nhanes_dietary.dr1tot_j,OPENAI,0.7777777777777777,0.915063354704115
nhanes_dietary.dr2iff_j,DEEPSEEK,1.0,0.9999993642171224
nhanes_dietary.dr2iff_j,GEMINI,0.7777777777777777,0.9255603618092008
nhanes_dietary.dr2iff_j,MISTRAL,0.3333333333333333,0.6822776397069296
nhanes_dietary.dr2iff_j,OPENAI,0.7777777777777777,0.9197383522987366
nhanes_dietary.dr2tot_j,DEEPSEEK,0.7777777777777777,0.9274916185273064
nhanes_dietary.dr2tot_j,GEMINI,1.0,0.999999483426412
nhanes_dietary.dr2tot_j,MISTRAL,1.0,0.9999993840853373
nhanes_dietary.dr2tot_j,OPENAI,1.0,0.9999993046124777
nhanes_dietary.ds1ids_j,DEEPSEEK,1.0,0.9999995628992716
nhanes_dietary.ds1ids_j,GEMINI,0.3333333333333333,0.8769066466225518
nhanes_dietary.ds1ids_j,MISTRAL,1.0,0.9999994238217672
nhanes_dietary.ds1ids_j,OPENAI,0.1111111111111111,0.7500069671207004
nhanes_dietary.ds1tot_j,DEEPSEEK,0.7777777777777777,0.9592951867315503
