Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
exposicao a fenois,exposicao a arsenico,1,nhanes_laboratory.utas_j,1
exposicao a fenois,exposicao a arsenio urinario,1,nhanes_laboratory.uas_j,1
exposicao a fenois,exposicao a bisfenol a,1,nhanes_laboratory.fr_j,1
exposicao a fenois,exposicao a compostos etoxi,1,nhanes_laboratory.ethox_j,1
exposicao a fenois,exposicao a compostos organicos volateis,2,nhanes_laboratory.uvoc_j; nhanes_questionnaire.vtq_j,2
exposicao a fenois,exposicao a compostos volateis,1,nhanes_laboratory.uvoc_j,1
exposicao a fenois,exposicao a contaminantes,1,nhanes_laboratory.ucm_j,1
exposicao a fenois,exposicao a etoxietanol,1,nhanes_laboratory.ethox_j,1
exposicao a fenois,exposicao a fenois,1,nhanes_laboratory.fr_j,1
exposicao a fenois,exposicao a fenois ambientais,1,nhanes_laboratory.ephpp_j,1
exposicao a fenois,exposicao a ftalatos,2,nhanes_laboratory.fr_j; nhanes_laboratory.phthte_j,2
exposicao a fenois,exposicao a fumaca,1,nhanes_questionnaire.smqfam_j,1
exposicao a fenois,exposicao a hidrocarbonetos aromaticos,1,nhanes_laboratory.pah_j,1
exposicao a fenois,exposicao a metais,1,nhanes_laboratory.um_j,1
exposicao a fenois,exposicao a metais pesados,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.um_j,2
exposicao a fenois,exposicao a neonicotinoides,1,nhanes_laboratory.ssneon_j,1
exposicao a fenois,exposicao a organofosforados,1,nhanes_laboratory.opd_j,1
exposicao a fenois,exposicao a pesticidas,3,nhanes_laboratory.ephpp_j; nhanes_laboratory.opd_j; nhanes_laboratory.uphopm_j,3
exposicao a fenois,exposicao a pesticidas organofosforados,2,nhanes_laboratory.uas_j; nhanes_laboratory.uphopm_j,2
exposicao a fenois,exposicao a pfas,2,nhanes_laboratory.pfas_j; nhanes_laboratory.sspfas_j,2
exposicao a fenois,exposicao a plastificantes,1,nhanes_laboratory.phthte_j,1
exposicao a fenois,exposicao a substancias perfluoroalquiladas,1,nhanes_laboratory.sspfas_j,1
exposicao a fenois,exposicao a tabaco,1,nhanes_laboratory.ucot_j,1
exposicao a fenois,exposicao a tiocianato,1,nhanes_laboratory.pernt_j,1
exposicao a fenois,exposicao ambiental a pah,1,nhanes_laboratory.pah_j,1
exposicao a fenois,exposicao ao fumo passivo,1,nhanes_questionnaire.smqshs_j,1
exposicao a fenois,exposicao ao mercurio,1,nhanes_laboratory.uhg_j,1
exposicao a fenois,exposicao ao tabaco,1,nhanes_laboratory.ucot_j,1
exposicao a fenois,marcadores de exposicao ao tabaco,1,nhanes_laboratory.crco_j,1
frequencia de consumo alimentar,acesso a alimentos,2,nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j,2
frequencia de consumo alimentar,consumo alimentar,9,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j,9
