Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,exposicao a fenois,36,29,"exposicao a arsenico, exposicao a arsenio urinario, exposicao a bisfenol a, exposicao a compostos etoxi, exposicao a compostos organicos volateis, exposicao a compostos volateis, exposicao a contaminantes, exposicao a etoxietanol, exposicao a fenois, exposicao a fenois ambientais...",4_8
2,frequencia de consumo alimentar,33,14,"acesso a alimentos, consumo alimentar, consumo de nutrientes, consumo total de nutrientes, frequencia alimentar, frequencia de consumo, frequencia de consumo alimentar, frequencia de consumo de alimentos, horario de consumo, ingestao de nutrientes...",7_8
3,colesterol total serico,29,26,"carotenoides sericos, colesterol ldl, colesterol total, colesterol total (si), colesterol total serico, cotinina serica, ferritina serica, ferro serico, folato eritrocitario, hdl colesterol...",0_0
4,ingestao de nutrientes por suplementos,27,16,"composicao de alimentos, composicao de vitaminas e minerais, composicao nutricional de suplementos, consumo de suplementos dieteticos, consumo de suplementos minerais, consumo de suplementos vitaminicos, consumo de vitaminas e minerais, deficiencia de vitaminas, frequencia de uso de vitaminas, ingestao de nutrientes de suplementos...",8_8
5,densidade ossea,26,21,"analise da densitometria ossea, analise de composicao corporal, analise de varredura dxa, composicao corporal, composicao corporal por dxa, composicao mineral do femur, conteudo mineral osseo, conteudo mineral osseo lombar, densidade mineral ossea, densidade mineral ossea da coluna...",9_5
6,uso de cigarros,25,19,"biomarcadores tabagismo, cessacao do tabagismo, composicao do cigarro, frequencia de fumo, frequencia de uso de tabaco, habitos de fumar, habitos de tabagismo, marcas de cigarros, numero de cigarros, tabagismo...",9_0
7,questionario de saude,25,16,"questionario de comportamento alimentar, questionario de condicoes medicas, questionario de depressao, questionario de dermatologia, questionario de doenca cardiovascular, questionario de osteoporose, questionario de pressao arterial, questionario de saude, questionario de saude auditiva, questionario de saude do paciente...",6_3
8,sorologia hepatite e,24,23,"anticorpos hepatite c, anticorpos igg para hepatite e, anticorpos igm para hepatite e, antigeno de superficie da hepatite b, co-infeccao de hepatite b e d, genotipagem de hepatite c, genotipo hepatite c, hepatite, hepatite a sorologia, hepatite b e d coinfeccao...",3_4
9,exame auditivo,22,16,"admitancia acustica, audiometria, avaliacao auditiva, avaliacao de campo visual, exame auditivo, exame do canal auditivo, limiar auditivo, limiares tonais, medidas de acuidade visual, perda auditiva...",4_0
10,niveis de transferrina,21,18,"capacidade de ligacao do ferro, dosagem de folato em hemacias, dosagem de folato serico, medicao de tocoferois, medicao de transferrina (si), medicao de vitamina d2 e d3, metabolismo do ferro, niveis de carotenoides, niveis de cobalto no sangue, niveis de ferritina...",0_4
11,controle glicemico,20,15,"analise de glicemia, controle glicemico, diabetes, distribuicao de insulina, glicemia, glicemia abaixo do limite de deteccao, metabolismo da glicose, monitoramento de glicemia e pressao, niveis de glicose no plasma, niveis de hemoglobina glicada...",2_0
12,pesquisa nhanes,20,14,"analise laboratorial nhanes, catalogo nhanes, dados da pesquisa nhanes, dados de inquerito nutricional, dados laboratoriais nhanes, inquerito laboratorial nhanes, metadados da pesquisa nhanes, pesos amostrais nhanes, pesquisa de saude (nhanes), pesquisa dietetica nhanes...",9_7
13,condicoes de saude,19,15,"acesso a cuidados de saude, condicoes cronicas, condicoes de saude, condicoes de saude associadas, condicoes medicas, condicoes renais, impacto de condicoes de pele, mobilidade e cuidados, ocupacao e saude, prevalencia de doencas...",7_0
14,biomarcadores urinarios,18,18,"albumina urinaria, analise de biomarcadores urinarios, biomarcadores urinarios, creatinina urinaria, fluxo urinario, ftalatos urinarios, iodo urinario, mercury urinario, metais urinarios, perfil urinario de nitrato...",0_8
