Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,cdq,0.9218,1,6_6
2,altura,0.9065,1,7_6
3,mercurio total,0.9033,1,7_6
4,ciclo 2017-2018,0.8821,1,7_6
5,diabetes,0.8800,2,2_0
6,estoque de ferro,0.8632,1,5_6
7,admitancia acustica,0.8609,1,4_0
8,timpanometria,0.8484,1,4_0
9,deficiencia de vitamina c,0.8479,1,8_0
10,hematocrito,0.8385,1,0_0
11,coluna vertebral,0.8359,1,4_1
12,pulso,0.8348,1,3_0
13,limiares tonais,0.8332,1,4_0
14,massa gorda e magra,0.8332,1,8_5
15,folato eritrocitario,0.8300,1,0_0
16,hormonios sexuais,0.8272,1,2_1
17,cidadania e imigracao,0.8271,1,5_6
18,metabolitos de cisteina,0.8229,1,1_8
19,numero de quartos,0.8175,1,5_5
20,duracao do emprego,0.8173,1,9_2
21,marcadores de alergia,0.8167,1,0_2
22,prevalencia de diabetes,0.8131,1,2_0
23,perfil de pfas,0.8106,1,7_6
24,leucograma,0.8101,1,0_1
25,historico menstrual,0.8097,1,8_6
26,metadados de arquivos de dados,0.8096,1,5_6
27,prevalencia de hiv,0.8087,1,4_3
28,chumbo sanguineo,0.8084,1,4_6
29,historico de doencas renais,0.8080,1,0_5
30,duracao de prescricao,0.8047,1,9_2
31,inflamacao,0.8016,1,8_0
