Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
exposicao a fenois,29,36,23,nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pernt_j; nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j
frequencia de consumo alimentar,14,33,19,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
colesterol total serico,26,29,16,nhanes_laboratory.biopro_j; nhanes_laboratory.cot_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.folate_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ins_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.tchol_j; nhanes_laboratory.tfr_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
ingestao de nutrientes por suplementos,16,27,11,nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_laboratory.vid_j; nhanes_questionnaire.inq_j
densidade ossea,21,26,7,nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_questionnaire.osq_j
uso de cigarros,19,25,10,nhanes_laboratory.cot_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
questionario de saude,16,25,20,nhanes_laboratory.fastqx_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j
sorologia hepatite e,23,24,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_questionnaire.heq_j
exame auditivo,16,22,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_questionnaire.auq_j
niveis de transferrina,18,21,10,nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.folate_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.tfr_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
