Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
ingestao de nutrientes por suplemento,composicao nutricional de suplementos,1,nhanes_dietary.ds1ids_j,1
ingestao de nutrientes por suplemento,consumo de suplementos dieteticos,2,nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j,2
ingestao de nutrientes por suplemento,consumo de suplementos minerais,1,nhanes_dietary.dsqtot_j,1
ingestao de nutrientes por suplemento,consumo de suplementos vitaminicos,1,nhanes_dietary.dsqtot_j,1
ingestao de nutrientes por suplemento,consumo de vitaminas e minerais,4,nhanes_dietary.dr1tot_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds2tot_j,4
ingestao de nutrientes por suplemento,consumo total de nutrientes,1,nhanes_dietary.ds1tot_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes,1,nhanes_dietary.dr2iff_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes de suplementos,1,nhanes_dietary.dsqids_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes diarios,1,nhanes_dietary.dr2tot_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes por alimento,1,nhanes_dietary.dr1iff_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes por suplemento,1,nhanes_dietary.ds2ids_j,1
ingestao de nutrientes por suplemento,ingestao de nutrientes por suplementos,1,nhanes_dietary.dsqtot_j,1
ingestao de nutrientes por suplemento,ingestao de suplementos dieteticos,3,nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j,3
ingestao de nutrientes por suplemento,ingestao total de nutrientes,1,nhanes_dietary.dr1tot_j,1
ingestao de nutrientes por suplemento,status nutricional de iodo,1,nhanes_laboratory.uio_j,1
exposicao a fenois ambientais,exposicao a arsenico,1,nhanes_laboratory.utas_j,1
exposicao a fenois ambientais,exposicao a compostos etoxi,1,nhanes_laboratory.ethox_j,1
exposicao a fenois ambientais,exposicao a compostos volateis,1,nhanes_laboratory.uvoc_j,1
exposicao a fenois ambientais,exposicao a fenois ambientais,1,nhanes_laboratory.ephpp_j,1
exposicao a fenois ambientais,exposicao a ftalatos,1,nhanes_laboratory.phthte_j,1
exposicao a fenois ambientais,exposicao a fumaca,1,nhanes_questionnaire.smqfam_j,1
exposicao a fenois ambientais,exposicao a hidrocarbonetos aromaticos,1,nhanes_laboratory.pah_j,1
exposicao a fenois ambientais,exposicao a metais pesados,1,nhanes_laboratory.um_j,1
exposicao a fenois ambientais,exposicao a neonicotinoides,1,nhanes_laboratory.ssneon_j,1
exposicao a fenois ambientais,exposicao a organofosforados,1,nhanes_laboratory.opd_j,1
exposicao a fenois ambientais,exposicao a pesticidas organofosforados,1,nhanes_laboratory.uphopm_j,1
exposicao a fenois ambientais,exposicao a substancias perfluoroalquiladas,1,nhanes_laboratory.sspfas_j,1
exposicao a fenois ambientais,exposicao a tiocianato,1,nhanes_laboratory.pernt_j,1
exposicao a fenois ambientais,exposicao ao fumo passivo,1,nhanes_questionnaire.smqshs_j,1
exposicao a fenois ambientais,exposicao ao iodo na populacao,1,nhanes_laboratory.uni_j,1
exposicao a fenois ambientais,exposicao ao mercurio,1,nhanes_laboratory.uhg_j,1
