Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,ingestao de nutrientes por suplemento,21,15,"composicao nutricional de suplementos, consumo de suplementos dieteticos, consumo de suplementos minerais, consumo de suplementos vitaminicos, consumo de vitaminas e minerais, consumo total de nutrientes, ingestao de nutrientes, ingestao de nutrientes de suplementos, ingestao de nutrientes diarios, ingestao de nutrientes por alimento...",9_7
2,exposicao a fenois ambientais,17,17,"exposicao a arsenico, exposicao a compostos etoxi, exposicao a compostos volateis, exposicao a fenois ambientais, exposicao a ftalatos, exposicao a fumaca, exposicao a hidrocarbonetos aromaticos, exposicao a metais pesados, exposicao a neonicotinoides, exposicao a organofosforados...",0_8
3,limite de deteccao,13,10,"analise de limite de deteccao, analise de metabolitos de pesticidas, analise de substancias quimicas (ssppma, ssmmac), analise do limite de deteccao, limite de deteccao, limite de deteccao de analitos, limite de deteccao de glifosato, limite de deteccao de mercurio, limite de deteccao de produtos quimicos, limite de deteccao ucm",0_4
4,resultados de teste de hepatite b,13,13,"anticorpos igg para hepatite e, anticorpos igm para hepatite e, antigeno de superficie da hepatite b, co-infeccao de hepatite b e d, genotipagem de hepatite c, marcadores sorologicos de hepatite b, resultados de anticorpos hepatite e, resultados de teste de hepatite b, resultados de testes de hepatite c, resultados do teste de hepatite a...",8_0
5,biomonitoramento de metabolitos urinarios,12,12,"biomonitoramento de metabolitos urinarios, concentracao de fenois na urina, concentracao de iodo urinario, concentracao de metais na urina, medicao de parabenos na urina, medicao de ucm na urina, metabolitos da nicotina na urina, metabolitos de ftalato na urina, metabolitos quimicos urinarios, metabolitos urinarios de vocs...",0_0
6,respostas de pesquisa,12,8,"dados da pesquisa nhanes, identificacao de respondentes, identificador de respondente, respostas de entrevistados, respostas de pesquisa, respostas de pesquisa de saude, respostas de pesquisa nhanes, respostas do questionario de renda",7_8
7,questionario sobre medicamentos,12,10,"questionario de dermatologia, questionario de urologia, questionario ocupacional, questionario sobre alcool, questionario sobre diabetes, questionario sobre eczema, questionario sobre fumo, questionario sobre medicamentos, questionario sobre tabagismo, questionario sobre uso de drogas",8_4
8,pressao do ouvido medio,11,10,"admitancia acustica, avaliacao auditiva, exame do canal auditivo, leituras multiplas de pressao, medicao de pressao arterial, medicoes em serie temporal, monitoramento de glicemia e pressao, pressao do ouvido medio, resultados de exame de timpanometria, timpanometria",2_5
9,uso de tabaco,11,11,"dados de actigrafia, habitos de fumar, habitos de tabagismo, indice de pobreza, marcas de cigarros, metabolitos da nicotina, prevalencia de diabetes, status de pobreza familiar, uso de aspirina, uso de medicamentos prescritos...",9_3
10,analise laboratorial nhanes,10,7,"analise de subamostra laboratorial, analise laboratorial de iodo, analise laboratorial de vic, analise laboratorial nhanes, analise laboratorial por espectrometria, dados laboratoriais nhanes, resultados de laboratorio nhanes",3_2
