Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,admitancia acustica,0.8849,1,2_5
2,timpanometria,0.8555,1,2_5
3,renda e pobreza familiar,0.8463,1,3_8
4,status de pobreza familiar,0.8204,1,9_3
5,caracteristicas do domicilio,0.8165,1,2_8
6,indice de pobreza,0.8067,1,9_3
7,folato eritrocitario,0.8010,1,9_2
8,carga horaria de trabalho,0.7941,1,2_8
9,perfil sociodemografico,0.7914,1,9_4
10,metabolitos de arsenico,0.7887,1,9_2
11,duracao do emprego,0.7820,1,2_8
12,metabolitos de cisteina,0.7817,1,9_2
13,sintomas de depressao,0.7815,1,3_8
14,marcas de cigarros,0.7773,1,9_3
15,zumbido nos ouvidos,0.7747,1,2_6
16,duracao do jejum,0.7721,1,2_7
17,dados de actigrafia,0.7717,1,9_3
