Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
ingestao de nutrientes por suplemento,15,21,11,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_laboratory.uio_j
exposicao a fenois ambientais,17,17,17,nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqshs_j
limite de deteccao,10,13,12,nhanes_laboratory.ihgem_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.vic_j
resultados de teste de hepatite b,13,13,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_questionnaire.imq_j
biomonitoramento de metabolitos urinarios,12,12,10,nhanes_laboratory.ephpp_j; nhanes_laboratory.pah_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
respostas de pesquisa,8,12,10,nhanes_laboratory.ins_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smqshs_j
questionario sobre medicamentos,10,12,12,nhanes_questionnaire.alq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
pressao do ouvido medio,10,11,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_questionnaire.diq_j
uso de tabaco,11,11,8,nhanes_examination.lux_j; nhanes_laboratory.cot_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqrtu_j
analise laboratorial nhanes,7,10,10,nhanes_laboratory.cmv_j; nhanes_laboratory.ethox_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepc_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.uio_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j
