Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
respostas de questionario de saude,autoavaliacao de saude,1,nhanes_questionnaire.hoq_j,1
respostas de questionario de saude,avaliacao de saude,11,nhanes_examination.lux_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.vtq_j,11
respostas de questionario de saude,avaliacao de saude mental,3,nhanes_questionnaire.imq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.whqmec_j,3
respostas de questionario de saude,pontuacao de saude mental,1,nhanes_questionnaire.ocq_j,1
respostas de questionario de saude,questionario de saude,31,nhanes_questionnaire.acq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j,27
respostas de questionario de saude,questionario de saude mental,1,nhanes_questionnaire.dpq_j,1
respostas de questionario de saude,questionario de saude nhanes,1,nhanes_questionnaire.vtq_j,1
respostas de questionario de saude,respostas de questionario de saude,7,nhanes_laboratory.fastqx_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.whqmec_j,7
respostas de questionario de saude,respostas de questionario de saude mental,1,nhanes_questionnaire.dlq_j,1
respostas de questionario de saude,respostas de questionario de saude oral,1,nhanes_questionnaire.ohq_j,1
