Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,respostas de questionario de saude,63,13,"autoavaliacao de saude, avaliacao de saude, avaliacao de saude mental, pontuacao de saude mental, questionario de saude, questionario de saude mental, questionario de saude nhanes, respostas de questionario de saude, respostas de questionario de saude mental, respostas de questionario de saude oral...",0_0
2,saude geral,47,14,"dieta e saude, saude, saude bucal, saude dentaria, saude emocional, saude feminina, saude geral, saude hepatica, saude intestinal, saude mental...",0_3
3,dados laboratoriais,38,7,"avaliacao laboratorial, dados laboratoriais, dados laboratoriais de saude, dados laboratoriais sanguineos, jejum laboratorial, valores laboratoriais, variaveis laboratoriais",5_11
4,estatisticas de saude,27,13,"categorias de dados de saude, classificacao de saude, condicoes de saude, condicoes de saude associadas, dados de saude, dados de saude populacional, estatisticas de saude, indicadores de saude, ocupacao e saude, tendencias de saude publica...",1_2
5,composicao de nutrientes,27,10,"composicao de macronutrientes, composicao de nutrientes, composicao de refeicoes, dados nutricionais, nutricao, nutrientes totais, suplementos alimentares, suplementos dieteticos, suplementos nutricionais, valores nutricionais",13_12
6,analise de saude,26,2,"analise de saude, analise de saude publica",1_1
7,pesos amostrais,24,8,"estudo de pesos amostrais, fatores de ponderacao amostral, peso amostral, peso amostral de pesquisa, pesos amostrais, pesos amostrais de 2 anos, pesos amostrais em pesquisas, pesos amostrais nhanes",8_11
8,exposicao a contaminantes,24,16,"exposicao a bisfenol a, exposicao a compostos organicos volateis, exposicao a contaminantes, exposicao a etanol, exposicao a etoxietanol, exposicao a fenois, exposicao a ftalatos, exposicao a pesticidas, exposicao a pesticidas organofosforados, exposicao a pfas...",3_0
9,questionario de comportamento,24,6,"questionario de comportamento, questionario dlq, questionario familiar, respostas de pesquisa, respostas de questionario, respostas questionario comportamento",9_9
10,demografia populacional,22,6,"amostragem populacional, dados demograficos, demografia, demografia populacional, estudos populacionais, perfil demografico",9_11
11,ingestao nutricional,22,7,"ingestao calorica diaria, ingestao calorica total, ingestao de alimentos por linha, ingestao de nutrientes, ingestao de vitaminas, ingestao nutricional, ingestao nutricional diaria",13_13
12,biomarcador laboratorial,20,9,"analise de biomarcadores, analise de biomarcadores sanguineos, biomarcador laboratorial, biomarcadores de saude, marcadores de doencas, marcadores laboratoriais, niveis de biomarcadores, niveis de marcadores laboratoriais, variabilidade de biomarcadores",4_13
13,hepatite b sorologia,20,17,"analise de hepatite b, anticorpos hepatite c, exames de hepatite, exposicao a hepatite, genotipo hepatite c, hepatite, hepatite a sorologia, hepatite b, hepatite b e d coinfeccao, hepatite b sorologia...",13_0
14,circunferencias corporais,20,12,"antropometria, circunferencia da cintura, circunferencias corporais, dados antropometricos, distribuicao de gordura, indice de gordura, indice de massa corporal, medidas antropometricas, medidas corporais, medidas de circunferencia abdominal...",8_13
15,consumo de cigarros,20,14,"cessacao do tabagismo, composicao do cigarro, consumo de cigarros, consumo de tabaco, frequencia de fumo, frequencia de uso de tabaco, marcas de cigarros, niveis de nicotina, numero de cigarros, tabagismo...",13_8
16,consumo alimentar,19,4,"comportamento alimentar, consumo alimentar, frequencia de consumo de alimentos, padroes consumo alimentar",12_11
17,valores de urina,18,11,"albumina urinaria, concentracao de urina, concentracao urinaria de iodo, creatinina urinaria, dados de urina, fluxo urinario, niveis de urina, resultado laboratorial urina, ucm urinario, valores de urina...",0_11
18,questionario de dieta,17,10,"analise dietetica, dados dieteticos, entrevista dietetica, pesquisa de dieta alimentar, pesquisa dietetica, pesquisa dietetica nhanes, questionario de alimentacao, questionario de dieta, questionario dietetico, respostas de questionario de dieta",11_13
19,dados de exames,17,6,"dados de exame, dados de exames, exames de sangue, exames medicos, resultados de exames, status de exame",4_8
20,analise de dados laboratoriais,16,3,"analise de dados laboratoriais, analise de variaveis laboratoriais, analise laboratorial",4_11
21,vitaminas sericas,16,11,"carotenoides sericos, cotinina serica, ferritina serica, ferro serico, perfil bioquimico serico, pfas sericos, ssagp serico, transferrina serica, vitamina c serica, vitamina d serica...",10_0
22,pressao arterial,16,8,"hipertensao, medidas de pressao arterial, medidas repetidas de pressao arterial, pressao arterial, pressao arterial diastolica, pressao arterial sistolica, pressao arterial sistolica e diastolica, pressao de pulso",0_5
