Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,cdq,0.8989,1,10_4
2,altura,0.8618,1,10_4
3,mercurio total,0.8563,1,10_3
4,ciclo 2017-2018,0.8520,1,10_4
5,pulso,0.8517,1,0_6
6,diabetes,0.8324,2,9_3
7,cidadania e imigracao,0.8261,1,11_6
8,estrutura de tabelas de dados,0.8226,1,3_6
9,genero,0.8189,1,10_4
10,perfil de pfas,0.8189,1,10_4
11,questionario dlq,0.8138,1,9_9
12,metadados de arquivos de dados,0.8094,1,8_10
13,etnia e origem,0.8093,1,11_5
14,status socioeconomico,0.8060,1,11_5
15,estoque de ferro,0.8038,1,4_5
16,massa gorda e magra,0.8029,1,9_13
17,pesquisa de arsenio,0.8003,1,8_10
18,deficiencia de vitaminas,0.7946,1,11_3
19,gravidez em mulheres,0.7940,1,12_5
20,trabalho noturno,0.7916,1,1_7
21,compostos organicos volateis,0.7899,2,5_0
22,compostos nitrogenados,0.7853,1,13_10
23,demografia,0.7851,1,9_11
24,numero de quartos,0.7828,1,11_7
25,sintomas respiratorios,0.7824,1,11_4
26,deficiencia de vitamina c,0.7822,1,11_3
27,tamanho da familia,0.7797,1,11_7
28,aleitamento materno,0.7789,1,13_10
29,horarios de sono,0.7764,3,0_7
30,uso de acido urico,0.7732,1,0_13
31,classificacao de asma,0.7727,1,11_6
32,classificacao de ajuda para locomocao,0.7715,1,11_6
