Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
status de saude,analise de saude,25,nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bpx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxspn_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.cbq_j,25
status de saude,comportamento de saude,5,nhanes_examination.aux_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.whqmec_j,5
status de saude,estado geral de saude,1,nhanes_questionnaire.hsq_j,1
status de saude,exame de saude,1,nhanes_examination.aux_j,1
status de saude,indicadores de saude,1,nhanes_questionnaire.inq_j,1
status de saude,indice de saude cardiovascular,1,nhanes_laboratory.tchol_j,1
status de saude,ocupacao e saude,1,nhanes_questionnaire.osq_j,1
status de saude,percepcao de saude fisica,1,nhanes_questionnaire.whqmec_j,1
status de saude,percepcao do estado de saude,1,nhanes_questionnaire.huq_j,1
status de saude,pesquisa de saude,1,nhanes_laboratory.uvoc_j,1
status de saude,saude autorreferida,1,nhanes_questionnaire.hsq_j,1
status de saude,saude autorrelatada,1,nhanes_questionnaire.ecq_j,1
status de saude,saude emocional,1,nhanes_questionnaire.heq_j,1
status de saude,saude mental,30,nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.whqmec_j,26
status de saude,status de saude,2,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j,2
status de saude,trabalho e saude,1,nhanes_questionnaire.osq_j,1
pesquisa laboratorial,avaliacao laboratorial,1,nhanes_laboratory.ins_j,1
pesquisa laboratorial,dados laboratoriais,21,nhanes_laboratory.alb_cr_j; nhanes_laboratory.cbc_j; nhanes_laboratory.crco_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fertin_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vitaec_j,21
pesquisa laboratorial,dados laboratoriais de saude,7,nhanes_laboratory.biopro_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.um_j,7
pesquisa laboratorial,exame laboratorial,1,nhanes_laboratory.hdl_j,1
pesquisa laboratorial,exames laboratoriais,7,nhanes_examination.dxxag_j; nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.hepe_j; nhanes_laboratory.tchol_j; nhanes_laboratory.vocwb_j,7
pesquisa laboratorial,jejum laboratorial,1,nhanes_laboratory.fastqx_j,1
pesquisa laboratorial,pesquisa de laboratorio,1,nhanes_laboratory.opd_j,1
