Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,status de saude,74,16,"analise de saude, comportamento de saude, estado geral de saude, exame de saude, indicadores de saude, indice de saude cardiovascular, ocupacao e saude, percepcao de saude fisica, percepcao do estado de saude, pesquisa de saude...",1_13
2,pesquisa laboratorial,60,13,"avaliacao laboratorial, dados laboratoriais, dados laboratoriais de saude, exame laboratorial, exames laboratoriais, jejum laboratorial, pesquisa de laboratorio, pesquisa laboratorial, pesquisa laboratorial de saude, resultados de exames laboratoriais...",3_1
3,questionario de saude,46,12,"questionario de atividade fisica, questionario de condicoes medicas, questionario de funcionamento fisico, questionario de imunizacao, questionario de saude, questionario de saude auditiva, questionario de saude bucal, questionario de saude do paciente, questionario de saude mental, questionario de saude reprodutiva...",6_13
4,saude geral,44,26,"acesso a cuidados de saude, analise de saude publica, cobertura de saude, cobertura de seguro saude, dados de saude, dados de saude populacional, dieta e saude, estatisticas de saude, historico de saude, medidas de saude...",0_13
5,respostas de questionario de saude,40,10,"respostas de questionario, respostas de questionario de saude, respostas de questionario de saude mental, respostas de questionario de saude oral, respostas de questionario medico, respostas do questionario de renda, respostas questionario auditivo, respostas questionario comportamento, respostas questionario saude, respostas questionario saude mental",7_13
6,pesos amostrais,29,13,"amostragem populacional, estrutura de tabelas de dados, estudo de pesos amostrais, fatores de ponderacao amostral, metadados de arquivos de dados, peso amostral, peso amostral de pesquisa, pesos amostrais, pesos amostrais de 2 anos, pesos amostrais em pesquisas...",10_13
7,analise de urina,27,12,"analise de urina, analise de urofluxometria, analise laboratorial de urina, concentracao de urina, exames de urina, fluxo urinario, taxa de fluxo urinario, tempo de coleta de urina, tempo de coleta urinaria, teste de gravidez em urina...",12_10
8,tempo de atividade diaria,27,20,"carga horaria de trabalho, duracao de atividades fisicas, duracao de caminhada, duracao de prescricao, duracao do emprego, duracao do jejum, duracao do sono, duracao do tratamento, horarios de sono, padroes de sono...",13_0
9,avaliacao sintomas depressivos,26,15,"avaliacao de depressao, avaliacao de sintomas, avaliacao de sintomas depressivos, avaliacao de sintomas psicologicos, avaliacao de sintomas respiratorios, avaliacao psicologica, avaliacao sintomas depressivos, depressao, escore de depressao, escore de sintomas depressivos...",3_13
10,ingestao de nutrientes por suplemento,26,10,"ingestao de nutrientes, ingestao de nutrientes de suplementos, ingestao de nutrientes diarios, ingestao de nutrientes por alimento, ingestao de nutrientes por suplemento, ingestao de nutrientes por suplementos, ingestao de suplementos dieteticos, ingestao nutricional, ingestao nutricional diaria, ingestao total de nutrientes",8_7
11,condicao dentaria,25,21,"avaliacao da saude bucal, avaliacao de condicoes dentarias, carie dentaria, caries e restauracoes dentarias, condicao de dentes, condicao dental, condicao dentaria, condicao dentaria por dente, exame dentario, exame odontologico...",8_0
12,hepatite b sorologia,24,21,"anticorpos hepatite c, anticorpos igg para hepatite e, anticorpos igm para hepatite e, antigeno de superficie da hepatite b, co-infeccao de hepatite b e d, exposicao a hepatite, genotipagem de hepatite c, genotipo hepatite c, hepatite, hepatite a sorologia...",5_0
13,pressao arterial,24,15,"frequencia de pulso, hipertensao, historico de hipertensao, leituras multiplas de pressao, medicao de pressao arterial, medicoes em serie temporal, medidas de pressao arterial, medidas repetidas de pressao arterial, pressao arterial, pressao arterial diastolica...",0_9
14,habitos de tabagismo,23,15,"cessacao do tabagismo, consumo de cigarros, consumo de tabaco, frequencia de fumo, frequencia de uso de tabaco, habitos de fumar, habitos de tabagismo, marcas de cigarros, numero de cigarros, tabagismo...",10_2
15,densidade ossea,22,17,"analise da densitometria ossea, analise de varredura dxa, composicao corporal por dxa, composicao mineral do femur, conteudo mineral osseo, conteudo mineral osseo lombar, densidade mineral ossea, densidade mineral ossea da coluna, densidade ossea, densitometria ossea...",13_13
16,perfil demografico,22,6,"dados demograficos, demografia, demografia populacional, perfil demografico, perfil sociodemografico, status socioeconomico",4_10
17,exposicao a fenois,22,17,"exposicao a bisfenol a, exposicao a compostos etoxi, exposicao a compostos organicos volateis, exposicao a compostos volateis, exposicao a etanol, exposicao a etoxietanol, exposicao a fenois, exposicao a fenois ambientais, exposicao a ftalatos, exposicao a hidrocarbonetos aromaticos...",13_3
18,exame auditivo,21,15,"audiometria, avaliacao auditiva, avaliacao de audicao, avaliacao de campo visual, exame auditivo, exame de visao, exame do canal auditivo, exames auditivos, medidas de acuidade visual, perda auditiva...",0_0
19,controle glicemico,20,13,"controle glicemico, diabetes, diabetes diagnostico, distribuicao de insulina, glicemia, indicadores de diabetes, insulina, insulina serica, monitoramento de glicemia e pressao, pesquisa de diabetes...",0_7
20,questionario sobre medicamentos,20,18,"questionario de audiometria, questionario de deficiencia, questionario de dermatologia, questionario de doenca cardiovascular, questionario de osteoporose, questionario de pressao arterial, questionario de sono, questionario de urologia, questionario dlq, questionario familiar...",5_13
21,analise de dados laboratoriais,19,6,"analise de dados laboratoriais, analise de subamostra laboratorial, analise de variaveis laboratoriais, analise laboratorial, medicoes laboratoriais de subamostra, micronutrientes laboratoriais",2_2
22,exposicao a contaminantes,19,13,"exposicao a arsenico, exposicao a arsenio urinario, exposicao a contaminantes, exposicao a metais, exposicao a metais pesados, exposicao a pfas, exposicao a poluentes, exposicao a substancias perfluoroalquiladas, exposicao ambiental, exposicao ambiental a pah...",13_4
23,analise de biomarcadores,18,10,"analise de biomarcadores, analise de biomarcadores sanguineos, analise de biomarcadores sericos, biomarcadores de saude, marcadores bioquimicos, marcadores de doencas, marcadores de inflamacao, niveis de biomarcadores, niveis de concentracao de biomarcadores, variabilidade de biomarcadores",3_4
24,avaliacao de saude,18,6,"autoavaliacao de saude, avaliacao de bem-estar, avaliacao de saude, avaliacao de saude mental, avaliacao de saude vocal, pontuacao de saude mental",2_13
25,pesquisa nhanes,17,11,"analise laboratorial nhanes, catalogo nhanes, ciclos de pesquisa nhanes, dados da pesquisa nhanes, dados laboratoriais nhanes, inquerito laboratorial nhanes, metadados da pesquisa nhanes, pesquisa de saude (nhanes), pesquisa dietetica nhanes, pesquisa laboratorial nhanes...",9_11
26,frequencia de atividade fisica,17,9,"atividade fisica, coluna vertebral, frequencia de atividade fisica, frequencia de atividades fisicas, funcionamento fisico, intensidade de atividade, intensidade de atividade fisica, lateralidade do braco, nivel de atividade",1_10
27,resultados de exames,17,7,"dados de exame, dados de exames, exames biomedicos, exames de sangue, resultados de exames, resultados de exames bioquimicos, resultados de teste de gravidez",2_0
28,respostas de pesquisa,16,8,"frequencia de respostas, identificacao de respondentes, identificador de respondente, padroes de resposta em pesquisa, padroes de respostas em pesquisa, respostas de entrevistados, respostas de pesquisa, respostas de pesquisa de saude",8_13
29,niveis de glicose,16,14,"glicemia abaixo do limite de deteccao, glicose serica, hemoglobina glicada, indice de glicose, metabolismo da glicose, niveis de glicose, niveis de glicose no plasma, niveis de glicose no sangue, niveis de hemoglobina, niveis de hemoglobina glicada...",0_6
30,medidas de peso corporal,16,5,"medidas antropometricas, medidas biometricas, medidas de circunferencia abdominal, medidas de peso corporal, peso corporal",3_8
31,frequencia de consumo,15,11,"analise de consumo, comportamento de consumo, frequencia de consumo, frequencia de consumo de bebidas, frequencia de uso, horario de consumo, localizacao de consumo, padroes de consumo, padroes de consumo de alcool, preferencias de consumo...",5_10
32,frequencia de consumo alimentar,15,5,"consumo alimentar, consumo de alimentos, frequencia de consumo alimentar, frequencia de consumo de alimentos, frequencia de refeicoes",6_9
33,uso de medicamentos,15,7,"consumo de alcool, consumo de cafeina, medicamentos prescritos, uso de aspirina, uso de drogas, uso de medicamentos, uso de medicamentos prescritos",9_4
34,avaliacao de composicao corporal,14,6,"analise de composicao corporal, avaliacao de composicao corporal, avaliacao de gordura corporal, composicao corporal, medidas de luxacao, quantificacao de tecido adiposo",12_13
35,condicoes medicas,14,13,"classificacao condicoes cronicas, condicoes cronicas, condicoes de saude associadas, condicoes medicas, condicoes medicas associadas, diagnosticos de doencas, historico familiar de doencas, impacto de condicoes de pele, prevalencia de condicoes de sono, prevalencia de doencas...",0_11
36,niveis de cotinina,13,12,"analise de cotinina, cotinina serica, dosagem de cotinina, metabolitos da nicotina, metabolitos da nicotina na urina, metabolitos de nicotina, niveis de cotinina, niveis de cotinina serica, niveis de cotinina urinaria, niveis de hidroxicotinina serica...",11_0
37,consumo de nutrientes,13,6,"consumo de nutrientes, consumo de suplementos dieteticos, consumo de suplementos minerais, consumo diario de nutrientes, consumo nutricional diario, consumo total de nutrientes",8_6
38,status de exame,13,11,"dados de exame fisico, exame de coluna, exame de mulheres, exame fisico, exames medicos, idade de diagnostico, medo de exame, protocolo de exame fisico, status de exame, status de exame oral...",1_0
39,distribuicao de gordura,13,8,"distribuicao de gordura, distribuicao de gordura androide/ginoide, hormonios sexuais, massa gorda e magra, percepcao de peso, percepcao de peso corporal, tentativas de emagrecimento, variaveis biometricas",2_9
40,niveis de transferrina,12,9,"analise de ferritina serica, ferritina serica, indice de saturacao de transferrina, medicao de transferrina (si), niveis de cobalto no sangue, niveis de ferritina, niveis de transferrina, saturacao de transferrina, transferrina serica",5_4
