Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,cdq,0.9196,1,4_8
2,diabetes,0.8730,2,0_7
3,estoque de ferro,0.8705,1,2_10
4,mercurio total,0.8644,1,5_7
5,genero,0.8644,1,4_9
6,ciclo 2017-2018,0.8632,1,4_8
7,altura,0.8622,1,4_8
8,estrutura de tabelas de dados,0.8542,1,10_13
9,admitancia acustica,0.8489,1,0_1
10,timpanometria,0.8483,1,0_0
11,etnia e origem,0.8270,1,3_10
12,pulso,0.8268,1,0_9
13,massa gorda e magra,0.8180,1,2_9
14,cidadania e imigracao,0.8177,1,3_11
15,gravidez em mulheres,0.8152,1,2_10
16,numero de quartos,0.8142,1,3_11
17,metadados de arquivos de dados,0.8117,1,10_13
18,chumbo sanguineo,0.8108,1,8_3
19,coluna vertebral,0.8064,1,1_10
20,renda e pobreza familiar,0.8054,1,3_11
21,medidas de luxacao,0.8053,1,12_13
22,tamanho de protese,0.8039,1,2_10
23,demografia,0.8015,1,4_10
24,hematocrito,0.8014,1,5_6
25,leucograma,0.7990,1,5_5
26,idade,0.7989,1,3_10
27,status de pobreza familiar,0.7986,1,4_8
28,qualidade do sono,0.7962,1,13_0
29,hormonios sexuais,0.7928,1,2_9
30,historico de gravidez,0.7901,1,2_10
31,perfil de pfas,0.7900,1,5_7
32,lateralidade do braco,0.7898,1,1_10
33,tecnicas cirurgicas,0.7894,1,1_11
34,indice de pobreza,0.7893,1,4_8
35,caracteristicas do domicilio,0.7879,1,3_11
36,idade na entrevista,0.7856,1,3_11
37,limiares tonais,0.7843,1,0_1
38,dados de actigrafia,0.7839,1,4_8
39,frequencia de valores,0.7838,1,5_9
40,historico menstrual,0.7837,1,4_8
