cluster_id,cluster_label,n_tables_in_cluster,table
0,seqn | ssagp | acq,98,nhanes_demographics.demo_j
0,seqn | ssagp | acq,98,nhanes_examination.aux_j
0,seqn | ssagp | acq,98,nhanes_examination.auxar_j
0,seqn | ssagp | acq,98,nhanes_examination.auxtym_j
0,seqn | ssagp | acq,98,nhanes_examination.auxwbr_j
0,seqn | ssagp | acq,98,nhanes_examination.bmx_j
0,seqn | ssagp | acq,98,nhanes_examination.bpx_j
0,seqn | ssagp | acq,98,nhanes_examination.bpxo_j
0,seqn | ssagp | acq,98,nhanes_examination.dxx_j
0,seqn | ssagp | acq,98,nhanes_examination.dxxag_j
0,seqn | ssagp | acq,98,nhanes_examination.dxxfem_j
0,seqn | ssagp | acq,98,nhanes_examination.dxxspn_j
0,seqn | ssagp | acq,98,nhanes_examination.lux_j
0,seqn | ssagp | acq,98,nhanes_laboratory.alb_cr_j
0,seqn | ssagp | acq,98,nhanes_laboratory.cmv_j
0,seqn | ssagp | acq,98,nhanes_laboratory.crco_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ephpp_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ethox_j
0,seqn | ssagp | acq,98,nhanes_laboratory.fastqx_j
0,seqn | ssagp | acq,98,nhanes_laboratory.fertin_j
0,seqn | ssagp | acq,98,nhanes_laboratory.fetib_j
0,seqn | ssagp | acq,98,nhanes_laboratory.folate_j
0,seqn | ssagp | acq,98,nhanes_laboratory.fr_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ghb_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hdl_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hepa_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hepb_s_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hepbd_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hepc_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hepe_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hiv_j
0,seqn | ssagp | acq,98,nhanes_laboratory.hscrp_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ihgem_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ins_j
0,seqn | ssagp | acq,98,nhanes_laboratory.opd_j
0,seqn | ssagp | acq,98,nhanes_laboratory.pah_j
0,seqn | ssagp | acq,98,nhanes_laboratory.pbcd_j
0,seqn | ssagp | acq,98,nhanes_laboratory.pernt_j
0,seqn | ssagp | acq,98,nhanes_laboratory.phthte_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ssagp_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ssfr_j
0,seqn | ssagp | acq,98,nhanes_laboratory.sspfas_j
0,seqn | ssagp | acq,98,nhanes_laboratory.sstst_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ssuvcm_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ssuvoc_j
0,seqn | ssagp | acq,98,nhanes_laboratory.tchol_j
0,seqn | ssagp | acq,98,nhanes_laboratory.tfr_j
0,seqn | ssagp | acq,98,nhanes_laboratory.uas_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ucflow_j
0,seqn | ssagp | acq,98,nhanes_laboratory.ucpreg_j
0,seqn | ssagp | acq,98,nhanes_laboratory.uhg_j
0,seqn | ssagp | acq,98,nhanes_laboratory.uio_j
0,seqn | ssagp | acq,98,nhanes_laboratory.uni_j
0,seqn | ssagp | acq,98,nhanes_laboratory.utas_j
0,seqn | ssagp | acq,98,nhanes_laboratory.vic_j
0,seqn | ssagp | acq,98,nhanes_laboratory.vitaec_j
0,seqn | ssagp | acq,98,nhanes_laboratory.vocwb_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.acq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.alq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.auq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.bpq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.cbq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.cbqpfa_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.cbqpfc_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.cdq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.dbq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.deq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.diq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.dlq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.dpq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.duq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.ecq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.fsq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.heq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.hiq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.hoq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.hsq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.huq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.imq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.inq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.kiq_u_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.mcq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.ocq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.ohq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.osq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.paq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.paqy_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.pfq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.puqmec_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.rhq_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.rxq_rx_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.rxqasa_j
0,seqn | ssagp | acq,98,nhanes_questionnaire.slq_j
