Configuracao,Shift_mean,Shift_std,TokensIn_mean,N_Modelos
v00_baseline,0.20068034485975902,0.051751270331943336,28353.75,4
v02_plus_fk,0.2301670705477397,0.07068408071051153,28616.25,4
v03_plus_nullable,0.23462632218996687,0.061260750412994266,31200.0,4
v07_plus_sample_rows,0.1586956661542257,0.050315987824179426,47533.0,4
v11_fk_plus_sample_rows,0.17446100835005446,0.06628802548185589,47795.5,4
v21_fk_nullable_sample_rows,0.19185201811790475,0.08040935088896216,50648.0,4
v04_plus_numeric_stats,0.1790049273173015,0.03660083632707063,63195.75,4
v14_nullable_plus_numeric_stats,0.1651483045419057,0.05650780075240013,66060.75,4
v06_plus_frequent_values,0.1881136161486308,0.05270278872638831,67073.0,4
v09_fk_plus_frequent_values,0.18938558065891264,0.031773349066542625,67335.5,4
v05_plus_sample_values,0.15388197183609012,0.07432673647226536,67926.75,4
v08_fk_plus_sample_values,0.1753470969994863,0.0954655334942778,68189.25,4
v13_nullable_plus_frequent_values,0.17614644217491152,0.04221766886948905,69938.0,4
v19_fk_nullable_frequent_values,0.1906684812307358,0.05160364599749652,70200.5,4
v12_nullable_plus_sample_values,0.16786176582177478,0.046536061584465174,70791.75,4
v18_fk_nullable_sample_values,0.16348640350500745,0.06017906914905839,71054.25,4
v16_sample_rows_vs_frequent_values,0.16952991787592575,0.07004280719936729,86028.25,4
v15_sample_rows_vs_sample_values,0.12549901167551672,0.07072634301342835,86314.5,4
v22_fk_nullable_sample_rows_plus_frequent,0.18474928327401482,0.07777457510475645,88722.25,4
v23_fk_nullable_sample_rows_plus_sample_values,0.12204488770167038,0.07246279659235315,90246.0,4
v10_fk_plus_sample_and_frequent,0.156862653930982,0.06280466747801171,103773.0,4
v20_fk_nullable_both_values,0.16020329817136128,0.06387239330596318,107458.0,4
v17_sample_rows_plus_both_values,0.11949456759293878,0.08269752615153003,122042.0,4
v24_full_no_numeric_stats,0.13465050427118946,0.07499232877413951,139490.0,4
v25_full_no_sample_rows,0.15926996370156613,0.03252674538405943,152041.5,4
v01_full,0.0,0.0,170946.5,4
