LLM_Model,Configuracao,SoftDice_vs_full,Shift,TokensIn_mean
OPENAI,v00_baseline,0.7680569609006246,0.14894303909937545,26668.0
OPENAI,v01_full,1.0,0.0,155821.0
OPENAI,v02_plus_fk,0.7339791433016458,0.18302085669835422,26918.0
OPENAI,v03_plus_nullable,0.7542069681485494,0.16279303185145066,29533.0
OPENAI,v04_plus_numeric_stats,0.7664112925529478,0.15058870744705222,55275.0
OPENAI,v05_plus_sample_values,0.8553948839505513,0.06160511604944874,61986.0
OPENAI,v06_plus_frequent_values,0.7995974135398864,0.11740258646011359,62623.0
OPENAI,v07_plus_sample_rows,0.8044759257634481,0.11252407423655197,44387.0
OPENAI,v08_fk_plus_sample_values,0.8465737676620484,0.07042623233795164,62236.0
OPENAI,v09_fk_plus_frequent_values,0.7746394046147665,0.1423605953852335,62873.0
OPENAI,v10_fk_plus_sample_and_frequent,0.8108026480674744,0.10619735193252566,95863.0
OPENAI,v11_fk_plus_sample_rows,0.7989009428024292,0.11809905719757086,44637.0
OPENAI,v12_nullable_plus_sample_values,0.7897291310628256,0.12727086893717443,64851.0
OPENAI,v13_nullable_plus_frequent_values,0.7403421521186828,0.17665784788131722,65488.0
OPENAI,v14_nullable_plus_numeric_stats,0.812864810625712,0.104135189374288,58140.0
OPENAI,v15_sample_rows_vs_sample_values,0.8396422878901164,0.07735771210988363,79705.0
OPENAI,v16_sample_rows_vs_frequent_values,0.8017237695058186,0.11527623049418145,80342.0
OPENAI,v17_sample_rows_plus_both_values,0.9030727577209473,0.013927242279052732,113332.0
OPENAI,v18_fk_nullable_sample_values,0.7952511445681253,0.12174885543187475,65101.0
OPENAI,v19_fk_nullable_frequent_values,0.7342184456189473,0.1827815543810527,65738.0
OPENAI,v20_fk_nullable_both_values,0.7922547849019369,0.12474521509806313,98728.0
OPENAI,v21_fk_nullable_sample_rows,0.774795357386271,0.142204642613729,47477.0
OPENAI,v22_fk_nullable_sample_rows_plus_frequent,0.7529485805829366,0.16405141941706347,83457.0
OPENAI,v23_fk_nullable_sample_rows_plus_sample_values,0.8914438064893087,0.025556193510691383,82820.0
OPENAI,v24_full_no_numeric_stats,0.8658785367012023,0.05112146329879774,130020.0
OPENAI,v25_full_no_sample_rows,0.8041429058710733,0.11285709412892675,138613.0
DEEPSEEK,v00_baseline,0.7464378690719603,0.17656213092803974,29433.0
DEEPSEEK,v01_full,1.0,0.0,160713.0
DEEPSEEK,v02_plus_fk,0.6779403944015503,0.24505960559844975,29683.0
DEEPSEEK,v03_plus_nullable,0.6786882201830545,0.24431177981694552,32273.0
DEEPSEEK,v04_plus_numeric_stats,0.7414976771672568,0.18150232283274326,58015.0
DEEPSEEK,v05_plus_sample_values,0.7270197184880576,0.19598028151194247,64762.0
DEEPSEEK,v06_plus_frequent_values,0.7364961663881938,0.18650383361180622,65391.0
DEEPSEEK,v07_plus_sample_rows,0.7796022248268127,0.1433977751731873,47022.0
