Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P1;FK vs baseline;0,8360512629493386;0,08094873705066141;8,827561292329488;v02_plus_fk;v00_baseline;0,917;OPENAI
P1;nullable vs baseline;0,8168230610158201;0,1001769389841799;10,924420827064328;v03_plus_nullable;v00_baseline;0,917;OPENAI
P1;numeric_stats vs baseline;0,7974802406741559;0,11951975932584413;13,033779642949195;v04_plus_numeric_stats;v00_baseline;0,917;OPENAI
P1;sample_values vs baseline;0,8016471395285056;0,1153528604714944;12,579374097218581;v05_plus_sample_values;v00_baseline;0,917;OPENAI
P1;frequent_values vs baseline;0,7419827549283293;0,1750172450716707;19,085850062341407;v06_plus_frequent_values;v00_baseline;0,917;OPENAI
P1;sample_rows vs baseline;0,8204696238675916;0,09653037613240845;10,526758574962752;v07_plus_sample_rows;v00_baseline;0,917;OPENAI
P2;numeric_stats sozinho;0,7974802406741559;0,11951975932584413;13,033779642949195;v04_plus_numeric_stats;v00_baseline;0,917;OPENAI
P2;numeric_stats + nullable vs nullable;0,7883050512819253;0,12869494871807474;14,034345552679905;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,917;OPENAI
P2;full vs full-sem-numeric_stats;0,8658899112052038;0,05111008879479628;5,573619279694251;v01_full;v24_full_no_numeric_stats;0,917;OPENAI
P3;rows vs sample_values;0,8498959812901772;0,06710401870982285;7,317777394746222;v07_plus_sample_rows;v05_plus_sample_values;0,917;OPENAI
P3;rows vs frequent_values;0,7761045674959142;0,14089543250408587;15,36482361004208;v07_plus_sample_rows;v06_plus_frequent_values;0,917;OPENAI
P3;rows+sample_val vs rows;0,8486441990917133;0,06835580090828675;7,454285813335523;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,917;OPENAI
P3;rows+sample_val vs sample_val;0,8626404832386239;0,05435951676137618;5,9279734745230295;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,917;OPENAI
P3;rows+freq_val vs rows;0,7861274558280349;0,13087254417196514;14,27181506782608;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,917;OPENAI
P3;rows+ambos vs rows;0,8259415917020544;0,09105840829794565;9,930033620277607;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,917;OPENAI
P3;full vs full-sem-rows;0,8041762299017037;0,11282377009829636;12,30357362031585;v01_full;v25_full_no_sample_rows;0,917;OPENAI
P4;FK+sample_val vs sample_val;0,8584751673329418;0,05852483266705821;6,382206397716271;v08_fk_plus_sample_values;v05_plus_sample_values;0,917;OPENAI
P4;FK+freq_val vs freq_val;0,8773018357896949;0,03969816421030514;4,329134592181585;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,917;OPENAI
P4;FK+ambos vs FK+sample_val;0,8844960440920997;0,03250395590790034;3,54459715462381;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,917;OPENAI
P4;FK+rows vs rows;0,9186057278840066;-0,0016057278840065914;-0,17510663947727276;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,917;OPENAI
P4;FK isolado vs baseline;0,8360512629493386;0,08094873705066141;8,827561292329488;v02_plus_fk;v00_baseline;0,917;OPENAI
P5;nullable+sample_val vs sample_val;0,8875322280210536;0,029467771978946455;3,21349748952524;v12_nullable_plus_sample_values;v05_plus_sample_values;0,917;OPENAI
P5;nullable+freq_val vs freq_val;0,8817513902400096;0,035248609759990446;3,843905099235599;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,917;OPENAI
P5;nullable+numeric_stats vs numeric_stats;0,9249862885385709;-0,007986288538570863;-0,87091478065113;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,917;OPENAI
P5;nullable isolado vs baseline;0,8168230610158201;0,1001769389841799;10,924420827064328;v03_plus_nullable;v00_baseline;0,917;OPENAI
P7;v00_baseline vs Full;0,7680658671220142;0,14893413287798585;16,241453967064977;v00_baseline;v01_full;0,917;OPENAI
P7;v02_plus_fk vs Full;0,7340333905960638;0,18296660940393628;19,952738211988688;v02_plus_fk;v01_full;0,917;OPENAI
P7;v03_plus_nullable vs Full;0,7542352370121176;0,16276476298788245;17,749701525396123;v03_plus_nullable;v01_full;0,917;OPENAI
P7;v04_plus_numeric_stats vs Full;0,7664663076144592;0,15053369238554082;16,415887937354505;v04_plus_numeric_stats;v01_full;0,917;OPENAI
P7;v05_plus_sample_values vs Full;0,8554055154251131;0,06159448457488692;6,716955787882979;v05_plus_sample_values;v01_full;0,917;OPENAI
P7;v06_plus_frequent_values vs Full;0,7996111269616024;0,11738887303839762;12,801403820981202;v06_plus_frequent_values;v01_full;0,917;OPENAI
P7;v07_plus_sample_rows vs Full;0,8045068180164227;0,11249318198357738;12,26752257181869;v07_plus_sample_rows;v01_full;0,917;OPENAI
P7;v08_fk_plus_sample_values vs Full;0,8465894302486292;0,07041056975137083;7,678360932537713;v08_fk_plus_sample_values;v01_full;0,917;OPENAI
P7;v09_fk_plus_frequent_values vs Full;0,7746448827151551;0,14235511728484496;15,524004065959101;v09_fk_plus_frequent_values;v01_full;0,917;OPENAI
P7;v10_fk_plus_sample_and_frequent vs Full;0,8108230335091389;0,10617696649086117;11,57873135123895;v10_fk_plus_sample_and_frequent;v01_full;0,917;OPENAI
P7;v11_fk_plus_sample_rows vs Full;0,7989547017813168;0,11804529821868326;12,872987810107226;v11_fk_plus_sample_rows;v01_full;0,917;OPENAI
P7;v12_nullable_plus_sample_values vs Full;0,7897625552955296;0,1272374447044704;13,875402912155987;v12_nullable_plus_sample_values;v01_full;0,917;OPENAI
P7;v13_nullable_plus_frequent_values vs Full;0,7403678164811406;0,17663218351885945;19,261961125284564;v13_nullable_plus_frequent_values;v01_full;0,917;OPENAI
P7;v14_nullable_plus_numeric_stats vs Full;0,8129284902979438;0,10407150970205625;11,349128647988687;v14_nullable_plus_numeric_stats;v01_full;0,917;OPENAI
P7;v15_sample_rows_vs_sample_values vs Full;0,8396845341024033;0,07731546589759675;8,431348516640865;v15_sample_rows_vs_sample_values;v01_full;0,917;OPENAI
P7;v16_sample_rows_vs_frequent_values vs Full;0,8017328290852325;0,11526717091476757;12,570029543595155;v16_sample_rows_vs_frequent_values;v01_full;0,917;OPENAI
P7;v17_sample_rows_plus_both_values vs Full;0,9031036610176579;0,013896338982342105;1,5154131932761292;v17_sample_rows_plus_both_values;v01_full;0,917;OPENAI
P7;v18_fk_nullable_sample_values vs Full;0,7952841855588803;0,12171581444111979;13,273262207319497;v18_fk_nullable_sample_values;v01_full;0,917;OPENAI
P7;v19_fk_nullable_frequent_values vs Full;0,7342464242160319;0,18275357578396811;19,92950662856795;v19_fk_nullable_frequent_values;v01_full;0,917;OPENAI
P7;v20_fk_nullable_both_values vs Full;0,7922985997319266;0,12470140026807341;13,598844085940392;v20_fk_nullable_both_values;v01_full;0,917;OPENAI
P7;v21_fk_nullable_sample_rows vs Full;0,774805711149319;0,14219428885068108;15,50646552352029;v21_fk_nullable_sample_rows;v01_full;0,917;OPENAI
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;0,752988950344867;0,16401104965513302;17,885610649414723;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,917;OPENAI
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;0,8914867878637304;0,02551321213626967;2,7822477793096696;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,917;OPENAI
P7;v24_full_no_numeric_stats vs Full;0,8658899112052038;0,05111008879479628;5,573619279694251;v24_full_no_numeric_stats;v01_full;0,917;OPENAI
P7;v25_full_no_sample_rows vs Full;0,8041762299017037;0,11282377009829636;12,30357362031585;v25_full_no_sample_rows;v01_full;0,917;OPENAI
P1;FK vs baseline;0,821511168631137;0,101488831368863;10,99553969326793;v02_plus_fk;v00_baseline;0,923;DEEPSEEK
P1;nullable vs baseline;0,8026227146231232;0,12037728537687686;13,04195941244603;v03_plus_nullable;v00_baseline;0,923;DEEPSEEK
P1;numeric_stats vs baseline;0,7182864267002878;0,2047135732997123;22,17915203680523;v04_plus_numeric_stats;v00_baseline;0,923;DEEPSEEK
P1;sample_values vs baseline;0,762755586868744;0,16024441313125604;17,36125819406891;v05_plus_sample_values;v00_baseline;0,923;DEEPSEEK
P1;frequent_values vs baseline;0,7296560742939132;0,19334392570608683;20,94733756295632;v06_plus_frequent_values;v00_baseline;0,923;DEEPSEEK
P1;sample_rows vs baseline;0,747538150050153;0,17546184994984704;19,00995124050347;v07_plus_sample_rows;v00_baseline;0,923;DEEPSEEK
P2;numeric_stats sozinho;0,7182864267002878;0,2047135732997123;22,17915203680523;v04_plus_numeric_stats;v00_baseline;0,923;DEEPSEEK
P2;numeric_stats + nullable vs nullable;0,7102469779781175;0,2127530220218825;23,05016489944556;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,923;DEEPSEEK
P2;full vs full-sem-numeric_stats;0,7852680741897351;0,13773192581026494;14,922202146290891;v01_full;v24_full_no_numeric_stats;0,923;DEEPSEEK
P3;rows vs sample_values;0,7245592461463314;0,19844075385366866;21,49953996247764;v07_plus_sample_rows;v05_plus_sample_values;0,923;DEEPSEEK
P3;rows vs frequent_values;0,7172933238371272;0,20570667616287286;22,28674714657344;v07_plus_sample_rows;v06_plus_frequent_values;0,923;DEEPSEEK
P3;rows+sample_val vs rows;0,7909160965435187;0,13208390345648136;14,310282064624197;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,923;DEEPSEEK
P3;rows+sample_val vs sample_val;0,7945267914533458;0,12847320854665423;13,919090850125052;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,923;DEEPSEEK
P3;rows+freq_val vs rows;0,7665558656519306;0,15644413434806947;16,949527014958772;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,923;DEEPSEEK
P3;rows+ambos vs rows;0,775155636704595;0,14784436329540507;16,01780750762785;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,923;DEEPSEEK
P3;full vs full-sem-rows;0,7518721981566783;0,17112780184332177;18,54039023221254;v01_full;v25_full_no_sample_rows;0,923;DEEPSEEK
P4;FK+sample_val vs sample_val;0,8212376376765823;0,10176236232341773;11,025174682927165;v08_fk_plus_sample_values;v05_plus_sample_values;0,923;DEEPSEEK
P4;FK+freq_val vs freq_val;0,8056672713802903;0,11733272861970978;12,712104942547104;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,923;DEEPSEEK
P4;FK+ambos vs FK+sample_val;0,7900237636422802;0,13297623635771982;14,406959518712872;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,923;DEEPSEEK
P4;FK+rows vs rows;0,7844231377554679;0,13857686224453214;15,013744555203914;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,923;DEEPSEEK
P4;FK isolado vs baseline;0,821511168631137;0,101488831368863;10,99553969326793;v02_plus_fk;v00_baseline;0,923;DEEPSEEK
P5;nullable+sample_val vs sample_val;0,8074634838909016;0,11553651610909843;12,517499036738725;v12_nullable_plus_sample_values;v05_plus_sample_values;0,923;DEEPSEEK
P5;nullable+freq_val vs freq_val;0,8577527055372678;0,06524729446273225;7,069045987294935;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,923;DEEPSEEK
P5;nullable+numeric_stats vs numeric_stats;0,7924143246708532;0,1305856753291469;14,147960490698472;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,923;DEEPSEEK
P5;nullable isolado vs baseline;0,8026227146231232;0,12037728537687686;13,04195941244603;v03_plus_nullable;v00_baseline;0,923;DEEPSEEK
P7;v00_baseline vs Full;0,7464370985521039;0,1765629014478961;19,12924176033544;v00_baseline;v01_full;0,923;DEEPSEEK
P7;v02_plus_fk vs Full;0,6779448097987963;0,2450551902012037;26,54985809330484;v02_plus_fk;v01_full;0,923;DEEPSEEK
P7;v03_plus_nullable vs Full;0,6786878036206219;0,24431219637937818;26,469360387798286;v03_plus_nullable;v01_full;0,923;DEEPSEEK
P7;v04_plus_numeric_stats vs Full;0,7414997140392157;0,18150028596078438;19,664169659889964;v04_plus_numeric_stats;v01_full;0,923;DEEPSEEK
P7;v05_plus_sample_values vs Full;0,7270176676709137;0,19598233232908635;21,233188768048358;v05_plus_sample_values;v01_full;0,923;DEEPSEEK
P7;v06_plus_frequent_values vs Full;0,7364955930677196;0,18650440693228043;20,20632794499246;v06_plus_frequent_values;v01_full;0,923;DEEPSEEK
P7;v07_plus_sample_rows vs Full;0,7796037082212901;0,14339629177870994;15,53589293377139;v07_plus_sample_rows;v01_full;0,923;DEEPSEEK
P7;v08_fk_plus_sample_values vs Full;0,6804040005085423;0,24259599949145771;26,28342356353821;v08_fk_plus_sample_values;v01_full;0,923;DEEPSEEK
P7;v09_fk_plus_frequent_values vs Full;0,7106436574465885;0,21235634255341151;23,007187708928655;v09_fk_plus_frequent_values;v01_full;0,923;DEEPSEEK
P7;v10_fk_plus_sample_and_frequent vs Full;0,7321292346915138;0,19087076530848623;20,679389524213025;v10_fk_plus_sample_and_frequent;v01_full;0,923;DEEPSEEK
P7;v11_fk_plus_sample_rows vs Full;0,7484368083669805;0,1745631916330196;18,912588475950116;v11_fk_plus_sample_rows;v01_full;0,923;DEEPSEEK
P7;v12_nullable_plus_sample_values vs Full;0,6899132783829061;0,23308672161709398;25,253165939013435;v12_nullable_plus_sample_values;v01_full;0,923;DEEPSEEK
P7;v13_nullable_plus_frequent_values vs Full;0,7694494077132978;0,1535505922867022;16,636033833878894;v13_nullable_plus_frequent_values;v01_full;0,923;DEEPSEEK
P7;v14_nullable_plus_numeric_stats vs Full;0,7491019421190481;0,17389805788095192;18,840526314295982;v14_nullable_plus_numeric_stats;v01_full;0,923;DEEPSEEK
P7;v15_sample_rows_vs_sample_values vs Full;0,8449618705338247;0,07803812946617539;8,454835261774148;v15_sample_rows_vs_sample_values;v01_full;0,923;DEEPSEEK
P7;v16_sample_rows_vs_frequent_values vs Full;0,7610954670983603;0,16190453290163975;17,541119490968555;v16_sample_rows_vs_frequent_values;v01_full;0,923;DEEPSEEK
P7;v17_sample_rows_plus_both_values vs Full;0,7895745750634522;0,13342542493654785;14,455625670265206;v17_sample_rows_plus_both_values;v01_full;0,923;DEEPSEEK
P7;v18_fk_nullable_sample_values vs Full;0,7598557738088669;0,1631442261911331;17,67543078993858;v18_fk_nullable_sample_values;v01_full;0,923;DEEPSEEK
P7;v19_fk_nullable_frequent_values vs Full;0,6911155357201263;0,23188446427987375;25,122910539531283;v19_fk_nullable_frequent_values;v01_full;0,923;DEEPSEEK
P7;v20_fk_nullable_both_values vs Full;0,7738978162741;0,1491021837259;16,15408274386782;v20_fk_nullable_both_values;v01_full;0,923;DEEPSEEK
P7;v21_fk_nullable_sample_rows vs Full;0,7456488867515313;0,17735111324846875;19,214638488458153;v21_fk_nullable_sample_rows;v01_full;0,923;DEEPSEEK
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;0,7705559838304927;0,1524440161695073;16,51614476376027;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,923;DEEPSEEK
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;0,7795640407660143;0,14343595923398578;15,54019059956509;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,923;DEEPSEEK
P7;v24_full_no_numeric_stats vs Full;0,7852680741897351;0,13773192581026494;14,922202146290891;v24_full_no_numeric_stats;v01_full;0,923;DEEPSEEK
P7;v25_full_no_sample_rows vs Full;0,7518721981566783;0,17112780184332177;18,54039023221254;v25_full_no_sample_rows;v01_full;0,923;DEEPSEEK
P1;FK vs baseline;0,6811965864176066;0,1938034135823934;22,14896155227353;v02_plus_fk;v00_baseline;0,875;MISTRAL
P1;nullable vs baseline;0,7079315720029986;0,1670684279970014;19,09353462822873;v03_plus_nullable;v00_baseline;0,875;MISTRAL
P1;numeric_stats vs baseline;0,7013362599647707;0,17366374003522933;19,84728457545478;v04_plus_numeric_stats;v00_baseline;0,875;MISTRAL
P1;sample_values vs baseline;0,6907211693154928;0,18427883068450723;21,060437792515113;v05_plus_sample_values;v00_baseline;0,875;MISTRAL
P1;frequent_values vs baseline;0,7004792183707709;0,17452078162922913;19,945232186197615;v06_plus_frequent_values;v00_baseline;0,875;MISTRAL
P1;sample_rows vs baseline;0,7395704356277416;0,1354295643722584;15,477664499686675;v07_plus_sample_rows;v00_baseline;0,875;MISTRAL
P2;numeric_stats sozinho;0,7013362599647707;0,17366374003522933;19,84728457545478;v04_plus_numeric_stats;v00_baseline;0,875;MISTRAL
P2;numeric_stats + nullable vs nullable;0,6200493512769585;0,2549506487230415;29,13721699691903;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,875;MISTRAL
