Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P1;FK vs baseline;v02_plus_fk;v00_baseline;0,8360512629493386;0,08094873705066141;25;100,0;0,09203989552323391;0,09203989552323391;False;OPENAI
P1;nullable vs baseline;v03_plus_nullable;v00_baseline;0,8168230610158201;0,1001769389841799;25;73,0;0,01582755492837951;0,03165510985675902;True;OPENAI
P1;numeric_stats vs baseline;v04_plus_numeric_stats;v00_baseline;0,7974802406741559;0,11951975932584413;25;63,0;0,007364265446938381;0,022092796340815145;True;OPENAI
P1;sample_values vs baseline;v05_plus_sample_values;v00_baseline;0,8016471395285056;0,1153528604714944;25;85,0;0,036846639848556934;0,044215967818268316;True;OPENAI
P1;frequent_values vs baseline;v06_plus_frequent_values;v00_baseline;0,7419827549283293;0,1750172450716707;25;45,0;0,0015646327677513276;0,009387796606507966;True;OPENAI
P1;sample_rows vs baseline;v07_plus_sample_rows;v00_baseline;0,8204696238675916;0,09653037613240845;25;85,0;0,036718482060948965;0,044215967818268316;True;OPENAI
P2;numeric_stats sozinho;v04_plus_numeric_stats;v00_baseline;0,7974802406741559;0,11951975932584413;25;63,0;0,007364265446938381;0,011046398170407572;True;OPENAI
P2;numeric_stats + nullable vs nullable;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,7883050512819253;0,12869494871807474;25;42,0;0,0011845421493332214;0,003553626447999664;True;OPENAI
P2;full vs full-sem-numeric_stats;v01_full;v24_full_no_numeric_stats;0,8658899112052038;0,05111008879479628;25;134,0;0,4426766559959957;0,4426766559959957;False;OPENAI
P3;rows vs sample_values;v07_plus_sample_rows;v05_plus_sample_values;0,8498959812901772;0,06710401870982285;25;123,0;0,28698821042301925;0,28698821042301925;False;OPENAI
P3;rows vs frequent_values;v07_plus_sample_rows;v06_plus_frequent_values;0,7761045674959142;0,14089543250408587;25;68,0;0,010934764723240314;0,0382716765313411;True;OPENAI
P3;rows+sample_val vs rows;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,8486441990917133;0,06835580090828675;25;110,0;0,15705440034156548;0,21987616047819167;False;OPENAI
P3;rows+sample_val vs sample_val;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,8626404832386239;0,05435951676137618;25;120,0;0,2523616612388103;0,28698821042301925;False;OPENAI
P3;rows+freq_val vs rows;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,7861274558280349;0,13087254417196514;25;54,0;0,0034981484256812155;0,02448703897976851;True;OPENAI
P3;rows+ambos vs rows;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,8259415917020544;0,09105840829794565;25;110,0;0,1570355630823106;0,21987616047819167;False;OPENAI
P3;full vs full-sem-rows;v01_full;v25_full_no_sample_rows;0,8041762299017037;0,11282377009829636;25;78,0;0,02282724449647031;0,053263570491764056;False;OPENAI
P4;FK+sample_val vs sample_val;v08_fk_plus_sample_values;v05_plus_sample_values;0,8584751673329418;0,05852483266705821;25;131,0;0,39496236128991846;0,6582706021498641;False;OPENAI
P4;FK+freq_val vs freq_val;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,8773018357896949;0,03969816421030514;25;147,0;0,675666063210006;0,8445825790125074;False;OPENAI
P4;FK+ambos vs FK+sample_val;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,8844960440920997;0,03250395590790034;25;157,0;0,8821668258535216;0,8821668258535216;False;OPENAI
P4;FK+rows vs rows;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,9186057278840066;-0,0016057278840065914;25;121,0;0,25778708035688536;0,6444677008922134;False;OPENAI
P4;FK isolado vs baseline;v02_plus_fk;v00_baseline;0,8360512629493386;0,08094873705066141;25;100,0;0,09203989552323391;0,4601994776161695;False;OPENAI
P5;nullable+sample_val vs sample_val;v12_nullable_plus_sample_values;v05_plus_sample_values;0,8875322280210536;0,029467771978946455;25;150,0;0,7356479746961135;0,7356479746961135;False;OPENAI
P5;nullable+freq_val vs freq_val;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,8817513902400096;0,035248609759990446;25;150,0;0,7356247672404932;0,7356479746961135;False;OPENAI
P5;nullable+numeric_stats vs numeric_stats;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,9249862885385709;-0,007986288538570863;25;118,0;0,22625101797501723;0,45250203595003446;False;OPENAI
P5;nullable isolado vs baseline;v03_plus_nullable;v00_baseline;0,8168230610158201;0,1001769389841799;25;73,0;0,01582755492837951;0,06331021971351804;False;OPENAI
P7;v00_baseline vs Full;v00_baseline;v01_full;0,7680658671220142;0,14893413287798585;25;56,0;0,00414365365407638;0,014798763050272784;True;OPENAI
P7;v02_plus_fk vs Full;v02_plus_fk;v01_full;0,7340333905960638;0,18296660940393628;25;30,0;0,0003622860119290153;0,0030264924962353766;True;OPENAI
P7;v03_plus_nullable vs Full;v03_plus_nullable;v01_full;0,7542352370121176;0,16276476298788245;25;42,0;0,0011827129341762486;0,0059135646708812425;True;OPENAI
P7;v04_plus_numeric_stats vs Full;v04_plus_numeric_stats;v01_full;0,7664663076144592;0,15053369238554082;25;41,0;0,0010751794572808877;0,0059135646708812425;True;OPENAI
P7;v05_plus_sample_values vs Full;v05_plus_sample_values;v01_full;0,8554055154251131;0,06159448457488692;25;121,0;0,26360878700516766;0,2995554397785996;False;OPENAI
P7;v06_plus_frequent_values vs Full;v06_plus_frequent_values;v01_full;0,7996111269616024;0,11738887303839762;25;71,0;0,013774256783548102;0,024596887113478752;True;OPENAI
P7;v07_plus_sample_rows vs Full;v07_plus_sample_rows;v01_full;0,8045068180164227;0,11249318198357738;25;95,0;0,06914815714451794;0,09098441729541834;False;OPENAI
P7;v08_fk_plus_sample_values vs Full;v08_fk_plus_sample_values;v01_full;0,8465894302486292;0,07041056975137083;25;99,0;0,08725483096572113;0,10906853870715141;False;OPENAI
P7;v09_fk_plus_frequent_values vs Full;v09_fk_plus_frequent_values;v01_full;0,7746448827151551;0,14235511728484496;25;76,0;0,019840751500583037;0,031001174219660994;True;OPENAI
P7;v10_fk_plus_sample_and_frequent vs Full;v10_fk_plus_sample_and_frequent;v01_full;0,8108230335091389;0,10617696649086117;25;70,0;0,012798053164719214;0,024596887113478752;True;OPENAI
