Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
nhanes_admin.load_catalog,DEEPSEEK,0.2222222222222222,0.7030505206849841
nhanes_admin.load_catalog,MISTRAL,1.0,0.9999993443489075
nhanes_admin.load_catalog,OPENAI,1.0,0.9999993840853373
nhanes_demographics.demo_j,DEEPSEEK,1.0,0.999999463558197
nhanes_demographics.demo_j,MISTRAL,1.0,0.9999997019767761
nhanes_demographics.demo_j,OPENAI,1.0,0.9999993642171224
nhanes_dietary.dr1iff_j,DEEPSEEK,0.7777777777777777,0.910536527633667
nhanes_dietary.dr1iff_j,MISTRAL,1.0,0.9999995231628418
nhanes_dietary.dr1iff_j,OPENAI,1.0,0.999999483426412
nhanes_dietary.dr1tot_j,DEEPSEEK,0.3333333333333333,0.7144637306531271
nhanes_dietary.dr1tot_j,MISTRAL,0.2222222222222222,0.22222208976745605
nhanes_dietary.dr1tot_j,OPENAI,0.7777777777777777,0.9150635136498346
nhanes_dietary.dr2iff_j,DEEPSEEK,1.0,0.9999993840853373
nhanes_dietary.dr2iff_j,MISTRAL,0.3333333333333333,0.6823233763376871
nhanes_dietary.dr2iff_j,OPENAI,0.7777777777777777,0.9197385311126709
nhanes_dietary.dr2tot_j,DEEPSEEK,0.7777777777777777,0.9274916383955213
nhanes_dietary.dr2tot_j,MISTRAL,1.0,0.9999995430310568
nhanes_dietary.dr2tot_j,OPENAI,1.0,0.999999483426412
nhanes_dietary.ds1ids_j,DEEPSEEK,1.0,0.9999994436899821
nhanes_dietary.ds1ids_j,MISTRAL,1.0,0.9999994238217672
nhanes_dietary.ds1ids_j,OPENAI,0.1111111111111111,0.750007152557373
nhanes_dietary.ds1tot_j,DEEPSEEK,0.7777777777777777,0.9598890542984009
nhanes_dietary.ds1tot_j,MISTRAL,0.1111111111111111,0.6678077644771999
nhanes_dietary.ds1tot_j,OPENAI,1.0,0.999999483426412
nhanes_dietary.ds2ids_j,DEEPSEEK,1.0,0.9999993840853373
nhanes_dietary.ds2ids_j,MISTRAL,0.5555555555555555,0.7433281209733752
nhanes_dietary.ds2ids_j,OPENAI,0.5555555555555555,0.7383646037843491
nhanes_dietary.ds2tot_j,DEEPSEEK,0.4444444444444444,0.8034753865665859
nhanes_dietary.ds2tot_j,MISTRAL,1.0,0.9999993443489075
nhanes_dietary.ds2tot_j,OPENAI,1.0,0.999999483426412
nhanes_dietary.dsqids_j,DEEPSEEK,0.7777777777777777,0.9016389515664843
nhanes_dietary.dsqids_j,MISTRAL,1.0,0.9999995231628418
nhanes_dietary.dsqids_j,OPENAI,1.0,0.9999992450078329
nhanes_dietary.dsqtot_j,DEEPSEEK,1.0,0.9999994039535522
nhanes_dietary.dsqtot_j,MISTRAL,0.7777777777777777,0.7777772744496664
nhanes_dietary.dsqtot_j,OPENAI,0.4444444444444444,0.8255762524074979
nhanes_examination.aux_j,DEEPSEEK,1.0,0.9999992450078329
nhanes_examination.aux_j,MISTRAL,0.5555555555555555,0.8568951553768582
nhanes_examination.aux_j,OPENAI,1.0,0.9999992847442627
nhanes_examination.auxar_j,DEEPSEEK,0.7777777777777777,0.9229616125424703
nhanes_examination.auxar_j,MISTRAL,1.0,1.0
nhanes_examination.auxar_j,OPENAI,1.0,0.9999993642171224
nhanes_examination.auxtym_j,DEEPSEEK,1.0,0.9999992847442627
nhanes_examination.auxtym_j,MISTRAL,1.0,1.0
nhanes_examination.auxtym_j,OPENAI,0.7777777777777777,0.9471055799060397
nhanes_examination.auxwbr_j,DEEPSEEK,0.3333333333333333,0.4456414779027303
nhanes_examination.auxwbr_j,MISTRAL,1.0,0.9999991257985433
nhanes_examination.auxwbr_j,OPENAI,1.0,0.9999993046124777
nhanes_examination.bmx_j,DEEPSEEK,1.0,0.9999993443489075
nhanes_examination.bmx_j,MISTRAL,1.0,0.9999993244806925
nhanes_examination.bmx_j,OPENAI,0.7777777777777777,0.9068350063429939
nhanes_examination.bpx_j,DEEPSEEK,1.0,0.9999994039535522
nhanes_examination.bpx_j,MISTRAL,1.0,0.9999993244806925
nhanes_examination.bpx_j,OPENAI,0.3333333333333333,0.3333330882920159
nhanes_examination.bpxo_j,DEEPSEEK,0.7777777777777777,0.9439111285739474
nhanes_examination.bpxo_j,MISTRAL,1.0,0.9999992648760477
nhanes_examination.bpxo_j,OPENAI,0.2222222222222222,0.6082257098621793
nhanes_examination.dxx_j,DEEPSEEK,0.5555555555555555,0.9013286365403069
nhanes_examination.dxx_j,MISTRAL,1.0,0.9999991655349731
nhanes_examination.dxx_j,OPENAI,1.0,0.9999990661938986
nhanes_examination.dxxag_j,DEEPSEEK,1.0,0.9999995628992716
nhanes_examination.dxxag_j,MISTRAL,1.0,0.9999993244806925
nhanes_examination.dxxag_j,OPENAI,0.4444444444444444,0.6717416379186841
nhanes_examination.dxxfem_j,DEEPSEEK,0.5555555555555555,0.9037800033887228
nhanes_examination.dxxfem_j,MISTRAL,1.0,0.9999992251396179
nhanes_examination.dxxfem_j,OPENAI,0.3333333333333333,0.7963296241230434
nhanes_examination.dxxspn_j,DEEPSEEK,1.0,0.9999993642171224
nhanes_examination.dxxspn_j,MISTRAL,0.7777777777777777,0.9125246869193183
nhanes_examination.dxxspn_j,OPENAI,1.0,0.9999994238217672
nhanes_examination.lux_j,DEEPSEEK,0.7777777777777777,0.9194055596987406
nhanes_examination.lux_j,MISTRAL,0.5555555555555555,0.6766522791650559
nhanes_examination.lux_j,OPENAI,0.7777777777777777,0.8903660310639275
nhanes_examination.ohxden_j,DEEPSEEK,1.0,0.9999995827674866
nhanes_examination.ohxden_j,MISTRAL,1.0,0.9999992847442627
nhanes_examination.ohxden_j,OPENAI,0.7777777777777777,0.9328736199273003
nhanes_examination.ohxref_j,DEEPSEEK,0.7777777777777777,0.9796582526630826
nhanes_examination.ohxref_j,MISTRAL,1.0,0.9999992648760477
nhanes_examination.ohxref_j,OPENAI,0.3333333333333333,0.7783411476347183
nhanes_laboratory.alb_cr_j,DEEPSEEK,1.0,0.9999994039535522
nhanes_laboratory.alb_cr_j,MISTRAL,0.5555555555555555,0.9048994978268942
nhanes_laboratory.alb_cr_j,OPENAI,1.0,0.9999993642171224
nhanes_laboratory.biopro_j,DEEPSEEK,1.0,0.9999993046124777
nhanes_laboratory.biopro_j,MISTRAL,0.3333333333333333,0.7943319016032749
nhanes_laboratory.biopro_j,OPENAI,0.7777777777777777,0.9019116560618082
nhanes_laboratory.cbc_j,DEEPSEEK,1.0,0.9999993840853373
nhanes_laboratory.cbc_j,MISTRAL,0.3333333333333333,0.6997068656815423
nhanes_laboratory.cbc_j,OPENAI,1.0,0.9999993244806925
nhanes_laboratory.cmv_j,DEEPSEEK,0.5555555555555555,0.9193676246537104
nhanes_laboratory.cmv_j,MISTRAL,1.0,0.9999993046124777
nhanes_laboratory.cmv_j,OPENAI,1.0,0.9999994039535522
nhanes_laboratory.cot_j,DEEPSEEK,0.3333333333333333,0.6020026008288065
nhanes_laboratory.cot_j,MISTRAL,0.7777777777777777,0.9489202565617031
nhanes_laboratory.cot_j,OPENAI,0.7777777777777777,0.9467022352748447
nhanes_laboratory.crco_j,DEEPSEEK,0.7777777777777777,0.9080251720216538
nhanes_laboratory.crco_j,MISTRAL,0.5555555555555555,0.7124116751882764
nhanes_laboratory.crco_j,OPENAI,1.0,0.9999993244806925
nhanes_laboratory.ephpp_j,DEEPSEEK,0.5555555555555555,0.8572596708933512
nhanes_laboratory.ephpp_j,MISTRAL,0.3333333333333333,0.5085170931286283
nhanes_laboratory.ephpp_j,OPENAI,0.7777777777777777,0.9553509619500901
nhanes_laboratory.ethox_j,DEEPSEEK,0.5555555555555555,0.9529092378086513
nhanes_laboratory.ethox_j,MISTRAL,0.3333333333333333,0.6562786565886604
nhanes_laboratory.ethox_j,OPENAI,0.7777777777777777,0.9676494068569608
nhanes_laboratory.fastqx_j,DEEPSEEK,0.7777777777777777,0.9592155615488688
nhanes_laboratory.fastqx_j,MISTRAL,0.1111111111111111,0.5214968588617114
nhanes_laboratory.fastqx_j,OPENAI,1.0,0.9999990860621134
nhanes_laboratory.fertin_j,DEEPSEEK,0.6,0.7562569479147593
nhanes_laboratory.fertin_j,MISTRAL,0.5555555555555555,0.8591031299697028
nhanes_laboratory.fertin_j,OPENAI,0.3333333333333333,0.6609010166592069
nhanes_laboratory.fetib_j,DEEPSEEK,0.5555555555555555,0.9004065261946783
nhanes_laboratory.fetib_j,MISTRAL,1.0,0.9999991059303284
nhanes_laboratory.fetib_j,OPENAI,1.0,0.999999483426412
nhanes_laboratory.folate_j,DEEPSEEK,0.3333333333333333,0.8569221430354648
nhanes_laboratory.folate_j,MISTRAL,1.0,0.9999993443489075
nhanes_laboratory.folate_j,OPENAI,1.0,0.9999993840853373
nhanes_laboratory.fr_j,DEEPSEEK,0.5555555555555555,0.6670834885703192
nhanes_laboratory.fr_j,MISTRAL,1.0,0.9999993244806925
nhanes_laboratory.fr_j,OPENAI,0.3333333333333333,0.8161623676617941
nhanes_laboratory.ghb_j,DEEPSEEK,1.0,0.9999993046124777
nhanes_laboratory.ghb_j,MISTRAL,0.7777777777777777,0.9715997709168328
nhanes_laboratory.ghb_j,OPENAI,1.0,0.9999993840853373
nhanes_laboratory.glu_j,DEEPSEEK,1.0,0.9999991059303284
nhanes_laboratory.glu_j,MISTRAL,0.5555555555555555,0.822404318385654
nhanes_laboratory.glu_j,OPENAI,0.7777777777777777,0.9021812876065572
nhanes_laboratory.hdl_j,DEEPSEEK,0.3333333333333333,0.7216714024543762
nhanes_laboratory.hdl_j,MISTRAL,0.5555555555555555,0.8605425225363837
nhanes_laboratory.hdl_j,OPENAI,0.5555555555555555,0.6924575964609782
nhanes_laboratory.hepa_j,DEEPSEEK,0.6666666666666666,0.9638040165106455
nhanes_laboratory.hepa_j,MISTRAL,0.7777777777777777,0.9259226189719306
nhanes_laboratory.hepa_j,OPENAI,1.0,0.9999994039535522
nhanes_laboratory.hepb_s_j,DEEPSEEK,0.6,0.8498474915822346
nhanes_laboratory.hepb_s_j,MISTRAL,0.7777777777777777,0.9861219392882452
nhanes_laboratory.hepb_s_j,OPENAI,1.0,0.9999991854031881
nhanes_laboratory.hepbd_j,DEEPSEEK,0.7777777777777777,0.9380087388886346
nhanes_laboratory.hepbd_j,MISTRAL,1.0,0.9999994436899821
nhanes_laboratory.hepbd_j,OPENAI,0.5555555555555555,0.7531858086585999
nhanes_laboratory.hepc_j,DEEPSEEK,0.7777777777777777,0.9866092469957138
nhanes_laboratory.hepc_j,MISTRAL,1.0,0.9999994039535522
nhanes_laboratory.hepc_j,OPENAI,1.0,0.9999993046124777
nhanes_laboratory.hepe_j,DEEPSEEK,1.0,0.9999992648760477
nhanes_laboratory.hepe_j,MISTRAL,0.5555555555555555,0.8679853280385336
nhanes_laboratory.hepe_j,OPENAI,1.0,0.9999993840853373
nhanes_laboratory.hiv_j,DEEPSEEK,1.0,0.9999992251396179
nhanes_laboratory.hiv_j,MISTRAL,1.0,0.9999993046124777
nhanes_laboratory.hiv_j,OPENAI,1.0,0.9999994039535522
nhanes_laboratory.hscrp_j,DEEPSEEK,0.3333333333333333,0.831779678662618
nhanes_laboratory.hscrp_j,MISTRAL,0.3333333333333333,0.9104640748765734
nhanes_laboratory.hscrp_j,OPENAI,0.7777777777777777,0.7777771817313299
nhanes_laboratory.ihgem_j,DEEPSEEK,1.0,0.9999993244806925
nhanes_laboratory.ihgem_j,MISTRAL,0.4444444444444444,0.8821399675475227
nhanes_laboratory.ihgem_j,OPENAI,0.3333333333333333,0.7944940527280172
nhanes_laboratory.ins_j,DEEPSEEK,0.5555555555555555,0.7000142600801257
nhanes_laboratory.ins_j,MISTRAL,0.5555555555555555,0.7312569353315564
nhanes_laboratory.ins_j,OPENAI,1.0,0.9999993046124777
nhanes_laboratory.opd_j,DEEPSEEK,0.7777777777777777,0.9650924934281244
nhanes_laboratory.opd_j,MISTRAL,0.4444444444444444,0.7537120779355367
nhanes_laboratory.opd_j,OPENAI,0.7777777777777777,0.7777771419949002
nhanes_laboratory.pah_j,DEEPSEEK,1.0,0.9999990463256836
nhanes_laboratory.pah_j,MISTRAL,0.3333333333333333,0.7937267555130852
nhanes_laboratory.pah_j,OPENAI,1.0,0.9999993046124777
nhanes_laboratory.pbcd_j,DEEPSEEK,0.1111111111111111,0.7566151817639669
nhanes_laboratory.pbcd_j,MISTRAL,0.5555555555555555,0.954278568426768
nhanes_laboratory.pbcd_j,OPENAI,1.0,0.999999463558197
nhanes_laboratory.pernt_j,DEEPSEEK,1.0,0.9999991854031881
nhanes_laboratory.pernt_j,MISTRAL,0.5555555555555555,0.7134832143783569
nhanes_laboratory.pernt_j,OPENAI,0.7777777777777777,0.8935621976852417
nhanes_laboratory.pfas_j,DEEPSEEK,0.3333333333333333,0.9389874339103699
nhanes_laboratory.pfas_j,MISTRAL,0.7777777777777777,0.9561983942985535
nhanes_laboratory.pfas_j,OPENAI,0.4444444444444444,0.7666807505819532
nhanes_laboratory.phthte_j,DEEPSEEK,0.7777777777777777,0.9650925530327691
nhanes_laboratory.phthte_j,MISTRAL,1.0,0.999999483426412
nhanes_laboratory.phthte_j,OPENAI,1.0,0.999999205271403
nhanes_laboratory.ssagp_j,DEEPSEEK,1.0,0.9999993642171224
nhanes_laboratory.ssagp_j,MISTRAL,1.0,0.9999991456667582
nhanes_laboratory.ssagp_j,OPENAI,1.0,0.9999991655349731
nhanes_laboratory.ssfr_j,DEEPSEEK,0.3333333333333333,0.3333330551783244
nhanes_laboratory.ssfr_j,MISTRAL,0.3333333333333333,0.6495197282897102
nhanes_laboratory.ssfr_j,OPENAI,0.5555555555555555,0.8573079705238342
nhanes_laboratory.ssglyp_j,DEEPSEEK,0.7777777777777777,0.9792650739351908
nhanes_laboratory.ssglyp_j,MISTRAL,0.3333333333333333,0.8054490420553418
nhanes_laboratory.ssglyp_j,OPENAI,1.0,0.9999991854031881
nhanes_laboratory.ssneon_j,DEEPSEEK,0.7777777777777777,0.9050752388106452
nhanes_laboratory.ssneon_j,MISTRAL,0.7777777777777777,0.7777773208088344
nhanes_laboratory.ssneon_j,OPENAI,1.0,0.999999205271403
nhanes_laboratory.sspfas_j,DEEPSEEK,0.7777777777777777,0.951969948079851
nhanes_laboratory.sspfas_j,MISTRAL,0.4444444444444444,0.7510833607779609
nhanes_laboratory.sspfas_j,OPENAI,1.0,0.9999995032946268
nhanes_laboratory.sstst_j,DEEPSEEK,1.0,0.9999993443489075
