Tipo,Tabela,ModelA,RunA,ModelB,RunB,HardDice,SoftDice,TemaA,TemaB,Similarity
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.518489420413971,catalogo nhanes,catalogo de arquivos nhanes,0.8346448540687561
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.518489420413971,ciclo 2017-2018,metadados de ciclo 2017-2018,0.7208234071731567
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.518489420413971,metadados de arquivos de dados,inventario de dados por categoria,0.49358069896698
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.866439938545227,catalogo nhanes,catalogo nhanes,0.9999992251396179
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.866439938545227,ciclo 2017-2018,ciclo 2017-2018,0.9999992847442627
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.866439938545227,metadados de arquivos de dados,categorias de arquivos,0.5993213057518005
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.724301795164744,catalogo de arquivos nhanes,catalogo nhanes,0.8346448540687561
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.724301795164744,inventario de dados por categoria,categorias de arquivos,0.6174371242523193
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.724301795164744,metadados de ciclo 2017-2018,ciclo 2017-2018,0.7208234071731567
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992450078329,categorias de dados de saude,categorias de dados de saude,0.9999993443489075
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992450078329,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999989867210388
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992450078329,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999994039535522
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992450078329,categorias de dados de saude,categorias de dados de saude,0.9999993443489075
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992450078329,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999989867210388
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992450078329,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999994039535522
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992450078329,categorias de dados de saude,categorias de dados de saude,0.9999993443489075
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992450078329,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999989867210388
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992450078329,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999994039535522
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999992648760477,dados demograficos,dados demograficos,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999992648760477,entrevista dietetica,entrevista dietetica,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999992648760477,variaveis laboratoriais,variaveis laboratoriais,0.9999991059303284
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999992648760477,dados demograficos,dados demograficos,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999992648760477,entrevista dietetica,entrevista dietetica,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999992648760477,variaveis laboratoriais,variaveis laboratoriais,0.9999991059303284
INTRA,nhanes_admin.load_catalog,OPENAI,2,OPENAI,3,1.0,0.9999992648760477,dados demograficos,dados demograficos,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,2,OPENAI,3,1.0,0.9999992648760477,entrevista dietetica,entrevista dietetica,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,2,OPENAI,3,1.0,0.9999992648760477,variaveis laboratoriais,variaveis laboratoriais,0.9999991059303284
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999991257985433,cidadania e imigracao,cidadania e imigracao,0.9999986886978149
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999991257985433,perfil demografico,perfil demografico,0.9999995231628418
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999991257985433,status socioeconomico,status socioeconomico,0.9999991655349731
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999991257985433,cidadania e imigracao,cidadania e imigracao,0.9999986886978149
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999991257985433,perfil demografico,perfil demografico,0.9999995231628418
INTRA,nhanes_demographics.demo_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999991257985433,status socioeconomico,status socioeconomico,0.9999991655349731
INTRA,nhanes_demographics.demo_j,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999991257985433,cidadania e imigracao,cidadania e imigracao,0.9999986886978149
INTRA,nhanes_demographics.demo_j,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999991257985433,perfil demografico,perfil demografico,0.9999995231628418
INTRA,nhanes_demographics.demo_j,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999991257985433,status socioeconomico,status socioeconomico,0.9999991655349731
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,2,1.0,0.9999993046124777,demografia populacional,demografia populacional,0.9999992251396179
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,2,1.0,0.9999993046124777,etnia e origem,etnia e origem,0.9999994039535522
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,2,1.0,0.9999993046124777,idade e genero,idade e genero,0.9999992847442627
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,3,1.0,0.9999993046124777,demografia populacional,demografia populacional,0.9999992251396179
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,3,1.0,0.9999993046124777,etnia e origem,etnia e origem,0.9999994039535522
INTRA,nhanes_demographics.demo_j,MISTRAL,1,MISTRAL,3,1.0,0.9999993046124777,idade e genero,idade e genero,0.9999992847442627
INTRA,nhanes_demographics.demo_j,MISTRAL,2,MISTRAL,3,1.0,0.9999993046124777,demografia populacional,demografia populacional,0.9999992251396179
INTRA,nhanes_demographics.demo_j,MISTRAL,2,MISTRAL,3,1.0,0.9999993046124777,etnia e origem,etnia e origem,0.9999994039535522
INTRA,nhanes_demographics.demo_j,MISTRAL,2,MISTRAL,3,1.0,0.9999993046124777,idade e genero,idade e genero,0.9999992847442627
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,2,1.0,0.9999991854031881,demografia,demografia,0.9999994039535522
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,2,1.0,0.9999991854031881,genero,genero,0.9999995231628418
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,2,1.0,0.9999991854031881,idade,idade,0.9999986290931702
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,3,1.0,0.9999991854031881,demografia,demografia,0.9999994039535522
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,3,1.0,0.9999991854031881,genero,genero,0.9999995231628418
INTRA,nhanes_demographics.demo_j,OPENAI,1,OPENAI,3,1.0,0.9999991854031881,idade,idade,0.9999986290931702
INTRA,nhanes_demographics.demo_j,OPENAI,2,OPENAI,3,1.0,0.9999991854031881,demografia,demografia,0.9999994039535522
INTRA,nhanes_demographics.demo_j,OPENAI,2,OPENAI,3,1.0,0.9999991854031881,genero,genero,0.9999995231628418
INTRA,nhanes_demographics.demo_j,OPENAI,2,OPENAI,3,1.0,0.9999991854031881,idade,idade,0.9999986290931702
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,2,0.6666666666666666,0.8648416002591451,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,2,0.6666666666666666,0.8648416002591451,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,2,0.6666666666666666,0.8648416002591451,pesquisa dietetica,recordatorio dietetico,0.5945261120796204
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999992847442627,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999992847442627,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999992847442627,pesquisa dietetica,pesquisa dietetica,0.9999991655349731
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,2,DEEPSEEK,3,0.6666666666666666,0.8648416002591451,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,2,DEEPSEEK,3,0.6666666666666666,0.8648416002591451,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,DEEPSEEK,2,DEEPSEEK,3,0.6666666666666666,0.8648416002591451,recordatorio dietetico,pesquisa dietetica,0.5945261120796204
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,2,1.0,0.9999994039535522,consumo diario de nutrientes,consumo diario de nutrientes,0.9999994039535522
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,2,1.0,0.9999994039535522,ingestao de alimentos por linha,ingestao de alimentos por linha,0.9999993443489075
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,2,1.0,0.9999994039535522,peso dietetico individual,peso dietetico individual,0.999999463558197
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,3,1.0,0.9999994039535522,consumo diario de nutrientes,consumo diario de nutrientes,0.9999994039535522
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,3,1.0,0.9999994039535522,ingestao de alimentos por linha,ingestao de alimentos por linha,0.9999993443489075
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,1,MISTRAL,3,1.0,0.9999994039535522,peso dietetico individual,peso dietetico individual,0.999999463558197
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,2,MISTRAL,3,1.0,0.9999994039535522,consumo diario de nutrientes,consumo diario de nutrientes,0.9999994039535522
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,2,MISTRAL,3,1.0,0.9999994039535522,ingestao de alimentos por linha,ingestao de alimentos por linha,0.9999993443489075
INTRA,nhanes_dietary.dr1iff_j,MISTRAL,2,MISTRAL,3,1.0,0.9999994039535522,peso dietetico individual,peso dietetico individual,0.999999463558197
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,2,1.0,0.9999996225039164,dados dieteticos,dados dieteticos,0.9999995231628418
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,2,1.0,0.9999996225039164,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,2,1.0,0.9999996225039164,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,3,1.0,0.9999996225039164,dados dieteticos,dados dieteticos,0.9999995231628418
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,3,1.0,0.9999996225039164,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,OPENAI,1,OPENAI,3,1.0,0.9999996225039164,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr1iff_j,OPENAI,2,OPENAI,3,1.0,0.9999996225039164,dados dieteticos,dados dieteticos,0.9999995231628418
INTRA,nhanes_dietary.dr1iff_j,OPENAI,2,OPENAI,3,1.0,0.9999996225039164,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1iff_j,OPENAI,2,OPENAI,3,1.0,0.9999996225039164,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5717377463976542,consumo alimentar,consumo de alimentos,0.8834032416343689
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5717377463976542,dieta e saude,nutrientes dieteticos,0.4673584997653961
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5717377463976542,ingestao de nutrientes,ingestao alimentar,0.8318099975585938
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.999999483426412,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.999999483426412,dieta e saude,dieta e saude,0.9999997615814209
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,1,DEEPSEEK,3,1.0,0.999999483426412,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,2,DEEPSEEK,3,0.0,0.5717377463976542,consumo de alimentos,consumo alimentar,0.8834032416343689
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,2,DEEPSEEK,3,0.0,0.5717377463976542,ingestao alimentar,ingestao de nutrientes,0.8318099975585938
INTRA,nhanes_dietary.dr1tot_j,DEEPSEEK,2,DEEPSEEK,3,0.0,0.5717377463976542,nutrientes dieteticos,dieta e saude,0.4673584997653961
INTRA,nhanes_dietary.dr1tot_j,MISTRAL,2,MISTRAL,3,0.6666666666666666,0.666666050752004,avaliacao de dieta,avaliacao de dieta,0.9999987483024597
INTRA,nhanes_dietary.dr1tot_j,MISTRAL,2,MISTRAL,3,0.6666666666666666,0.666666050752004,consumo nutricional diario,consumo nutricional diario,0.9999994039535522
INTRA,nhanes_dietary.dr1tot_j,MISTRAL,2,MISTRAL,3,0.6666666666666666,0.666666050752004,ingestao de vitaminas,pesos dieteticos,0.3955341577529907
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,2,0.6666666666666666,0.8726139863332113,consumo alimentar,ingestao de calorias,0.6178428530693054
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,2,0.6666666666666666,0.8726139863332113,dieta,dieta,0.9999994039535522
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,2,0.6666666666666666,0.8726139863332113,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,3,1.0,0.9999993840853373,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,3,1.0,0.9999993840853373,dieta,dieta,0.9999994039535522
INTRA,nhanes_dietary.dr1tot_j,OPENAI,1,OPENAI,3,1.0,0.9999993840853373,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr1tot_j,OPENAI,2,OPENAI,3,0.6666666666666666,0.8726139863332113,dieta,dieta,0.9999994039535522
INTRA,nhanes_dietary.dr1tot_j,OPENAI,2,OPENAI,3,0.6666666666666666,0.8726139863332113,ingestao de calorias,consumo alimentar,0.6178428530693054
INTRA,nhanes_dietary.dr1tot_j,OPENAI,2,OPENAI,3,0.6666666666666666,0.8726139863332113,nutricao,nutricao,0.9999997019767761
INTRA,nhanes_dietary.dr2iff_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993840853373,consumo alimentar,consumo alimentar,0.9999990463256836
INTRA,nhanes_dietary.dr2iff_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993840853373,dieta recordatoria,dieta recordatoria,0.999999463558197
INTRA,nhanes_dietary.dr2iff_j,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993840853373,ingestao de nutrientes,ingestao de nutrientes,0.9999996423721313
