Tipo,Tabela,ModelA,RunA,ModelB,RunB,HardDice,SoftDice,TemaA,TemaB,Similarity
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5184558629989624,catalogo nhanes,catalogo de arquivos nhanes,0.8345999717712402
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5184558629989624,ciclo 2017-2018,metadados de ciclo 2017-2018,0.720767617225647
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,2,0.0,0.5184558629989624,metadados de arquivos de dados,inventario de dados por categoria,0.49355030059814453
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.8664101958274841,catalogo nhanes,catalogo nhanes,0.9999994039535522
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.8664101958274841,ciclo 2017-2018,ciclo 2017-2018,0.9999992847442627
INTRA,nhanes_admin.load_catalog,DEEPSEEK,1,DEEPSEEK,3,0.6666666666666666,0.8664101958274841,metadados de arquivos de dados,categorias de arquivos,0.5992318987846375
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.7242742578188578,catalogo de arquivos nhanes,catalogo nhanes,0.8345999717712402
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.7242742578188578,inventario de dados por categoria,categorias de arquivos,0.6174551844596863
INTRA,nhanes_admin.load_catalog,DEEPSEEK,2,DEEPSEEK,3,0.0,0.7242742578188578,metadados de ciclo 2017-2018,ciclo 2017-2018,0.720767617225647
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,2,0.0,0.701905369758606,catalogo de dados de pesquisa,metadados de arquivos de dados,0.5622298121452332
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,2,0.0,0.701905369758606,categorias de dados de saude,categorias de dados de pesquisa,0.7432790398597717
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,2,0.0,0.701905369758606,metadados da pesquisa nhanes,catalogo de dados nhanes,0.800207257270813
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,3,0.0,0.701905369758606,catalogo de dados de pesquisa,metadados de arquivos de dados,0.5622298121452332
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,3,0.0,0.701905369758606,categorias de dados de saude,categorias de dados de pesquisa,0.7432790398597717
INTRA,nhanes_admin.load_catalog,GEMINI,1,GEMINI,3,0.0,0.701905369758606,metadados da pesquisa nhanes,catalogo de dados nhanes,0.800207257270813
INTRA,nhanes_admin.load_catalog,GEMINI,2,GEMINI,3,1.0,0.9999992251396179,catalogo de dados nhanes,catalogo de dados nhanes,0.9999991655349731
INTRA,nhanes_admin.load_catalog,GEMINI,2,GEMINI,3,1.0,0.9999992251396179,categorias de dados de pesquisa,categorias de dados de pesquisa,0.9999992251396179
INTRA,nhanes_admin.load_catalog,GEMINI,2,GEMINI,3,1.0,0.9999992251396179,metadados de arquivos de dados,metadados de arquivos de dados,0.9999992847442627
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992648760477,categorias de dados de saude,categorias de dados de saude,0.9999994039535522
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992648760477,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999990463256836
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,2,1.0,0.9999992648760477,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999993443489075
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992648760477,categorias de dados de saude,categorias de dados de saude,0.9999994039535522
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992648760477,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999990463256836
INTRA,nhanes_admin.load_catalog,MISTRAL,1,MISTRAL,3,1.0,0.9999992648760477,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999993443489075
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992648760477,categorias de dados de saude,categorias de dados de saude,0.9999994039535522
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992648760477,ciclos de pesquisa nhanes,ciclos de pesquisa nhanes,0.9999990463256836
INTRA,nhanes_admin.load_catalog,MISTRAL,2,MISTRAL,3,1.0,0.9999992648760477,estrutura de tabelas de dados,estrutura de tabelas de dados,0.9999993443489075
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999993642171224,dados demograficos,dados demograficos,0.9999995231628418
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999993642171224,entrevista dietetica,entrevista dietetica,0.9999991655349731
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,2,1.0,0.9999993642171224,variaveis laboratoriais,variaveis laboratoriais,0.9999994039535522
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999993642171224,dados demograficos,dados demograficos,0.9999995231628418
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999993642171224,entrevista dietetica,entrevista dietetica,0.9999991655349731
INTRA,nhanes_admin.load_catalog,OPENAI,1,OPENAI,3,1.0,0.9999993642171224,variaveis laboratoriais,variaveis laboratoriais,0.9999994039535522
