Tipo,Alvo,HardDice_Lex_mean,SoftDice_Sem_mean,N_Tabelas
INTRA,DEEPSEEK,0.7970253718285214,0.923165977340149,127
INTRA,GEMINI,0.6017497812773401,0.8614638232705056,127
INTRA,MISTRAL,0.6981627296587927,0.8751116542574197,127
INTRA,OPENAI,0.8215223097112859,0.9167344629086639,127
INTER,DEEPSEEK__VS__GEMINI,0.03557888597258676,0.5205305536205618,127
INTER,DEEPSEEK__VS__MISTRAL,0.06544181977252843,0.403836172497561,127
INTER,DEEPSEEK__VS__OPENAI,0.059784193642461354,0.3057647435927258,127
INTER,GEMINI__VS__MISTRAL,0.03966170895304752,0.4630793349149798,127
INTER,GEMINI__VS__OPENAI,0.022747156605424326,0.3690827652433934,127
INTER,MISTRAL__VS__OPENAI,0.06620005832604256,0.4292903831937495,127
