Macrotema,Tema,Frequência,Tabelas de Origem,Qtd Tabelas
respostas de questionario de saude,pontuacao de saude mental,1,nhanes_questionnaire.ocq_j,1
respostas de questionario de saude,questionario de saude,31,nhanes_questionnaire.acq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j,27
respostas de questionario de saude,questionario de saude mental,1,nhanes_questionnaire.dpq_j,1
respostas de questionario de saude,questionario de saude nhanes,1,nhanes_questionnaire.vtq_j,1
respostas de questionario de saude,respostas de questionario de saude,7,nhanes_laboratory.fastqx_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.whqmec_j,7
respostas de questionario de saude,respostas de questionario de saude mental,1,nhanes_questionnaire.dlq_j,1
respostas de questionario de saude,respostas de questionario de saude oral,1,nhanes_questionnaire.ohq_j,1
respostas de questionario de saude,respostas de questionario medico,1,nhanes_questionnaire.rxqasa_j,1
respostas de questionario de saude,respostas questionario saude,3,nhanes_questionnaire.bpq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j,3
respostas de questionario de saude,respostas questionario saude mental,1,nhanes_questionnaire.mcq_j,1
pesquisa laboratorial,avaliacao laboratorial,1,nhanes_laboratory.ins_j,1
pesquisa laboratorial,dados laboratoriais,21,nhanes_laboratory.alb_cr_j; nhanes_laboratory.cbc_j; nhanes_laboratory.crco_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fertin_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vitaec_j,21
pesquisa laboratorial,dados laboratoriais sanguineos,1,nhanes_laboratory.trigly_j,1
pesquisa laboratorial,inquerito laboratorial nhanes,1,nhanes_laboratory.hepb_s_j,1
pesquisa laboratorial,jejum laboratorial,1,nhanes_laboratory.fastqx_j,1
pesquisa laboratorial,pesquisa de laboratorio,1,nhanes_laboratory.opd_j,1
pesquisa laboratorial,pesquisa laboratorial,6,nhanes_laboratory.glu_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j,6
pesquisa laboratorial,pesquisa laboratorial nhanes,2,nhanes_laboratory.ethox_j; nhanes_laboratory.uio_j,2
pesquisa laboratorial,resultados laboratoriais,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hiv_j; nhanes_laboratory.uni_j,5
pesquisa laboratorial,valores laboratoriais,5,nhanes_laboratory.cot_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.tchol_j; nhanes_laboratory.vic_j,5
pesquisa laboratorial,variaveis laboratoriais,2,nhanes_admin.load_catalog; nhanes_laboratory.ephpp_j,2
ingestao nutricional diaria,consumo de nutrientes,4,nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j,3
ingestao nutricional diaria,consumo diario de nutrientes,3,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2iff_j; nhanes_dietary.ds2tot_j,3
ingestao nutricional diaria,consumo nutricional diario,2,nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j,2
ingestao nutricional diaria,ingestao calorica diaria,1,nhanes_dietary.dsqtot_j,1
ingestao nutricional diaria,ingestao calorica total,1,nhanes_dietary.dr2tot_j,1
ingestao nutricional diaria,ingestao de alimentos por linha,1,nhanes_dietary.dr1iff_j,1
ingestao nutricional diaria,ingestao de nutrientes,14,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j,8
ingestao nutricional diaria,ingestao de vitaminas,3,nhanes_dietary.dr2iff_j; nhanes_dietary.ds1ids_j; nhanes_dietary.dsqids_j,3
ingestao nutricional diaria,ingestao nutricional,1,nhanes_dietary.ds2ids_j,1
ingestao nutricional diaria,ingestao nutricional diaria,1,nhanes_dietary.ds1ids_j,1
ingestao nutricional diaria,nutricao,7,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqtot_j,7
ingestao nutricional diaria,nutrientes consumidos,1,nhanes_dietary.dsqids_j,1
saude geral,saude,2,nhanes_questionnaire.paq_j; nhanes_questionnaire.whq_j,2
saude geral,saude emocional,1,nhanes_questionnaire.heq_j,1
saude geral,saude feminina,1,nhanes_examination.dxxfem_j,1
saude geral,saude geral,1,nhanes_questionnaire.huq_j,1
saude geral,saude mental,29,nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.whqmec_j,26
saude geral,saude ocupacional,1,nhanes_questionnaire.osq_j,1
saude geral,saude publica,2,nhanes_laboratory.hepb_s_j; nhanes_questionnaire.smq_j,2
saude geral,saude reprodutiva,2,nhanes_laboratory.sstst_j; nhanes_questionnaire.kiq_u_j,2
medidas corporais,analise de composicao corporal,1,nhanes_examination.bmx_j,1
medidas corporais,antropometria,1,nhanes_examination.bmx_j,1
medidas corporais,avaliacao de composicao corporal,1,nhanes_examination.auxwbr_j,1
medidas corporais,avaliacao de gordura corporal,1,nhanes_examination.dxx_j,1
medidas corporais,circunferencia da cintura,1,nhanes_examination.bmx_j,1
medidas corporais,circunferencias corporais,1,nhanes_examination.bmx_j,1
medidas corporais,composicao corporal,5,nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j,4
medidas corporais,dados antropometricos,1,nhanes_examination.dxxag_j,1
medidas corporais,dados biometricos,1,nhanes_examination.dxxfem_j,1
medidas corporais,distribuicao de gordura,1,nhanes_examination.dxxag_j,1
medidas corporais,indice de massa corporal,2,nhanes_examination.bmx_j,1
medidas corporais,medidas antropometricas,6,nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.bpxo_j; nhanes_examination.dxxag_j,5
medidas corporais,medidas biometricas,4,nhanes_examination.dxxspn_j; nhanes_laboratory.ins_j; nhanes_laboratory.sstst_j; nhanes_questionnaire.bpq_j,4
medidas corporais,medidas corporais,1,nhanes_questionnaire.whq_j,1
medidas corporais,medidas de circunferencia abdominal,1,nhanes_examination.auxwbr_j,1
medidas corporais,medidas de peso corporal,1,nhanes_examination.auxwbr_j,1
medidas corporais,peso corporal,3,nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j,3
medidas corporais,variaveis biometricas,5,nhanes_examination.bpx_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j,5
saude autorreferida,analise de saude,25,nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bpx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxspn_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.cbq_j,25
saude autorreferida,exame de saude,1,nhanes_examination.aux_j,1
saude autorreferida,percepcao de saude fisica,1,nhanes_questionnaire.whqmec_j,1
saude autorreferida,saude autorreferida,1,nhanes_questionnaire.hsq_j,1
saude autorreferida,saude autorrelatada,1,nhanes_questionnaire.ecq_j,1
estatisticas de saude,analise de saude publica,1,nhanes_laboratory.pfas_j,1
estatisticas de saude,classificacao de saude,1,nhanes_examination.ohxden_j,1
estatisticas de saude,comportamento de saude,5,nhanes_examination.aux_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.whqmec_j,5
estatisticas de saude,dados de saude,8,nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ghb_j; nhanes_laboratory.tfr_j; nhanes_laboratory.vic_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.smqrtu_j,8
estatisticas de saude,dados de saude populacional,2,nhanes_examination.dxx_j; nhanes_laboratory.vocwb_j,2
