Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
1,respostas de questionario de saude,48,10,"pontuacao de saude mental, questionario de saude, questionario de saude mental, questionario de saude nhanes, respostas de questionario de saude, respostas de questionario de saude mental, respostas de questionario de saude oral, respostas de questionario medico, respostas questionario saude, respostas questionario saude mental",4_4
2,pesquisa laboratorial,47,11,"avaliacao laboratorial, dados laboratoriais, dados laboratoriais sanguineos, inquerito laboratorial nhanes, jejum laboratorial, pesquisa de laboratorio, pesquisa laboratorial, pesquisa laboratorial nhanes, resultados laboratoriais, valores laboratoriais...",7_8
3,ingestao nutricional diaria,39,12,"consumo de nutrientes, consumo diario de nutrientes, consumo nutricional diario, ingestao calorica diaria, ingestao calorica total, ingestao de alimentos por linha, ingestao de nutrientes, ingestao de vitaminas, ingestao nutricional, ingestao nutricional diaria...",8_0
4,saude geral,39,8,"saude, saude emocional, saude feminina, saude geral, saude mental, saude ocupacional, saude publica, saude reprodutiva",2_6
5,medidas corporais,37,18,"analise de composicao corporal, antropometria, avaliacao de composicao corporal, avaliacao de gordura corporal, circunferencia da cintura, circunferencias corporais, composicao corporal, dados antropometricos, dados biometricos, distribuicao de gordura...",11_0
6,saude autorreferida,29,5,"analise de saude, exame de saude, percepcao de saude fisica, saude autorreferida, saude autorrelatada",4_5
7,estatisticas de saude,28,12,"analise de saude publica, classificacao de saude, comportamento de saude, dados de saude, dados de saude populacional, estatisticas de saude, indicadores de saude, indice de saude cardiovascular, medidas de saude, recursos de saude...",3_5
8,exposicao a contaminantes,27,20,"analise de exposicao a etoxiquina, exposicao a arsenio urinario, exposicao a bisfenol a, exposicao a contaminantes, exposicao a etanol, exposicao a etoxietanol, exposicao a fenois, exposicao a ftalatos, exposicao a metais, exposicao a metais pesados...",0_0
9,padroes dieteticos,26,12,"analise dietetica, comportamento alimentar, dados dieteticos, dieta, dieta e amamentacao, dieta recordatoria, entrevista dietetica, padroes alimentares, padroes consumo alimentar, padroes dieteticos...",6_0
10,pesos amostrais,23,7,"estudo de pesos amostrais, peso amostral, peso amostral de pesquisa, pesos amostrais, pesos amostrais de 2 anos, pesos amostrais em pesquisas, pesos amostrais laboratoriais",10_2
11,questionario de comportamento,23,5,"questionario de comportamento, questionario dlq, questionario familiar, respostas de questionario, respostas questionario comportamento",5_2
12,analise de dados laboratoriais,22,4,"analise de dados laboratoriais, analise de laboratorio, analise de variaveis laboratoriais, analise laboratorial",8_8
13,dados demograficos,22,6,"dados demograficos, demografia, demografia populacional, estudos populacionais, perfil demografico, status socioeconomico",2_2
14,nivel de glicose,22,15,"diabetes diagnostico, glicemia, glicemia abaixo do limite de deteccao, glicose serica, hemoglobina glicada, indicadores de diabetes, indice de glicose, insulina, insulina serica, niveis de glicose...",0_9
