Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,cdq,0.9384,1,1_10
2,altura,0.9082,1,1_10
3,ciclo 2017-2018,0.9004,1,2_9
4,genero,0.8817,1,2_9
5,mercurio total,0.8673,1,10_11
6,diabetes,0.8444,2,1_9
7,perfil de pfas,0.8418,1,9_11
8,pulso,0.8294,1,0_7
9,coluna vertebral,0.8167,1,2_8
10,questionario dlq,0.8116,1,5_2
11,cidadania e imigracao,0.8106,1,1_3
12,tamanho de protese,0.8106,1,11_2
13,classificacao de asma,0.8083,1,1_2
14,etnia e origem,0.8070,1,1_2
15,compostos organicos volateis,0.8057,2,0_1
16,sintomas respiratorios,0.8050,1,3_2
17,hematocrito,0.8039,1,1_10
18,lateralidade do braco,0.8002,1,0_6
19,estoque de ferro,0.7995,1,11_3
20,deficiencia de vitamina c,0.7988,1,2_9
21,classificacao de ajuda para locomocao,0.7973,1,1_4
22,deficiencia de vitaminas,0.7963,1,2_9
23,estrutura de tabelas de dados,0.7948,1,9_3
24,pesquisa de arsenio,0.7947,1,9_4
25,status socioeconomico,0.7914,1,2_2
26,massa gorda e magra,0.7910,1,10_0
27,quantidade de bebidas,0.7887,1,4_0
28,medidas de luxacao,0.7876,1,11_2
29,chumbo sanguineo,0.7875,1,11_4
30,gravidez em mulheres,0.7874,1,3_9
31,comportamento compulsivo,0.7857,1,4_1
32,numero de quartos,0.7834,1,1_3
