Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
respostas de questionario de saude,10,48,31,nhanes_laboratory.fastqx_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
pesquisa laboratorial,11,47,38,nhanes_admin.load_catalog; nhanes_laboratory.alb_cr_j; nhanes_laboratory.cbc_j; nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fastqx_j; nhanes_laboratory.fertin_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hiv_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.opd_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vic_j; nhanes_laboratory.vitaec_j
ingestao nutricional diaria,12,39,11,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j
saude geral,8,39,32,nhanes_examination.dxxfem_j; nhanes_laboratory.fastqx_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.sstst_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
medidas corporais,18,37,19,nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
saude autorreferida,5,29,29,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bpx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxspn_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.whqmec_j
estatisticas de saude,12,28,28,nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_examination.aux_j; nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fr_j; nhanes_laboratory.ghb_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.tchol_j; nhanes_laboratory.tfr_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vocwb_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.whqmec_j
exposicao a contaminantes,20,27,17,nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.vocwb_j; nhanes_questionnaire.vtq_j
padroes dieteticos,12,26,17,nhanes_admin.load_catalog; nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.paq_j
pesos amostrais,7,23,19,nhanes_dietary.ds1ids_j; nhanes_laboratory.folate_j; nhanes_laboratory.fr_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.vtq_j
