Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,96193.0,OPENAI,96193.0
v24_full_no_numeric_stats,0.8992802484167947,89860.0,OPENAI,99924.35634853625
v23_fk_nullable_sample_rows_plus_sample_values,0.8488965191774898,67065.0,OPENAI,79002.56213204928
v21_fk_nullable_sample_rows,0.8380775931808683,38582.0,OPENAI,46036.31013873615
v18_fk_nullable_sample_values,0.8377870230211152,55370.0,OPENAI,66090.78259571524
v15_sample_rows_vs_sample_values,0.8277396212021509,62070.0,OPENAI,74987.34917370982
v10_fk_plus_sample_and_frequent,0.8251516198118528,69116.0,OPENAI,83761.57586136655
v25_full_no_sample_rows,0.8201817522446314,84701.0,OPENAI,103271.01251423193
v17_sample_rows_plus_both_values,0.815901541047626,77391.0,OPENAI,94853.35681634962
v12_nullable_plus_sample_values,0.7982565835118294,51950.0,OPENAI,65079.32546131034
v22_fk_nullable_sample_rows_plus_frequent,0.7977322853273816,55260.0,OPENAI,69271.35959819131
v11_fk_plus_sample_rows,0.7973404601216316,37154.0,OPENAI,46597.40958627922
v20_fk_nullable_both_values,0.7945572377906905,70691.0,OPENAI,88969.04670651564
v02_plus_fk,0.7850458714697096,25459.0,OPENAI,32429.952089726154
v14_nullable_plus_numeric_stats,0.7839839359124502,31451.0,OPENAI,40116.89342001036
v08_fk_plus_sample_values,0.7759783623947037,53795.0,OPENAI,69325.3866434964
v13_nullable_plus_frequent_values,0.7644224651985697,40145.0,OPENAI,52516.77158594725
v00_baseline,0.761880271964603,22039.0,OPENAI,28927.11730567547
v07_plus_sample_rows,0.7543234124779702,33734.0,OPENAI,44720.87097122309
v16_sample_rows_vs_frequent_values,0.753226121266683,50265.0,OPENAI,66732.94855397541
v04_plus_numeric_stats,0.7517960055006875,29876.0,OPENAI,39739.503510800016
v05_plus_sample_values,0.7505016624927521,50375.0,OPENAI,67121.77003403573
v19_fk_nullable_frequent_values,0.7373328205611971,43565.0,OPENAI,59084.579968706545
v03_plus_nullable,0.7370932479699452,23491.0,OPENAI,31869.780471734615
v09_fk_plus_frequent_values,0.712874994178613,41990.0,OPENAI,58902.33258690973
v06_plus_frequent_values,0.7095807320541806,38570.0,OPENAI,54356.04189581484
v01_full,1.0,101577.0,DEEPSEEK,101577.0
v20_fk_nullable_both_values,0.8724772963258954,74078.0,DEEPSEEK,84905.36121908406
v10_fk_plus_sample_and_frequent,0.8572828239864774,72503.0,DEEPSEEK,84573.023011066
v17_sample_rows_plus_both_values,0.8570709162288241,81329.0,DEEPSEEK,94891.7977031045
v08_fk_plus_sample_values,0.8552431455916829,57012.0,DEEPSEEK,66661.74443357554
v24_full_no_numeric_stats,0.8536340023080508,94826.0,DEEPSEEK,111085.07831647989
v25_full_no_sample_rows,0.8444851380255488,88718.0,DEEPSEEK,105055.72686267446
v18_fk_nullable_sample_values,0.8384098120861583,58587.0,DEEPSEEK,69878.7146279001
v16_sample_rows_vs_frequent_values,0.8294362997015318,53413.0,DEEPSEEK,64396.74754917331
v23_fk_nullable_sample_rows_plus_sample_values,0.8193356121579806,71231.0,DEEPSEEK,86937.51247109903
v15_sample_rows_vs_sample_values,0.818234851790799,65838.0,DEEPSEEK,80463.45111786199
