RQ,Comparacao,Variante_A,Variante_B,SoftDice_mean_all_models,SoftDice_std_all_models,Delta_TokensIn_mean
P1_isolated_effects,nullable vs baseline,v03_plus_nullable,v00_baseline,0.8663174135196541,0.12763548026346966,1443.75
P1_isolated_effects,numeric_stats vs baseline,v04_plus_numeric_stats,v00_baseline,0.8170900839691361,0.15163599956974172,9197.25
P1_isolated_effects,FK vs baseline,v02_plus_fk,v00_baseline,0.7952351740664906,0.1643410771673115,3679.75
P1_isolated_effects,sample_rows vs baseline,v07_plus_sample_rows,v00_baseline,0.7431758777755829,0.17207351095600587,13048.75
P1_isolated_effects,frequent_values vs baseline,v06_plus_frequent_values,v00_baseline,0.7367591614524523,0.20806990317991877,18259.25
P1_isolated_effects,sample_values vs baseline,v05_plus_sample_values,v00_baseline,0.7109288506209851,0.20542433286345496,33514.25
P2_numeric_stats,full vs full-sem-numeric_stats,v01_full,v24_full_no_numeric_stats,0.8567837963915533,0.14297592184846714,7992.5
P2_numeric_stats,numeric_stats + nullable vs nullable,v14_nullable_plus_numeric_stats,v03_plus_nullable,0.821627698155741,0.1469130577979042,9328.5
P2_numeric_stats,numeric_stats sozinho,v04_plus_numeric_stats,v00_baseline,0.8170900839691361,0.15163599956974172,9197.25
P3_sample_rows_vs_col_values,full vs full-sem-rows,v01_full,v25_full_no_sample_rows,0.804278590488765,0.19144481028613383,13110.5
P3_sample_rows_vs_col_values,rows+sample_val vs sample_val,v15_sample_rows_vs_sample_values,v05_plus_sample_values,0.7883433883802758,0.17895882806387278,13054.25
P3_sample_rows_vs_col_values,rows+freq_val vs rows,v16_sample_rows_vs_frequent_values,v07_plus_sample_rows,0.7835244425055053,0.17555220603322308,18264.75
P3_sample_rows_vs_col_values,rows+sample_val vs rows,v15_sample_rows_vs_sample_values,v07_plus_sample_rows,0.7495653207103411,0.18568660635527495,33519.75
P3_sample_rows_vs_col_values,rows vs sample_values,v07_plus_sample_rows,v05_plus_sample_values,0.7430742058489058,0.2031771042875182,-20465.5
P3_sample_rows_vs_col_values,rows+ambos vs rows,v17_sample_rows_plus_both_values,v07_plus_sample_rows,0.7320009449703826,0.20394485320252892,50572.0
P3_sample_rows_vs_col_values,rows vs frequent_values,v07_plus_sample_rows,v06_plus_frequent_values,0.7231690439706048,0.1892076634016829,-5210.5
P4_fk_interaction,FK+ambos vs FK+sample_val,v10_fk_plus_sample_and_frequent,v08_fk_plus_sample_values,0.8483592737466097,0.16720441927224478,17052.25
P4_fk_interaction,FK+sample_val vs sample_val,v08_fk_plus_sample_values,v05_plus_sample_values,0.8109352060904106,0.16232517373875005,3679.75
P4_fk_interaction,FK+freq_val vs freq_val,v09_fk_plus_frequent_values,v06_plus_frequent_values,0.8099462228102817,0.17602901814666613,3679.75
P4_fk_interaction,FK+rows vs rows,v11_fk_plus_sample_rows,v07_plus_sample_rows,0.8085053655422395,0.15413779700036742,3679.75
P4_fk_interaction,FK isolado vs baseline,v02_plus_fk,v00_baseline,0.7952351740664906,0.1643410771673115,3679.75
P5_nullable_interaction,nullable isolado vs baseline,v03_plus_nullable,v00_baseline,0.8663174135196541,0.12763548026346966,1443.75
P5_nullable_interaction,nullable+sample_val vs sample_val,v12_nullable_plus_sample_values,v05_plus_sample_values,0.8481916671411859,0.15498542847187682,1575.0
P5_nullable_interaction,nullable+numeric_stats vs numeric_stats,v14_nullable_plus_numeric_stats,v04_plus_numeric_stats,0.8323905423490537,0.16470310189822907,1575.0
P5_nullable_interaction,nullable+freq_val vs freq_val,v13_nullable_plus_frequent_values,v06_plus_frequent_values,0.8091580679640175,0.1619181809216499,1575.0
P7_vs_full,v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,0.8567837963915533,0.14297592184846714,-7992.5
P7_vs_full,v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,0.8109504419896338,0.1623605240809423,-33647.5
