Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,101577.0,DEEPSEEK,101577.0
v20_fk_nullable_both_values,0.8724772963258954,74078.0,DEEPSEEK,84905.36121908406
v10_fk_plus_sample_and_frequent,0.8572828239864774,72503.0,DEEPSEEK,84573.023011066
v17_sample_rows_plus_both_values,0.8570709162288241,81329.0,DEEPSEEK,94891.7977031045
v08_fk_plus_sample_values,0.8552431455916829,57012.0,DEEPSEEK,66661.74443357554
v24_full_no_numeric_stats,0.8536340023080508,94826.0,DEEPSEEK,111085.07831647989
v25_full_no_sample_rows,0.8444851380255488,88718.0,DEEPSEEK,105055.72686267446
v18_fk_nullable_sample_values,0.8384098120861583,58587.0,DEEPSEEK,69878.7146279001
v16_sample_rows_vs_frequent_values,0.8294362997015318,53413.0,DEEPSEEK,64396.74754917331
v23_fk_nullable_sample_rows_plus_sample_values,0.8193356121579806,71231.0,DEEPSEEK,86937.51247109903
v15_sample_rows_vs_sample_values,0.818234851790799,65838.0,DEEPSEEK,80463.45111786199
v09_fk_plus_frequent_values,0.8097525214155515,44587.0,DEEPSEEK,55062.502210003855
v22_fk_nullable_sample_rows_plus_frequent,0.7986091416743067,58806.0,DEEPSEEK,73635.52072132753
v19_fk_nullable_frequent_values,0.7824375803271929,46162.0,DEEPSEEK,58997.67746418363
v06_plus_frequent_values,0.7660665702488688,40769.0,DEEPSEEK,53218.61256359946
v13_nullable_plus_frequent_values,0.7523904590143098,42344.0,DEEPSEEK,56279.288888742616
v12_nullable_plus_sample_values,0.7507884543803004,54769.0,DEEPSEEK,72948.64442901728
v21_fk_nullable_sample_rows,0.7494836744334963,41983.0,DEEPSEEK,56015.89658605067
v07_plus_sample_rows,0.7475387735499276,36713.0,DEEPSEEK,49111.8337924554
v11_fk_plus_sample_rows,0.7374632438023885,40531.0,DEEPSEEK,54960.027283557385
v05_plus_sample_values,0.735687232679791,53194.0,DEEPSEEK,72305.18301403332
v04_plus_numeric_stats,0.711953782207436,31906.0,DEEPSEEK,44814.70679328987
v02_plus_fk,0.6987646319799953,27898.0,DEEPSEEK,39924.745362324924
v14_nullable_plus_numeric_stats,0.6936320356196828,33481.0,DEEPSEEK,48269.10851960357
v00_baseline,0.686390986541907,24080.0,DEEPSEEK,35082.04576128975
v03_plus_nullable,0.6774524763226509,25521.0,DEEPSEEK,37672.01522169223
