Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,24,0.6805555555555555,0.8724772963258954,0.13590918886912456,74078.0,101577.0,-27499.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,24,0.6388888888888888,0.8572828239864774,0.14375775415422917,72503.0,101577.0,-29074.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,24,0.6527777777777778,0.8570709162288241,0.14810333413718563,81329.0,101577.0,-20248.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,24,0.638888888888889,0.8552431455916829,0.14759237549239462,57012.0,101577.0,-44565.0
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,24,0.5833333333333334,0.8536340023080508,0.15425320604090248,94826.0,101577.0,-6751.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,24,0.6388888888888888,0.8444851380255488,0.15182324609446976,88718.0,101577.0,-12859.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,24,0.5972222222222222,0.8384098120861583,0.15075261543500668,58587.0,101577.0,-42990.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,24,0.5416666666666666,0.8294362997015318,0.16296399116403834,53413.0,101577.0,-48164.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,24,0.5833333333333334,0.8193356121579806,0.18447224148305763,71231.0,101577.0,-30346.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,24,0.5277777777777778,0.818234851790799,0.1694922642969563,65838.0,101577.0,-35739.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,24,0.5416666666666666,0.8097525214155515,0.1691652456844897,44587.0,101577.0,-56990.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,24,0.5,0.7986091416743067,0.15919242326700622,58806.0,101577.0,-42771.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,24,0.47222222222222215,0.7824375803271929,0.17772761651637042,46162.0,101577.0,-55415.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,24,0.5,0.7660665702488688,0.19035924233430404,40769.0,101577.0,-60808.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,24,0.4583333333333333,0.7523904590143098,0.18933268135015935,42344.0,101577.0,-59233.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,24,0.4583333333333333,0.7507884543803004,0.19746428657942863,54769.0,101577.0,-46808.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,24,0.4444444444444444,0.7494836744334963,0.20261357899090984,41983.0,101577.0,-59594.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,24,0.38888888888888884,0.7475387735499276,0.1807705944245009,36713.0,101577.0,-64864.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,24,0.4305555555555555,0.7374632438023885,0.190137666105573,40531.0,101577.0,-61046.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,24,0.4444444444444444,0.735687232679791,0.17511317452370972,53194.0,101577.0,-48383.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,24,0.34722222222222215,0.711953782207436,0.2255288244276238,31906.0,101577.0,-69671.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,24,0.40277777777777773,0.6987646319799953,0.18469874404648384,27898.0,101577.0,-73679.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,24,0.3888888888888889,0.6936320356196828,0.2461433997878502,33481.0,101577.0,-68096.0
v00_baseline vs v01_full,v00_baseline,v01_full,24,0.34722222222222215,0.686390986541907,0.20535708869016822,24080.0,101577.0,-77497.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,24,0.3333333333333333,0.6774524763226509,0.21500019725506261,25521.0,101577.0,-76056.0
