Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,24,0.39444444444444443,0.8354138246840902,0.12170201452668274,108668.0,118078.0,-9410.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,24,0.38055555555555554,0.7945034763879247,0.11186111796046799,75182.0,118078.0,-42896.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,24,0.4222222222222222,0.7929864082071516,0.18316640828442085,104004.0,118078.0,-14074.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,24,0.3819444444444444,0.792907577008009,0.17160339201557803,66591.0,118078.0,-51487.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,24,0.43333333333333335,0.7915064053403006,0.15100840491920323,56971.0,118078.0,-61107.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,24,0.33888888888888885,0.7857083631886376,0.11674361085559892,80667.0,118078.0,-37411.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,24,0.3638888888888889,0.7821957839859857,0.1015534103041589,85018.0,118078.0,-33060.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,24,0.375,0.7782541157470809,0.16519624725066237,93609.0,118078.0,-24469.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,24,0.39444444444444443,0.7586163244313663,0.18542230250361996,62456.0,118078.0,-55622.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,24,0.3277777777777778,0.7584862240486675,0.17452084985083735,48380.0,118078.0,-69698.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,24,0.3361111111111111,0.7400805162058935,0.1586609796901508,83443.0,118078.0,-34635.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,24,0.30277777777777776,0.7386542063620355,0.1395850967821809,37322.0,118078.0,-80756.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,24,0.30277777777777776,0.7366964081923166,0.18331274759418817,44470.0,118078.0,-73608.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,24,0.29444444444444445,0.7355707385473781,0.17761394064671585,65016.0,118078.0,-53062.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,24,0.40833333333333327,0.7343272818459404,0.17047971289907493,62681.0,118078.0,-55397.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,24,0.29166666666666663,0.7338847128881348,0.14038374520672148,61106.0,118078.0,-56972.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,24,0.3111111111111111,0.7315989835394753,0.13099597745287553,42673.0,118078.0,-75405.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,24,0.34027777777777773,0.7275089625683097,0.20103732262036936,42895.0,118078.0,-75183.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,24,0.3527777777777778,0.72415519207716,0.1738895916884863,41232.0,118078.0,-76846.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,24,0.3194444444444444,0.7208743525875939,0.20670082739413792,46805.0,118078.0,-71273.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,24,0.3194444444444444,0.7203787235750093,0.22154930511510035,27156.0,118078.0,-90922.0
v00_baseline vs v01_full,v00_baseline,v01_full,24,0.3,0.6967270067996449,0.1903835575964159,23246.0,118078.0,-94832.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,24,0.2569444444444444,0.6961040939721795,0.20414594120621316,33821.0,118078.0,-84257.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,24,0.2847222222222222,0.6955866519775656,0.17855140777947795,24687.0,118078.0,-93391.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,24,0.25,0.6761909814344512,0.18268550188096408,35396.0,118078.0,-82682.0
