Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,119606.0,MISTRAL,119606.0
v24_full_no_numeric_stats,0.8388071101572779,110130.0,MISTRAL,131293.59380293093
v23_fk_nullable_sample_rows_plus_sample_values,0.7898612734344271,81901.0,MISTRAL,103690.36026273704
v08_fk_plus_sample_values,0.7886069764693578,66524.0,MISTRAL,84356.34224012581
v10_fk_plus_sample_and_frequent,0.777616910636425,85494.0,MISTRAL,109943.59668699739
v17_sample_rows_plus_both_values,0.7748976275324821,95725.0,MISTRAL,123532.44686632803
v05_plus_sample_values,0.7685851636860105,62953.0,MISTRAL,81907.64403789368
v18_fk_nullable_sample_values,0.7633737714754211,68099.0,MISTRAL,89207.93789964872
v25_full_no_sample_rows,0.759461063477728,105589.0,MISTRAL,139031.48571763022
v12_nullable_plus_sample_values,0.7583281281921598,64528.0,MISTRAL,85092.45219985912
v11_fk_plus_sample_rows,0.7453320374091467,41568.0,MISTRAL,55771.11664821867
v20_fk_nullable_both_values,0.7398175249497095,87069.0,MISTRAL,117689.8316999434
v07_plus_sample_rows,0.7313016802072525,37997.0,MISTRAL,51958.03733041003
v03_plus_nullable,0.7194012974699339,25647.0,MISTRAL,35650.47782120781
v14_nullable_plus_numeric_stats,0.7190711125731468,36332.0,MISTRAL,50526.29616838371
v19_fk_nullable_frequent_values,0.7178059485223559,49520.0,MISTRAL,68988.00449054471
v22_fk_nullable_sample_rows_plus_frequent,0.7143702705701193,63322.0,MISTRAL,88640.30686700394
v21_fk_nullable_sample_rows,0.7133183048831092,43020.0,MISTRAL,60309.681814557734
v00_baseline,0.7119215817915069,24206.0,MISTRAL,34000.93580403489
v15_sample_rows_vs_sample_values,0.7101698625418874,76755.0,MISTRAL,108079.77647104507
v16_sample_rows_vs_frequent_values,0.7096147884925207,58176.0,MISTRAL,81982.50789500447
v13_nullable_plus_frequent_values,0.7077462681465678,45949.0,MISTRAL,64922.98450450378
v09_fk_plus_frequent_values,0.7040744432144694,47945.0,MISTRAL,68096.49244063724
v04_plus_numeric_stats,0.692701636089219,34757.0,MISTRAL,50176.003908735314
v06_plus_frequent_values,0.6787281259894371,44374.0,MISTRAL,65378.16586768438
v02_plus_fk,0.6563575127058559,27777.0,MISTRAL,42319.92391690374
