Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,24,0.5555555555555555,0.8388071101572779,0.14626521627121605,110130.0,119606.0,-9476.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,24,0.5,0.7898612734344271,0.17293422818715196,81901.0,119606.0,-37705.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,24,0.375,0.7886069764693578,0.14709835263222745,66524.0,119606.0,-53082.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,24,0.47222222222222215,0.777616910636425,0.18801044160237593,85494.0,119606.0,-34112.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,24,0.5,0.7748976275324821,0.2083955266926646,95725.0,119606.0,-23881.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,24,0.3333333333333333,0.7685851636860105,0.165648998206062,62953.0,119606.0,-56653.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,24,0.40277777777777773,0.7633737714754211,0.1883900117401705,68099.0,119606.0,-51507.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,24,0.4166666666666667,0.759461063477728,0.2194075695113218,105589.0,119606.0,-14017.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,24,0.40277777777777773,0.7583281281921598,0.15001940734316074,64528.0,119606.0,-55078.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,24,0.4861111111111111,0.7453320374091467,0.22189089497571324,41568.0,119606.0,-78038.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,24,0.375,0.7398175249497095,0.19835904473273663,87069.0,119606.0,-32537.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,24,0.27777777777777773,0.7313016802072525,0.17355600847878058,37997.0,119606.0,-81609.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,24,0.375,0.7194012974699339,0.19844421109432608,25647.0,119606.0,-93959.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,24,0.34722222222222215,0.7190711125731468,0.16640942888686133,36332.0,119606.0,-83274.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,24,0.40277777777777773,0.7178059485223559,0.24824945026281256,49520.0,119606.0,-70086.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,24,0.375,0.7143702705701193,0.23717625513282897,63322.0,119606.0,-56284.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,24,0.3333333333333333,0.7133183048831092,0.21414167016447885,43020.0,119606.0,-76586.0
v00_baseline vs v01_full,v00_baseline,v01_full,24,0.3194444444444444,0.7119215817915069,0.14884229092552628,24206.0,119606.0,-95400.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,24,0.3333333333333333,0.7101698625418874,0.13788180947546194,76755.0,119606.0,-42851.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,24,0.4305555555555555,0.7096147884925207,0.23702725212108558,58176.0,119606.0,-61430.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,24,0.3611111111111111,0.7077462681465678,0.21240407766008032,45949.0,119606.0,-73657.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,24,0.3611111111111111,0.7040744432144694,0.2025898178627677,47945.0,119606.0,-71661.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,24,0.2916666666666667,0.692701636089219,0.1593101460891541,34757.0,119606.0,-84849.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,24,0.34722222222222215,0.6787281259894371,0.24953326313392266,44374.0,119606.0,-75232.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,24,0.3055555555555555,0.6563575127058559,0.18930927381805088,27777.0,119606.0,-91829.0
