LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
OPENAI,public.ta_medicamento_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666662494341532,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.ta_tecido_mole,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993244806925,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.ta_vacinacao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8972047368685404,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_antecedente,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999205271403,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_ciap_ms,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666659911473592,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_cidadao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8724860946337382,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_cuidado_compartilhado_evol,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5439349015553793,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_dim_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8825180927912394,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_evolucao_odonto,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993642171224,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_evolucao_subjetivo,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9394316474596659,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_exame_hemoglobina_glicada,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6170156240463257,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_exame_prenatal,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993443489075,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_fat_atend_odonto_problemas,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993244806925,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_fat_rel_op_risco_cardio,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666663487752279,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_historico_dados_fao,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994039535522,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_justificativa_prontuario,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666663289070129,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_lembrete_evolucao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9010301828384399,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_medicamento_uso_continuo,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7990805506706238,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_medicao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8305027087529501,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_odontograma,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8616667787233988,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_problema,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6674946546554565,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_proced_exame_especifico,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999997913837433,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_raca_cor,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9909962018330892,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.tb_tipo_glicemia,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999989867210388,25459.0,22039.0,3420.0,P1_isolated_effects
OPENAI,public.ta_medicamento_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666662494341532,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.ta_tecido_mole,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993244806925,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.ta_vacinacao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999991854031881,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_antecedente,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999999205271403,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_ciap_ms,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999991456667582,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_cidadao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.9449147383371989,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_cuidado_compartilhado_evol,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.8018078804016113,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_dim_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8825180927912394,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_evolucao_odonto,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993642171224,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_evolucao_subjetivo,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8915217518806458,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_exame_hemoglobina_glicada,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.8,0.7999996185302735,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_exame_prenatal,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993443489075,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_fat_atend_odonto_problemas,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993244806925,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_fat_rel_op_risco_cardio,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8643476366996765,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_historico_dados_fao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.6005815863609314,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_justificativa_prontuario,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993046124777,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_lembrete_evolucao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8758407632509867,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_medicamento_uso_continuo,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999994039535522,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_medicao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7768107056617737,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_odontograma,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8881828586260477,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_problema,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8404098550478617,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_proced_exame_especifico,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.9667959213256836,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_raca_cor,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9909962018330892,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.tb_tipo_glicemia,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999989867210388,23491.0,22039.0,1452.0,P1_isolated_effects
OPENAI,public.ta_medicamento_catmat,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993642171224,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.ta_tecido_mole,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9366782506306967,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.ta_vacinacao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.8797890146573385,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_antecedente,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.575564424196879,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_ciap_ms,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999991456667582,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_cidadao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.6771761973698934,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_cuidado_compartilhado_evol,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.5730159481366476,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_dim_catmat,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999995827674866,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_evolucao_odonto,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993642171224,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_evolucao_subjetivo,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.999999205271403,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_exame_hemoglobina_glicada,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.4,0.6952147245407104,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_exame_prenatal,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993443489075,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_fat_atend_odonto_problemas,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993244806925,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_fat_rel_op_risco_cardio,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.333333154519399,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_historico_dados_fao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7737692991892496,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_justificativa_prontuario,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993046124777,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_lembrete_evolucao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999991059303284,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_medicamento_uso_continuo,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.8446377913157145,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_medicao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.7423874934514364,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_odontograma,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.8881828586260477,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_problema,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.805113156636556,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_proced_exame_especifico,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.7734367370605468,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_raca_cor,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9909962018330892,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.tb_tipo_glicemia,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.8,0.799999189376831,29876.0,22039.0,7837.0,P1_isolated_effects
OPENAI,public.ta_medicamento_catmat,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.6666666666666666,0.6666662494341532,50375.0,22039.0,28336.0,P1_isolated_effects
