Comparacao,Variante_A,Variante_B,N_Tabelas,HardDice_mean,SoftDice_mean,SoftDice_std,TokensIn_A,TokensIn_B,Delta_TokensIn
v24_full_no_numeric_stats vs v01_full,v24_full_no_numeric_stats,v01_full,24,0.7638888888888888,0.8992802484167947,0.14740186854513726,89860.0,96193.0,-6333.0
v23_fk_nullable_sample_rows_plus_sample_values vs v01_full,v23_fk_nullable_sample_rows_plus_sample_values,v01_full,24,0.6527777777777778,0.8488965191774898,0.16915077281899893,67065.0,96193.0,-29128.0
v21_fk_nullable_sample_rows vs v01_full,v21_fk_nullable_sample_rows,v01_full,24,0.6305555555555555,0.8380775931808683,0.1757626347861705,38582.0,96193.0,-57611.0
v18_fk_nullable_sample_values vs v01_full,v18_fk_nullable_sample_values,v01_full,24,0.6527777777777778,0.8377870230211152,0.1817181973592564,55370.0,96193.0,-40823.0
v15_sample_rows_vs_sample_values vs v01_full,v15_sample_rows_vs_sample_values,v01_full,24,0.5,0.8277396212021509,0.17299346803398494,62070.0,96193.0,-34123.0
v10_fk_plus_sample_and_frequent vs v01_full,v10_fk_plus_sample_and_frequent,v01_full,24,0.5694444444444444,0.8251516198118528,0.19009824409811754,69116.0,96193.0,-27077.0
v25_full_no_sample_rows vs v01_full,v25_full_no_sample_rows,v01_full,24,0.611111111111111,0.8201817522446314,0.20607127741354728,84701.0,96193.0,-11492.0
v17_sample_rows_plus_both_values vs v01_full,v17_sample_rows_plus_both_values,v01_full,24,0.5555555555555556,0.815901541047626,0.18864910377824357,77391.0,96193.0,-18802.0
v12_nullable_plus_sample_values vs v01_full,v12_nullable_plus_sample_values,v01_full,24,0.5555555555555555,0.7982565835118294,0.23555284392487427,51950.0,96193.0,-44243.0
v22_fk_nullable_sample_rows_plus_frequent vs v01_full,v22_fk_nullable_sample_rows_plus_frequent,v01_full,24,0.5333333333333333,0.7977322853273816,0.18777332603900987,55260.0,96193.0,-40933.0
v11_fk_plus_sample_rows vs v01_full,v11_fk_plus_sample_rows,v01_full,24,0.6027777777777777,0.7973404601216316,0.20818020397472545,37154.0,96193.0,-59039.0
v20_fk_nullable_both_values vs v01_full,v20_fk_nullable_both_values,v01_full,24,0.5694444444444444,0.7945572377906905,0.21574655990654573,70691.0,96193.0,-25502.0
v02_plus_fk vs v01_full,v02_plus_fk,v01_full,24,0.5055555555555555,0.7850458714697096,0.18572129985318664,25459.0,96193.0,-70734.0
v14_nullable_plus_numeric_stats vs v01_full,v14_nullable_plus_numeric_stats,v01_full,24,0.5416666666666666,0.7839839359124502,0.2545172731664511,31451.0,96193.0,-64742.0
v08_fk_plus_sample_values vs v01_full,v08_fk_plus_sample_values,v01_full,24,0.5416666666666666,0.7759783623947037,0.23278514381998594,53795.0,96193.0,-42398.0
v13_nullable_plus_frequent_values vs v01_full,v13_nullable_plus_frequent_values,v01_full,24,0.45555555555555555,0.7644224651985697,0.19182680864293153,40145.0,96193.0,-56048.0
v00_baseline vs v01_full,v00_baseline,v01_full,24,0.4666666666666666,0.761880271964603,0.19710131855435112,22039.0,96193.0,-74154.0
v07_plus_sample_rows vs v01_full,v07_plus_sample_rows,v01_full,24,0.5055555555555555,0.7543234124779702,0.22669065524339804,33734.0,96193.0,-62459.0
v16_sample_rows_vs_frequent_values vs v01_full,v16_sample_rows_vs_frequent_values,v01_full,24,0.46388888888888885,0.753226121266683,0.2065396327526557,50265.0,96193.0,-45928.0
v04_plus_numeric_stats vs v01_full,v04_plus_numeric_stats,v01_full,24,0.4583333333333333,0.7517960055006875,0.2582676607985413,29876.0,96193.0,-66317.0
v05_plus_sample_values vs v01_full,v05_plus_sample_values,v01_full,24,0.5416666666666666,0.7505016624927521,0.2523859643310175,50375.0,96193.0,-45818.0
v19_fk_nullable_frequent_values vs v01_full,v19_fk_nullable_frequent_values,v01_full,24,0.47222222222222215,0.7373328205611971,0.21458544644005856,43565.0,96193.0,-52628.0
v03_plus_nullable vs v01_full,v03_plus_nullable,v01_full,24,0.4694444444444444,0.7370932479699452,0.23721065543392267,23491.0,96193.0,-72702.0
v09_fk_plus_frequent_values vs v01_full,v09_fk_plus_frequent_values,v01_full,24,0.40277777777777773,0.712874994178613,0.21466000708676694,41990.0,96193.0,-54203.0
v06_plus_frequent_values vs v01_full,v06_plus_frequent_values,v01_full,24,0.39444444444444443,0.7095807320541806,0.19732649479288908,38570.0,96193.0,-57623.0
