Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P1;FK vs baseline;0,8529188425913728;0,0860811574086271;9,167322407734515;v02_plus_fk;v00_baseline;0,939;OPENAI
P1;nullable vs baseline;0,9079473475013519;0,03105265249864808;3,3069917463948966;v03_plus_nullable;v00_baseline;0,939;OPENAI
P1;numeric_stats vs baseline;0,8453613873433546;0,0936386126566453;9,972163222219947;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P1;sample_values vs baseline;0,6932896553875558;0,24571034461244412;26,16723584797062;v05_plus_sample_values;v00_baseline;0,939;OPENAI
P1;frequent_values vs baseline;0,7440929208550697;0,19490707914493022;20,756877438224734;v06_plus_frequent_values;v00_baseline;0,939;OPENAI
P1;sample_rows vs baseline;0,7580459002449483;0,1809540997550516;19,27093714111306;v07_plus_sample_rows;v00_baseline;0,939;OPENAI
P2;numeric_stats sozinho;0,8453613873433546;0,0936386126566453;9,972163222219947;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P2;numeric_stats + nullable vs nullable;0,8461725049689063;0,09282749503109367;9,88578221843383;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,939;OPENAI
P2;full vs full-sem-numeric_stats;0,8992827967833631;0,039717203216636854;4,229734101878259;v01_full;v24_full_no_numeric_stats;0,939;OPENAI
P3;rows vs sample_values;0,8106773073370729;0,12832269266292706;13,665888462505546;v07_plus_sample_rows;v05_plus_sample_values;0,939;OPENAI
P3;rows vs frequent_values;0,787213602828532;0,1517863971714679;16,164685534767617;v07_plus_sample_rows;v06_plus_frequent_values;0,939;OPENAI
P3;rows+sample_val vs rows;0,7453092049916193;0,1936907950083806;20,627347711222644;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,939;OPENAI
P3;rows+sample_val vs sample_val;0,7934715610748503;0,14552843892514966;15,498236307257685;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,939;OPENAI
P3;rows+freq_val vs rows;0,8149351507265243;0,12406484927347561;13,212444012084731;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,939;OPENAI
P3;rows+ambos vs rows;0,7297604599439103;0,2092395400560897;22,28323110288495;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,939;OPENAI
P3;full vs full-sem-rows;0,8201503562509256;0,11884964374907436;12,657044062734224;v01_full;v25_full_no_sample_rows;0,939;OPENAI
P4;FK+sample_val vs sample_val;0,8631405550455679;0,07585944495443209;8,078748131462417;v08_fk_plus_sample_values;v05_plus_sample_values;0,939;OPENAI
P4;FK+freq_val vs freq_val;0,8455629641305383;0,09343703586946162;9,950696045736061;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,939;OPENAI
P4;FK+ambos vs FK+sample_val;0,8707190247193948;0,06828097528060517;7,2716693589568875;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,939;OPENAI
P4;FK+rows vs rows;0,8798929966287306;0,059107003371269395;6,294675545396101;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,939;OPENAI
P4;FK isolado vs baseline;0,8529188425913728;0,0860811574086271;9,167322407734515;v02_plus_fk;v00_baseline;0,939;OPENAI
P5;nullable+sample_val vs sample_val;0,9088499604809305;0,03015003951906947;3,2108668284419037;v12_nullable_plus_sample_values;v05_plus_sample_values;0,939;OPENAI
P5;nullable+freq_val vs freq_val;0,8210907867621016;0,11790921323789838;12,556891718626026;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,939;OPENAI
P5;nullable+numeric_stats vs numeric_stats;0,9153620563705026;0,023637943629497338;2,517352889190345;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,939;OPENAI
P5;nullable isolado vs baseline;0,9079473475013519;0,03105265249864808;3,3069917463948966;v03_plus_nullable;v00_baseline;0,939;OPENAI
P7;v00_baseline vs Full;0,7618857778615551;0,17711422213844485;18,862004487587313;v00_baseline;v01_full;0,939;OPENAI
