Configuracao,Shift_mean,Shift_std,TokensIn_mean,N_Modelos
v00_baseline,0.18949215136468414,0.029871871718550186,23392.75,4
v03_plus_nullable,0.19631780919515424,0.03375708396477429,24836.5,4
v02_plus_fk,0.1886097756276528,0.04867904586280729,27072.5,4
v04_plus_numeric_stats,0.1905986497758164,0.019173950213192188,32590.0,4
v14_nullable_plus_numeric_stats,0.18555513849688896,0.029323956265796966,34165.0,4
v07_plus_sample_rows,0.16076853637066157,0.02694778401154463,36441.5,4
v11_fk_plus_sample_rows,0.15268129832214775,0.020075069679469402,40121.25,4
v21_fk_nullable_sample_rows,0.14560611026154632,0.03745245138274855,41564.5,4
v06_plus_frequent_values,0.18328138527356916,0.04719868022380216,41652.0,4
v13_nullable_plus_frequent_values,0.16341299246582722,0.027584008144505002,43227.0,4
v09_fk_plus_frequent_values,0.16683526930709683,0.052170674782861755,45331.75,4
v19_fk_nullable_frequent_values,0.15472218652566266,0.044021666197372473,46906.75,4
v16_sample_rows_vs_frequent_values,0.13279788967635897,0.06206357260468753,54706.25,4
v05_plus_sample_values,0.15657065938744272,0.03392339945938831,56907.0,4
v12_nullable_plus_sample_values,0.1433049827565749,0.017637306292796504,58482.0,4
v22_fk_nullable_sample_rows_plus_frequent,0.13639884828693333,0.03408571277980501,59961.0,4
v08_fk_plus_sample_values,0.11486753814750247,0.04120889888997248,60586.75,4
v18_fk_nullable_sample_values,0.09560715365327072,0.028197360806037252,62161.75,4
v15_sample_rows_vs_sample_values,0.1160737141718467,0.05028091652441143,69961.25,4
v23_fk_nullable_sample_rows_plus_sample_values,0.09280116443832717,0.013399883318599795,75216.0,4
v10_fk_plus_sample_and_frequent,0.10370921378334369,0.028145190780708703,77639.0,4
v20_fk_nullable_both_values,0.10648677946792709,0.05250543247950707,79214.0,4
v17_sample_rows_plus_both_values,0.09720900346007613,0.02997737196350493,87013.5,4
v25_full_no_sample_rows,0.09945661576257814,0.03346623880256291,95753.0,4
v24_full_no_numeric_stats,0.04696638801031644,0.017811709301370618,100871.0,4
v01_full,0.0,0.0,108863.5,4
