LLM_Model,Configuracao,SoftDice_vs_full,Shift,TokensIn_mean
OPENAI,v00_baseline,0.7618870471914608,0.17711295280853911,22039.0
OPENAI,v01_full,1.0,0.0,96193.0
OPENAI,v02_plus_fk,0.7850518999828232,0.15394810001717674,25459.0
OPENAI,v03_plus_nullable,0.7371156687537829,0.20188433124621707,23491.0
OPENAI,v04_plus_numeric_stats,0.7517941834198103,0.18720581658018964,29876.0
OPENAI,v05_plus_sample_values,0.7505155917670993,0.1884844082329007,50375.0
OPENAI,v06_plus_frequent_values,0.7095833871099684,0.22941661289003157,38570.0
OPENAI,v07_plus_sample_rows,0.7543692982859082,0.1846307017140918,33734.0
OPENAI,v08_fk_plus_sample_values,0.7760271802544594,0.16297281974554056,53795.0
OPENAI,v09_fk_plus_frequent_values,0.712923745976554,0.226076254023446,41990.0
OPENAI,v10_fk_plus_sample_and_frequent,0.8251901235845353,0.1138098764154647,69116.0
OPENAI,v11_fk_plus_sample_rows,0.7973373229304949,0.14166267706950508,37154.0
OPENAI,v12_nullable_plus_sample_values,0.798272898627652,0.1407271013723479,51950.0
OPENAI,v13_nullable_plus_frequent_values,0.764470083018144,0.17452991698185594,40145.0
OPENAI,v14_nullable_plus_numeric_stats,0.7838335459431013,0.15516645405689866,31451.0
OPENAI,v15_sample_rows_vs_sample_values,0.827766059173478,0.11123394082652194,62070.0
OPENAI,v16_sample_rows_vs_frequent_values,0.7532271646791034,0.1857728353208965,50265.0
OPENAI,v17_sample_rows_plus_both_values,0.8159121332897081,0.12308786671029182,77391.0
OPENAI,v18_fk_nullable_sample_values,0.8378442169891462,0.1011557830108537,55370.0
OPENAI,v19_fk_nullable_frequent_values,0.7373348290721576,0.2016651709278423,43565.0
OPENAI,v20_fk_nullable_both_values,0.7945683126648267,0.1444316873351732,70691.0
OPENAI,v21_fk_nullable_sample_rows,0.8380779047807057,0.1009220952192943,38582.0
OPENAI,v22_fk_nullable_sample_rows_plus_frequent,0.7977370457516777,0.14126295424832225,55260.0
OPENAI,v23_fk_nullable_sample_rows_plus_sample_values,0.848922937280602,0.09007706271939797,67065.0
OPENAI,v24_full_no_numeric_stats,0.8992824662062858,0.03971753379371412,89860.0
OPENAI,v25_full_no_sample_rows,0.8202237221929761,0.11877627780702382,84701.0
DEEPSEEK,v00_baseline,0.6864118221733305,0.23258817782666952,24080.0
DEEPSEEK,v01_full,1.0,0.0,101577.0
DEEPSEEK,v02_plus_fk,0.6987699614630806,0.22023003853691947,27898.0
DEEPSEEK,v03_plus_nullable,0.6775247467888726,0.2414752532111274,25521.0
DEEPSEEK,v04_plus_numeric_stats,0.711987132496304,0.20701286750369607,31906.0
DEEPSEEK,v05_plus_sample_values,0.7357009947299957,0.1832990052700043,53194.0
DEEPSEEK,v06_plus_frequent_values,0.76605999585655,0.15294000414345,40769.0
DEEPSEEK,v07_plus_sample_rows,0.7475375003284878,0.17146249967151228,36713.0
DEEPSEEK,v08_fk_plus_sample_values,0.855253612001737,0.06374638799826304,57012.0
DEEPSEEK,v09_fk_plus_frequent_values,0.8097782250907685,0.10922177490923157,44587.0
DEEPSEEK,v10_fk_plus_sample_and_frequent,0.8572770373688803,0.06172296263111976,72503.0
DEEPSEEK,v11_fk_plus_sample_rows,0.7374623979131382,0.18153760208686187,40531.0
DEEPSEEK,v12_nullable_plus_sample_values,0.750838718480534,0.16816128151946608,54769.0
DEEPSEEK,v13_nullable_plus_frequent_values,0.7523916823996437,0.16660831760035633,42344.0
DEEPSEEK,v14_nullable_plus_numeric_stats,0.6936811476945878,0.22531885230541226,33481.0
DEEPSEEK,v15_sample_rows_vs_sample_values,0.8182444489664501,0.10075555103354994,65838.0
DEEPSEEK,v16_sample_rows_vs_frequent_values,0.829457852575514,0.08954214742448607,53413.0
DEEPSEEK,v17_sample_rows_plus_both_values,0.8570883671442667,0.06191163285573331,81329.0
DEEPSEEK,v18_fk_nullable_sample_values,0.8384249789847269,0.08057502101527314,58587.0
DEEPSEEK,v19_fk_nullable_frequent_values,0.7824576904376349,0.13654230956236513,46162.0
DEEPSEEK,v20_fk_nullable_both_values,0.8724733375840718,0.04652666241592829,74078.0
DEEPSEEK,v21_fk_nullable_sample_rows,0.7494931798842218,0.16950682011577822,41983.0
DEEPSEEK,v22_fk_nullable_sample_rows_plus_frequent,0.7986522888143858,0.12034771118561427,58806.0
DEEPSEEK,v23_fk_nullable_sample_rows_plus_sample_values,0.819352867702643,0.099647132297357,71231.0
DEEPSEEK,v24_full_no_numeric_stats,0.8536439951923157,0.06535600480768433,94826.0
DEEPSEEK,v25_full_no_sample_rows,0.844497320552667,0.07450267944733302,88718.0
MISTRAL,v00_baseline,0.7119993393619856,0.18400066063801446,24206.0
MISTRAL,v01_full,1.0,0.0,119606.0
MISTRAL,v02_plus_fk,0.6563566376765569,0.23964336232344308,27777.0
MISTRAL,v03_plus_nullable,0.7194772685567538,0.17652273144324626,25647.0
MISTRAL,v04_plus_numeric_stats,0.6927130189206864,0.20328698107931364,34757.0
MISTRAL,v05_plus_sample_values,0.7685897383424972,0.1274102616575028,62953.0
MISTRAL,v06_plus_frequent_values,0.6787266085545222,0.21727339144547786,44374.0
MISTRAL,v07_plus_sample_rows,0.7313231834106976,0.16467681658930244,37997.0
MISTRAL,v08_fk_plus_sample_values,0.7886379121078385,0.1073620878921615,66524.0
MISTRAL,v09_fk_plus_frequent_values,0.7041404752267733,0.19185952477322676,47945.0
MISTRAL,v10_fk_plus_sample_and_frequent,0.7776210283239683,0.11837897167603173,85494.0
MISTRAL,v11_fk_plus_sample_rows,0.7453152048918937,0.15068479510810628,41568.0
MISTRAL,v12_nullable_plus_sample_values,0.7583306489719286,0.13766935102807143,64528.0
MISTRAL,v13_nullable_plus_frequent_values,0.7077555085221926,0.18824449147780742,45949.0
MISTRAL,v14_nullable_plus_numeric_stats,0.7190765216946602,0.17692347830533983,36332.0
MISTRAL,v15_sample_rows_vs_sample_values,0.7101678782039219,0.1858321217960781,76755.0
MISTRAL,v16_sample_rows_vs_frequent_values,0.7096193234125773,0.18638067658742274,58176.0
MISTRAL,v17_sample_rows_plus_both_values,0.7748990108569463,0.12110098914305367,95725.0
MISTRAL,v18_fk_nullable_sample_values,0.7633745339181687,0.13262546608183134,68099.0
MISTRAL,v19_fk_nullable_frequent_values,0.7178049658735594,0.17819503412644067,49520.0
MISTRAL,v20_fk_nullable_both_values,0.7398203801777626,0.15617961982223738,87069.0
MISTRAL,v21_fk_nullable_sample_rows,0.7133172195818688,0.18268278041813124,43020.0
MISTRAL,v22_fk_nullable_sample_rows_plus_frequent,0.7143741018242307,0.18162589817576935,63322.0
MISTRAL,v23_fk_nullable_sample_rows_plus_sample_values,0.789834339585569,0.10616566041443098,81901.0
MISTRAL,v24_full_no_numeric_stats,0.8388086019290818,0.05719139807091822,110130.0
MISTRAL,v25_full_no_sample_rows,0.7594614939557182,0.13653850604428186,105589.0
GEMINI,v00_baseline,0.6967331858144865,0.16426681418551348,23246.0
GEMINI,v01_full,1.0,0.0,118078.0
GEMINI,v02_plus_fk,0.7203823983669281,0.1406176016330719,27156.0
GEMINI,v03_plus_nullable,0.6956110791199738,0.1653889208800262,24687.0
GEMINI,v04_plus_numeric_stats,0.6961110660599338,0.1648889339400662,33821.0
GEMINI,v05_plus_sample_values,0.7339110376106369,0.12708896238936307,61106.0
GEMINI,v06_plus_frequent_values,0.7275044673846828,0.13349553261531721,42895.0
