Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P1;FK vs baseline;0,852914975935;0,08608502406499996;9,167734192225769;v02_plus_fk;v00_baseline;0,939;OPENAI
P1;nullable vs baseline;0,9079786761321365;0,031021323867863493;3,303655363989723;v03_plus_nullable;v00_baseline;0,939;OPENAI
P1;numeric_stats vs baseline;0,8453929920927573;0,09360700790724263;9,968797434211144;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P1;sample_values vs baseline;0,693323827838134;0,245676172161866;26,163596609357402;v05_plus_sample_values;v00_baseline;0,939;OPENAI
P1;frequent_values vs baseline;0,7440929034258774;0,19490709657412253;20,756879294368748;v06_plus_frequent_values;v00_baseline;0,939;OPENAI
P1;sample_rows vs baseline;0,7580433567681956;0,18095664323180438;19,27120801190675;v07_plus_sample_rows;v00_baseline;0,939;OPENAI
P2;numeric_stats sozinho;0,8453929920927573;0,09360700790724263;9,968797434211144;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P2;numeric_stats + nullable vs nullable;0,8462081544509239;0,09279184554907605;9,881985681477747;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,939;OPENAI
P2;full vs full-sem-numeric_stats;0,899281884744514;0,039718115255485964;4,229831230616184;v01_full;v24_full_no_numeric_stats;0,939;OPENAI
P3;rows vs sample_values;0,8107096231324883;0,12829037686751166;13,662446950746714;v07_plus_sample_rows;v05_plus_sample_values;0,939;OPENAI
P3;rows vs frequent_values;0,7872139599178404;0,15178604008215957;16,16464750608728;v07_plus_sample_rows;v06_plus_frequent_values;0,939;OPENAI
P3;rows+sample_val vs rows;0,7453410670097567;0,19365893299024328;20,623954525052536;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,939;OPENAI
P3;rows+sample_val vs sample_val;0,7934690922284858;0,14553090777151412;15,498499230193197;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,939;OPENAI
P3;rows+freq_val vs rows;0,8149344258750749;0,12406557412492503;13,212521206062302;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,939;OPENAI
P3;rows+ambos vs rows;0,7297911561067866;0,20920884389321337;22,27996207595457;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,939;OPENAI
P3;full vs full-sem-rows;0,8201825327794515;0,11881746722054842;12,653617382380025;v01_full;v25_full_no_sample_rows;0,939;OPENAI
P4;FK+sample_val vs sample_val;0,8631410760600376;0,0758589239399623;8,078692645363397;v08_fk_plus_sample_values;v05_plus_sample_values;0,939;OPENAI
P4;FK+freq_val vs freq_val;0,8455587866190458;0,09344121338095412;9,951140935138884;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,939;OPENAI
P4;FK+ambos vs FK+sample_val;0,8707187126936455;0,06828128730635441;7,271702588536147;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,939;OPENAI
P4;FK+rows vs rows;0,879891969468316;0,0591080305316839;6,2947849341516395;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,939;OPENAI
P4;FK isolado vs baseline;0,852914975935;0,08608502406499996;9,167734192225769;v02_plus_fk;v00_baseline;0,939;OPENAI
P5;nullable+sample_val vs sample_val;0,9088470933536352;0,03015290664636472;3,211172166812004;v12_nullable_plus_sample_values;v05_plus_sample_values;0,939;OPENAI
P5;nullable+freq_val vs freq_val;0,8210911984550856;0,11790880154491434;12,556847874857757;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,939;OPENAI
P5;nullable+numeric_stats vs numeric_stats;0,9153942637088964;0,02360573629110352;2,5139229277000554;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,939;OPENAI
P5;nullable isolado vs baseline;0,9079786761321365;0,031021323867863493;3,303655363989723;v03_plus_nullable;v00_baseline;0,939;OPENAI
P7;v00_baseline vs Full;0,7618843560255315;0,17711564397446844;18,862155907824114;v00_baseline;v01_full;0,939;OPENAI
P7;v02_plus_fk vs Full;0,785054006812803;0,15394599318719693;16,394674460830345;v02_plus_fk;v01_full;0,939;OPENAI
P7;v03_plus_nullable vs Full;0,7371022207689784;0,2018977792310216;21,501360940470885;v03_plus_nullable;v01_full;0,939;OPENAI
P7;v04_plus_numeric_stats vs Full;0,7517938733447003;0,18720612665529968;19,936754702374834;v04_plus_numeric_stats;v01_full;0,939;OPENAI
P7;v05_plus_sample_values vs Full;0,7505115007011461;0,1884884992988538;20,073322609036616;v05_plus_sample_values;v01_full;0,939;OPENAI
P7;v06_plus_frequent_values vs Full;0,7095860725480293;0,22941392745197065;24,431728163149167;v06_plus_frequent_values;v01_full;0,939;OPENAI
P7;v07_plus_sample_rows vs Full;0,7543260090443255;0,1846739909556745;19,667091688570235;v07_plus_sample_rows;v01_full;0,939;OPENAI
P7;v08_fk_plus_sample_values vs Full;0,7759826223976147;0,16301737760238522;17,360743088645926;v08_fk_plus_sample_values;v01_full;0,939;OPENAI
P7;v09_fk_plus_frequent_values vs Full;0,712880884755959;0,22611911524404094;24,08084294398732;v09_fk_plus_frequent_values;v01_full;0,939;OPENAI
P7;v10_fk_plus_sample_and_frequent vs Full;0,8251496392852881;0,11385036071471188;12,124639053749934;v10_fk_plus_sample_and_frequent;v01_full;0,939;OPENAI
P7;v11_fk_plus_sample_rows vs Full;0,7973370583417374;0,14166294165826254;15,086575256470985;v11_fk_plus_sample_rows;v01_full;0,939;OPENAI
P7;v12_nullable_plus_sample_values vs Full;0,7982676278093935;0,14073237219060641;14,987473076741898;v12_nullable_plus_sample_values;v01_full;0,939;OPENAI
P7;v13_nullable_plus_frequent_values vs Full;0,7644314342526485;0,17456856574735147;18,590901570537962;v13_nullable_plus_frequent_values;v01_full;0,939;OPENAI
P7;v14_nullable_plus_numeric_stats vs Full;0,7838319866229423;0,15516801337705766;16,524815056129675;v14_nullable_plus_numeric_stats;v01_full;0,939;OPENAI
P7;v15_sample_rows_vs_sample_values vs Full;0,8277397233803289;0,11126027661967108;11,848804751828656;v15_sample_rows_vs_sample_values;v01_full;0,939;OPENAI
