Pergunta;Comparacao;SoftDice;Impacto;Impacto_%;Variante_A;Variante_B;Ruido;Modelo
P1;FK vs baseline;0,852918215490898;0,08608178450910198;9,167389191597655;v02_plus_fk;v00_baseline;0,939;OPENAI
P1;nullable vs baseline;0,907850259586966;0,031149740413033977;3,3173312473944603;v03_plus_nullable;v00_baseline;0,939;OPENAI
P1;numeric_stats vs baseline;0,8453948716047975;0,09360512839520241;9,968597273184496;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P1;sample_values vs baseline;0,6931928966373019;0,24580710336269807;26,17754029421705;v05_plus_sample_values;v00_baseline;0,939;OPENAI
P1;frequent_values vs baseline;0,7440870565805077;0,19491294341949228;20,75750196160727;v06_plus_frequent_values;v00_baseline;0,939;OPENAI
P1;sample_rows vs baseline;0,7579162322490371;0,1810837677509628;19,28474629935706;v07_plus_sample_rows;v00_baseline;0,939;OPENAI
P2;numeric_stats sozinho;0,8453948716047975;0,09360512839520241;9,968597273184496;v04_plus_numeric_stats;v00_baseline;0,939;OPENAI
P2;numeric_stats + nullable vs nullable;0,8461890439903609;0,09281095600963907;9,884020874295961;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,939;OPENAI
P2;full vs full-sem-numeric_stats;0,899151988917903;0,0398480110820969;4,243664651980501;v01_full;v24_full_no_numeric_stats;0,939;OPENAI
P3;rows vs sample_values;0,8107099478057367;0,12829005219426326;13,66241237425594;v07_plus_sample_rows;v05_plus_sample_values;0,939;OPENAI
P3;rows vs frequent_values;0,7872106021734272;0,15178939782657275;16,16500509335173;v07_plus_sample_rows;v06_plus_frequent_values;0,939;OPENAI
P3;rows+sample_val vs rows;0,7453567826699684;0,19364321733003154;20,62228086581806;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,939;OPENAI
P3;rows+sample_val vs sample_val;0,7934848968228149;0,14551510317718508;15,496816099806718;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,939;OPENAI
