Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P1;FK vs baseline;v02_plus_fk;v00_baseline;0,852918215490898;0,08608178450910198;24;81,0;0,04839914178938302;0,06989418684763515;False;OPENAI
P1;nullable vs baseline;v03_plus_nullable;v00_baseline;0,907850259586966;0,031149740413033977;24;123,0;0,43911895828387437;0,43911895828387437;False;OPENAI
P1;numeric_stats vs baseline;v04_plus_numeric_stats;v00_baseline;0,8453948716047975;0,09360512839520241;24;84,0;0,058245155706362635;0,06989418684763515;False;OPENAI
P1;sample_values vs baseline;v05_plus_sample_values;v00_baseline;0,6931928966373019;0,24580710336269807;24;15,0;0,00011453557813909221;0,0006872134688345533;True;OPENAI
P1;frequent_values vs baseline;v06_plus_frequent_values;v00_baseline;0,7440870565805077;0,19491294341949228;24;31,0;0,0006725768575373245;0,001345153715074649;True;OPENAI
P1;sample_rows vs baseline;v07_plus_sample_rows;v00_baseline;0,7579162322490371;0,1810837677509628;24;27,0;0,0004382651496230371;0,0013147954488691115;True;OPENAI
P2;numeric_stats sozinho;v04_plus_numeric_stats;v00_baseline;0,8453948716047975;0,09360512839520241;24;84,0;0,058245155706362635;0,08736773355954396;False;OPENAI
P2;numeric_stats + nullable vs nullable;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,8461890439903609;0,09281095600963907;24;52,0;0,005029206560209551;0,015087619680628654;True;OPENAI
P2;full vs full-sem-numeric_stats;v01_full;v24_full_no_numeric_stats;0,899151988917903;0,0398480110820969;24;145,0;0,8857000041940922;0,8857000041940922;False;OPENAI
P3;rows vs sample_values;v07_plus_sample_rows;v05_plus_sample_values;0,8107099478057367;0,12829005219426326;24;47,0;0,0032362358450342033;0,005663412728809856;True;OPENAI
P3;rows vs frequent_values;v07_plus_sample_rows;v06_plus_frequent_values;0,7872106021734272;0,15178939782657275;24;24,0;0,0003177678481219017;0,002224374936853312;True;OPENAI
P3;rows+sample_val vs rows;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,7453567826699684;0,19364321733003154;24;40,0;0,00166483937152853;0,0038846252002332367;True;OPENAI
P3;rows+sample_val vs sample_val;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,7934848968228149;0,14551510317718508;24;66,0;0,016170863137770327;0,018866006994065383;True;OPENAI
P3;rows+freq_val vs rows;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,8149371635619075;0,12406283643809246;24;59,0;0,009268399182871489;0,012975758856020083;True;OPENAI
P3;rows+ambos vs rows;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,7297868644208648;0,20921313557913512;24;33,0;0,000823612772291869;0,0028826447030215413;True;OPENAI
P3;full vs full-sem-rows;v01_full;v25_full_no_sample_rows;0,8201817650419635;0,11881823495803645;24;72,0;0,0254195681746105;0,0254195681746105;True;OPENAI
P4;FK+sample_val vs sample_val;v08_fk_plus_sample_values;v05_plus_sample_values;0,8630101222546424;0,07598987774535759;24;117,0;0,343627773366855;0,343627773366855;False;OPENAI
P4;FK+freq_val vs freq_val;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,8455526822181175;0,09344731778188242;24;72,0;0,02576674637023433;0,12099785447345754;False;OPENAI
P4;FK+ambos vs FK+sample_val;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,8707202172231785;0,06827978277682145;24;110,0;0,2510565814391683;0,3138207267989604;False;OPENAI
P4;FK+rows vs rows;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,8797556712523447;0,059244328747655284;24;102,0;0,1675287150558631;0,2792145250931052;False;OPENAI
P4;FK isolado vs baseline;v02_plus_fk;v00_baseline;0,852918215490898;0,08608178450910198;24;81,0;0,04839914178938302;0,12099785447345754;False;OPENAI
P5;nullable+sample_val vs sample_val;v12_nullable_plus_sample_values;v05_plus_sample_values;0,9088473934041783;0,03015260659582164;24;148,0;0,9540361505163888;0,9543007833228365;False;OPENAI
P5;nullable+freq_val vs freq_val;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,8210810055437839;0,11791899445621601;24;74,0;0,029598063273957823;0,11839225309583129;False;OPENAI
P5;nullable+numeric_stats vs numeric_stats;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,9153960539247145;0,023603946075285487;24;148,0;0,9543007833228365;0,9543007833228365;False;OPENAI
P5;nullable isolado vs baseline;v03_plus_nullable;v00_baseline;0,907850259586966;0,031149740413033977;24;123,0;0,43911895828387437;0,8782379165677487;False;OPENAI
P7;v00_baseline vs Full;v00_baseline;v01_full;0,7618795112801866;0,17712048871981334;24;25,0;0,00035257498993489694;0,0025265662655824866;True;OPENAI
P7;v02_plus_fk vs Full;v02_plus_fk;v01_full;0,7850472665231898;0,15395273347681016;24;30,0;0,000603254652277958;0,0025265662655824866;True;OPENAI
P7;v03_plus_nullable vs Full;v03_plus_nullable;v01_full;0,7369651112717165;0,20203488872828346;24;27,0;0,0004394517838540946;0,0025265662655824866;True;OPENAI
P7;v04_plus_numeric_stats vs Full;v04_plus_numeric_stats;v01_full;0,7517984651330977;0,18720153486690227;24;46,0;0,0029349965838511315;0,007337491459627829;True;OPENAI
P7;v05_plus_sample_values vs Full;v05_plus_sample_values;v01_full;0,7503768305300759;0,18862316946992408;24;54,0;0,005997665886098301;0,010825362072167898;True;OPENAI
P7;v06_plus_frequent_values vs Full;v06_plus_frequent_values;v01_full;0,7095896314038513;0,2294103685961486;24;14,0;0,00010177986477126924;0,0025265662655824866;True;OPENAI
P7;v07_plus_sample_rows vs Full;v07_plus_sample_rows;v01_full;0,7541909804596681;0,1848090195403318;24;38,0;0,0013711642648151618;0,0038087896244865605;True;OPENAI
P7;v08_fk_plus_sample_values vs Full;v08_fk_plus_sample_values;v01_full;0,7759780891863487;0,16302191081365125;24;60,0;0,010043740843315949;0,01569334506768117;True;OPENAI
P7;v09_fk_plus_frequent_values vs Full;v09_fk_plus_frequent_values;v01_full;0,7128758410699279;0,2261241589300721;24;25,0;0,0003545455199307319;0,0025265662655824866;True;OPENAI
P7;v10_fk_plus_sample_and_frequent vs Full;v10_fk_plus_sample_and_frequent;v01_full;0,8251499922535999;0,11385000774640008;24;80,0;0,04526899839767432;0,0538916647591361;False;OPENAI
P7;v11_fk_plus_sample_rows vs Full;v11_fk_plus_sample_rows;v01_full;0,7973402347395527;0,1416597652604472;24;48,0;0,0035311671717606235;0,008025379935819598;True;OPENAI
P7;v12_nullable_plus_sample_values vs Full;v12_nullable_plus_sample_values;v01_full;0,7981292085977459;0,140870791402254;24;76,0;0,03416902398823003;0,04271127998528754;True;OPENAI
P7;v13_nullable_plus_frequent_values vs Full;v13_nullable_plus_frequent_values;v01_full;0,7643044245783113;0,17469557542168868;24;30,0;0,0006063759037397968;0,0025265662655824866;True;OPENAI
P7;v14_nullable_plus_numeric_stats vs Full;v14_nullable_plus_numeric_stats;v01_full;0,7838376587602799;0,15516234123972006;24;62,0;0,011836422801243335;0,01740650411947549;True;OPENAI
P7;v15_sample_rows_vs_sample_values vs Full;v15_sample_rows_vs_sample_values;v01_full;0,8276108284750738;0,11138917152492611;24;51,0;0,004654572253553473;0,009697025528236404;True;OPENAI
P7;v16_sample_rows_vs_frequent_values vs Full;v16_sample_rows_vs_frequent_values;v01_full;0,7531016548891306;0,18589834511086933;24;35,0;0,0010142175859446819;0,0031694299560771307;True;OPENAI
P7;v17_sample_rows_plus_both_values vs Full;v17_sample_rows_plus_both_values;v01_full;0,8157799251801121;0,12322007481988784;24;54,0;0,0060622027604140235;0,010825362072167898;True;OPENAI
P7;v18_fk_nullable_sample_values vs Full;v18_fk_nullable_sample_values;v01_full;0,8377929232614107;0,1012070767385892;24;102,0;0,16976150948647362;0,17683490571507668;False;OPENAI
P7;v19_fk_nullable_frequent_values vs Full;v19_fk_nullable_frequent_values;v01_full;0,737337134617334;0,20166286538266598;24;32,0;0,0007459279962580918;0,0026640285580646133;True;OPENAI
P7;v20_fk_nullable_both_values vs Full;v20_fk_nullable_both_values;v01_full;0,7945303792584214;0,14446962074157854;24;81,0;0,048433592022652586;0,0550381727530143;False;OPENAI
P7;v21_fk_nullable_sample_rows vs Full;v21_fk_nullable_sample_rows;v01_full;0,8379486175815746;0,10105138241842537;24;71,0;0,023740680869432575;0,03297316787421191;True;OPENAI
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,7976081773960996;0,14139182260390037;24;56,0;0,007222663406148348;0,012037772343580581;True;OPENAI
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,8487716181568065;0,09022838184319348;24;86,0;0,066275849216114;0,07203896653925435;False;OPENAI
P7;v24_full_no_numeric_stats vs Full;v24_full_no_numeric_stats;v01_full;0,899151988917903;0,0398480110820969;24;145,0;0,8857000041940922;0,8857000041940922;False;OPENAI
P7;v25_full_no_sample_rows vs Full;v25_full_no_sample_rows;v01_full;0,8201817650419635;0,11881823495803645;24;72,0;0,0254195681746105;0,033446800229750655;True;OPENAI
P1;FK vs baseline;v02_plus_fk;v00_baseline;0,7781441994617576;0,14085580053824243;24;24,0;0,00031575150069564756;0,0010904419638804927;True;DEEPSEEK
P1;nullable vs baseline;v03_plus_nullable;v00_baseline;0,8599655803412913;0,0590344196587087;24;96,0;0,12265526734234171;0,12265526734234171;False;DEEPSEEK
P1;numeric_stats vs baseline;v04_plus_numeric_stats;v00_baseline;0,8086129421693412;0,11038705783065883;24;46,0;0,0029583279270838756;0,0035499935125006504;True;DEEPSEEK
P1;sample_values vs baseline;v05_plus_sample_values;v00_baseline;0,7184076557437531;0,20059234425624695;24;40,0;0,0016411944616694103;0,0024617916925041157;True;DEEPSEEK
P1;frequent_values vs baseline;v06_plus_frequent_values;v00_baseline;0,7380249487502887;0,18097505124971136;24;29,0;0,0005452209819402464;0,0010904419638804927;True;DEEPSEEK
P1;sample_rows vs baseline;v07_plus_sample_rows;v00_baseline;0,737691441487661;0,18130855851233907;24;28,0;0,00048692051282117334;0,0010904419638804927;True;DEEPSEEK
P2;numeric_stats sozinho;v04_plus_numeric_stats;v00_baseline;0,8086129421693412;0,11038705783065883;24;46,0;0,0029583279270838756;0,008874983781251627;True;DEEPSEEK
P2;numeric_stats + nullable vs nullable;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,849628013922804;0,06937198607719608;24;94,0;0,10894637858644525;0,10894637858644525;False;DEEPSEEK
P2;full vs full-sem-numeric_stats;v01_full;v24_full_no_numeric_stats;0,8536439597986595;0,06535604020134056;24;89,0;0,08118767343199638;0,10894637858644525;False;DEEPSEEK
P3;rows vs sample_values;v07_plus_sample_rows;v05_plus_sample_values;0,720731795256957;0,19826820474304307;24;31,0;0,0006695928144333921;0,0011717874252584364;True;DEEPSEEK
P3;rows vs frequent_values;v07_plus_sample_rows;v06_plus_frequent_values;0,7203789684640846;0,19862103153591548;24;19,0;0,00018166319625284114;0,001141456002346493;True;DEEPSEEK
P3;rows+sample_val vs rows;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,7859879340387205;0,13301206596127957;24;27,0;0,0004397487968876834;0,001141456002346493;True;DEEPSEEK
P3;rows+sample_val vs sample_val;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,7944460888973536;0,12455391110264646;24;58,0;0,008540658018874686;0,009964101022020468;True;DEEPSEEK
P3;rows+freq_val vs rows;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,7850186356683251;0,13398136433167496;24;52,0;0,005098959853945003;0,007138543795523005;True;DEEPSEEK
P3;rows+ambos vs rows;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,7416508128657107;0,17734918713428938;24;28,0;0,0004891954295770684;0,001141456002346493;True;DEEPSEEK
P3;full vs full-sem-rows;v01_full;v25_full_no_sample_rows;0,8444988983341943;0,0745011016658057;24;89,0;0,08112552952714912;0,08112552952714912;False;DEEPSEEK
P4;FK+sample_val vs sample_val;v08_fk_plus_sample_values;v05_plus_sample_values;0,8132299906970794;0,10577000930292069;24;59,0;0,009304366465685566;0,009304366465685566;True;DEEPSEEK
P4;FK+freq_val vs freq_val;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,8238611058833553;0,09513889411664478;24;37,0;0,0012369503137519707;0,001956752822503185;True;DEEPSEEK
P4;FK+ambos vs FK+sample_val;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,9581959631190807;-0,03919596311908069;24;40,0;0,001565402258002548;0,001956752822503185;True;DEEPSEEK
P4;FK+rows vs rows;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,8000438110619706;0,1189561889380294;24;35,0;0,0010148218574838929;0,001956752822503185;True;DEEPSEEK
