Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7543791929880778
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.8242790699005127
public.TB_MIGRACAO_DADOS,MISTRAL__VS__OPENAI,0.6666666666666666,0.8912213842074076
public.rl_aldeia_localidade,DEEPSEEK__VS__MISTRAL,0.0,0.38870831330617267
public.rl_aldeia_localidade,DEEPSEEK__VS__OPENAI,0.0,0.37508777115080094
public.rl_aldeia_localidade,MISTRAL__VS__OPENAI,0.1111111111111111,0.5156139168474408
public.rl_antecedente_ciap,DEEPSEEK__VS__MISTRAL,0.0,0.3542111449771457
public.rl_antecedente_ciap,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.5298273166020712
public.rl_antecedente_ciap,MISTRAL__VS__OPENAI,0.0,0.24180384476979574
public.rl_arquivo_atendprof,DEEPSEEK__VS__MISTRAL,0.0,0.5847501357396444
public.rl_arquivo_atendprof,DEEPSEEK__VS__OPENAI,0.0,0.66008989016215
public.rl_arquivo_atendprof,MISTRAL__VS__OPENAI,0.0,0.7089359561602274
public.rl_atend_obs_responsavel,DEEPSEEK__VS__MISTRAL,0.0,0.6069729924201965
public.rl_atend_obs_responsavel,DEEPSEEK__VS__OPENAI,0.0,0.7727324962615967
public.rl_atend_obs_responsavel,MISTRAL__VS__OPENAI,0.0,0.4929800430933635
public.rl_atend_proced,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7735011577606201
public.rl_atend_proced,DEEPSEEK__VS__OPENAI,0.0,0.5628776550292969
public.rl_atend_proced,MISTRAL__VS__OPENAI,0.0,0.5113870998223623
public.rl_atend_prof_conduta,DEEPSEEK__VS__MISTRAL,0.0,0.7156009475390116
public.rl_atend_prof_conduta,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.6256998115115695
public.rl_atend_prof_conduta,MISTRAL__VS__OPENAI,0.3333333333333333,0.6725332670741611
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK__VS__MISTRAL,0.2222222222222222,0.7781443198521932
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK__VS__OPENAI,0.0,0.528129862414466
public.rl_atend_prof_odonto_tipo_encm,MISTRAL__VS__OPENAI,0.1111111111111111,0.6303170588281419
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7839332421620687
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7806809345881144
public.rl_atend_prof_odonto_tipo_frnc,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666661898295084
public.rl_atend_tipo_servico,DEEPSEEK__VS__MISTRAL,0.4444444444444445,0.8558122913042704
public.rl_atend_tipo_servico,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.6358149250348409
public.rl_atend_tipo_servico,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666662096977234
public.rl_ativ_col_lot_env,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.5506875514984131
public.rl_ativ_col_lot_env,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5796557068824768
public.rl_ativ_col_lot_env,MISTRAL__VS__OPENAI,0.3333333333333333,0.6220988233884176
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.8178829219606188
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8178829219606187
public.rl_ativ_col_pratica_saude,MISTRAL__VS__OPENAI,1.0,0.9999996423721313
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7857621080345578
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7798171264153939
public.rl_ativ_col_publico_alvo,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666664282480875
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.853067010641098
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.6666664878527323
public.rl_ativ_col_tema_reuniao,MISTRAL__VS__OPENAI,0.6666666666666666,0.7619339923063914
public.rl_ativ_col_tema_saude,DEEPSEEK__VS__MISTRAL,1.0,0.999999483426412
public.rl_ativ_col_tema_saude,DEEPSEEK__VS__OPENAI,1.0,0.999999483426412
public.rl_ativ_col_tema_saude,MISTRAL__VS__OPENAI,1.0,0.999999483426412
public.rl_ator_papel_perfil,DEEPSEEK__VS__MISTRAL,0.0,0.476656436920166
public.rl_ator_papel_perfil,DEEPSEEK__VS__OPENAI,0.0,0.48334596554438275
public.rl_ator_papel_perfil,MISTRAL__VS__OPENAI,0.5555555555555555,0.7546213401688471
public.rl_calendario_vacnl_grupo_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8671748638153076
public.rl_calendario_vacnl_grupo_alvo,DEEPSEEK__VS__OPENAI,0.0,0.6537528038024902
public.rl_calendario_vacnl_grupo_alvo,MISTRAL__VS__OPENAI,0.0,0.6348529060681661
public.rl_cds_atend_dom_proced,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.6666661500930786
public.rl_cds_atend_dom_proced,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.8211748997370402
public.rl_cds_atend_dom_proced,MISTRAL__VS__OPENAI,0.3333333333333333,0.7813308636347452
public.rl_cds_atend_dom_situacao_pres,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.5608072876930237
public.rl_cds_atend_dom_situacao_pres,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.5608072876930237
public.rl_cds_atend_dom_situacao_pres,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666664679845175
public.rl_cds_atend_individual_ciap,DEEPSEEK__VS__MISTRAL,0.0,0.46944385435846114
public.rl_cds_atend_individual_ciap,DEEPSEEK__VS__OPENAI,0.0,0.6543082727326287
public.rl_cds_atend_individual_ciap,MISTRAL__VS__OPENAI,0.16666666666666666,0.6327593624591829
public.rl_cds_atend_individual_condut,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8578594525655111
public.rl_cds_atend_individual_condut,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.6666661898295084
public.rl_cds_atend_individual_condut,MISTRAL__VS__OPENAI,0.3333333333333333,0.6148631374041239
public.rl_cds_atend_individual_exame,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.797069122393926
public.rl_cds_atend_individual_exame,DEEPSEEK__VS__OPENAI,0.0,0.7913060386975607
public.rl_cds_atend_individual_exame,MISTRAL__VS__OPENAI,0.0,0.7987187703450521
public.rl_cds_atend_individual_nasf,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8376813001102871
public.rl_cds_atend_individual_nasf,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.7142019470532736
public.rl_cds_atend_individual_nasf,MISTRAL__VS__OPENAI,0.3333333333333333,0.5723658932579889
public.rl_cds_atend_odont_tip_vig_buc,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.9116888840993246
public.rl_cds_atend_odont_tip_vig_buc,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.6389601959122552
public.rl_cds_atend_odont_tip_vig_buc,MISTRAL__VS__OPENAI,0.3333333333333333,0.7958269450399612
public.rl_cds_atend_odonto_proced,DEEPSEEK__VS__MISTRAL,0.1111111111111111,0.7756190896034241
public.rl_cds_atend_odonto_proced,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.8368260926670499
public.rl_cds_atend_odonto_proced,MISTRAL__VS__OPENAI,0.3333333333333333,0.8992079893747965
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK__VS__MISTRAL,0.0,0.6906860603226556
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7003523023040207
public.rl_cds_atend_odonto_tipo_cnslt,MISTRAL__VS__OPENAI,0.3333333333333333,0.6273325350549487
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK__VS__MISTRAL,0.0,0.7034182548522949
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK__VS__OPENAI,0.0,0.667460925049252
public.rl_cds_atend_odonto_tipo_encam,MISTRAL__VS__OPENAI,0.3333333333333333,0.77261174387402
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.7838634385002985
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.6666661898295084
public.rl_cds_atend_odonto_tipo_fornc,MISTRAL__VS__OPENAI,0.6666666666666666,0.6666661898295084
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK__VS__MISTRAL,0.0,0.6059259123272366
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK__VS__OPENAI,0.37777777777777777,0.7502017405298022
public.rl_cds_aval_eleg_ad_tipo_inelg,MISTRAL__VS__OPENAI,0.3333333333333333,0.8308453559875488
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK__VS__MISTRAL,0.0,0.4961269895235698
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK__VS__OPENAI,0.0,0.5045903921127319
public.rl_cds_aval_eleg_cds_situc_prs,MISTRAL__VS__OPENAI,0.3333333333333333,0.729947696129481
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK__VS__MISTRAL,0.0,0.6674050986766815
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK__VS__OPENAI,0.0,0.7773811022440592
public.rl_cds_ficha_atend_indivdl_prf,MISTRAL__VS__OPENAI,0.6666666666666666,0.7855551540851593
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7946953111224705
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8841330607732137
public.rl_cds_ficha_atend_odonto_prof,MISTRAL__VS__OPENAI,0.3333333333333333,0.7989524404207865
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK__VS__MISTRAL,0.0,0.4791523814201355
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK__VS__OPENAI,0.0,0.44502419895595974
public.rl_cds_ficha_ativ_col_pratica,MISTRAL__VS__OPENAI,0.0,0.5321857531865438
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK__VS__MISTRAL,0.0,0.4490277038680182
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK__VS__OPENAI,0.0,0.44203481409284806
public.rl_cds_ficha_ativ_col_prof,MISTRAL__VS__OPENAI,0.0,0.24974077939987183
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.5809160470962524
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.6666663686434428
public.rl_cds_ficha_ativ_col_pub_alvo,MISTRAL__VS__OPENAI,0.3333333333333333,0.5809160470962524
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK__VS__MISTRAL,0.0,0.4088546236356099
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK__VS__OPENAI,0.0,0.6669700741767883
public.rl_cds_ficha_ativ_col_tema,MISTRAL__VS__OPENAI,0.0,0.4236215353012085
public.rl_cds_visita_dom_motivo,DEEPSEEK__VS__MISTRAL,0.0,0.44709211919042796
public.rl_cds_visita_dom_motivo,DEEPSEEK__VS__OPENAI,0.14814814814814814,0.5688919689920214
public.rl_cds_visita_dom_motivo,MISTRAL__VS__OPENAI,0.0,0.5236048665311602
public.rl_ciap_cid10,DEEPSEEK__VS__MISTRAL,0.0,0.3720588485399882
public.rl_ciap_cid10,DEEPSEEK__VS__OPENAI,0.0,0.4416998161209954
public.rl_ciap_cid10,MISTRAL__VS__OPENAI,0.3333333333333333,0.6245157420635222
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7844603061676025
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7988689541816711
