Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK,1.0,0.9999993046124777
public.TB_MIGRACAO_DADOS,MISTRAL,1.0,0.9999994238217672
public.TB_MIGRACAO_DADOS,OPENAI,1.0,0.9999993443489075
public.rl_aldeia_localidade,DEEPSEEK,1.0,0.9999995628992716
public.rl_aldeia_localidade,MISTRAL,0.3333333333333333,0.6904986566967434
public.rl_aldeia_localidade,OPENAI,0.2222222222222222,0.5739400254355537
public.rl_antecedente_ciap,DEEPSEEK,0.3333333333333333,0.7959430615107218
public.rl_antecedente_ciap,MISTRAL,1.0,0.9999993244806925
public.rl_antecedente_ciap,OPENAI,1.0,0.9999991059303284
public.rl_arquivo_atendprof,DEEPSEEK,1.0,0.9999995827674866
public.rl_arquivo_atendprof,MISTRAL,0.7777777777777777,0.890974011686113
public.rl_arquivo_atendprof,OPENAI,1.0,0.999999205271403
public.rl_atend_obs_responsavel,DEEPSEEK,1.0,0.9999992648760477
public.rl_atend_obs_responsavel,MISTRAL,0.5555555555555555,0.7394666406843396
public.rl_atend_obs_responsavel,OPENAI,1.0,0.9999995032946268
public.rl_atend_proced,DEEPSEEK,1.0,0.9999993443489075
public.rl_atend_proced,MISTRAL,0.7777777777777777,0.932624081770579
public.rl_atend_proced,OPENAI,1.0,0.9999992450078329
public.rl_atend_prof_conduta,DEEPSEEK,1.0,0.9999994238217672
public.rl_atend_prof_conduta,MISTRAL,1.0,0.9999991854031881
public.rl_atend_prof_conduta,OPENAI,0.7777777777777777,0.9177791277567545
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK,0.3333333333333333,0.7638074225849576
public.rl_atend_prof_odonto_tipo_encm,MISTRAL,1.0,0.9999993046124777
public.rl_atend_prof_odonto_tipo_encm,OPENAI,0.7777777777777777,0.9924893577893575
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK,1.0,0.9999992450078329
public.rl_atend_prof_odonto_tipo_frnc,MISTRAL,0.7777777777777777,0.8909167846043905
public.rl_atend_prof_odonto_tipo_frnc,OPENAI,1.0,0.9999992648760477
public.rl_atend_tipo_servico,DEEPSEEK,0.5555555555555555,0.9006592432657877
public.rl_atend_tipo_servico,MISTRAL,1.0,0.9999993046124777
public.rl_atend_tipo_servico,OPENAI,1.0,0.9999993443489075
public.rl_ativ_col_lot_env,DEEPSEEK,0.7777777777777777,0.9586519996325175
public.rl_ativ_col_lot_env,MISTRAL,1.0,0.9999995231628418
public.rl_ativ_col_lot_env,OPENAI,1.0,0.9999994436899821
public.rl_ativ_col_pratica_saude,DEEPSEEK,0.7777777777777777,0.9018807344966464
public.rl_ativ_col_pratica_saude,MISTRAL,1.0,0.999999463558197
public.rl_ativ_col_pratica_saude,OPENAI,1.0,0.999999463558197
public.rl_ativ_col_publico_alvo,DEEPSEEK,0.7777777777777777,0.894416888554891
public.rl_ativ_col_publico_alvo,MISTRAL,0.7777777777777777,0.950206134054396
public.rl_ativ_col_publico_alvo,OPENAI,0.7777777777777777,0.9272175563706292
public.rl_ativ_col_tema_reuniao,DEEPSEEK,1.0,0.9999996821085612
public.rl_ativ_col_tema_reuniao,MISTRAL,0.7777777777777777,0.894413431485494
public.rl_ativ_col_tema_reuniao,OPENAI,1.0,0.999999483426412
public.rl_ativ_col_tema_saude,DEEPSEEK,1.0,0.999999483426412
